year,pouvaient_VERB acheter_VERB,pouvaient_VERB racheter_VERB
1800,1.5720821977538435e-08,0.0
1801,2.6193008650921e-08,1.904946067554647e-08
1802,4.0281122437590966e-08,2.2378401354217203e-08
1803,5.851017448321727e-09,0.0
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,5.685755422035754e-09,8.528632911009026e-09
1806,5.187004603612877e-08,2.0171682990621775e-08
1807,6.263301344233696e-08,0.0
1808,2.2660739062985158e-08,4.305540457494317e-08
1809,2.25903047379461e-08,0.0
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,3.200649700829672e-08,8.00162425207418e-09
1813,3.738464116054274e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,5.394447111228828e-09,2.697223555614414e-09
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,2.3353100786493997e-08,2.80237220096069e-08
1818,2.741870730460505e-08,2.384235475716423e-09
1819,4.34744116262209e-08,1.8631890696951814e-08
1820,4.2719332071783356e-08,3.9159388620646496e-08
1821,2.3667571014129862e-08,1.972297702934611e-08
1822,5.81485721795616e-08,1.1028177482330648e-08
1823,4.842516432290722e-08,1.2847492847356534e-08
1824,4.378978601948802e-08,7.57900142644985e-09
1825,3.78634048558979e-08,6.163809906922779e-09
1826,1.8496766784892316e-08,2.4662355713189754e-08
1827,2.3964910056406552e-08,1.8434546333878643e-08
1828,6.787502826455238e-08,5.503380862137419e-09
1829,3.5150023336427694e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,4.174734336004349e-09
1831,3.274153215215847e-08,1.5591206103948707e-09
1832,8.253281436054749e-08,2.705993829010822e-08
1833,6.139323005527331e-08,2.3167257001688313e-09
1834,2.8937046536725575e-08,6.534171426153534e-09
1835,2.7983425354705105e-08,6.806779140333674e-09
1836,3.024337402735e-08,1.4785650037651976e-08
1837,7.72325918774186e-08,1.1132625488130543e-08
1838,2.3354999711955315e-08,1.3886756633496589e-08
1839,3.425822825420255e-08,1.3982949909063791e-08
1840,3.4396318682183846e-08,1.52872523528913e-08
1841,4.044945711711989e-08,2.118781061710706e-08
1842,5.433694738599115e-08,3.4882980060046975e-08
1843,6.674809327478215e-08,2.3036953678001737e-08
1844,7.080244301960192e-08,2.25031016043431e-08
1845,5.245414413934668e-08,1.8414752389617206e-08
1846,4.156695965207291e-08,1.5807152919933287e-08
1847,5.662884916546318e-08,1.77976389181822e-08
1848,1.0539240236084879e-07,1.528592186161859e-08
1849,1.75967720394965e-08,5.865590679832167e-09
1850,8.96147440698769e-08,1.1541293254424545e-08
1851,2.902247508984601e-08,5.159551008659946e-09
1852,8.073076429582215e-08,6.510545436100301e-09
1853,3.822036376277538e-08,4.180352064508952e-09
1854,5.0917510208137173e-08,1.506742641765868e-08
1855,3.8209947206269135e-08,6.368324534378189e-09
1856,3.4169449492083004e-08,1.65670055451983e-08
1857,5.3208449202202246e-08,2.3431244500216053e-08
1858,4.8447393652395476e-08,1.1744822003834088e-08
1859,9.267755274322553e-08,9.675129142294736e-09
1860,4.3025529805618135e-08,1.7393299245327398e-08
