year,pourraient_VERB approcher_VERB,pourraient_VERB rapprocher_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.1205427575287104e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,0.0,1.668964877410417e-08
1819,7.24573512300708e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,5.894778887238772e-09,0.0
1825,7.044354433105582e-09,0.0
1826,1.145037931138404e-08,0.0
1827,1.8434546111834038e-09,3.6869092223668076e-09
1828,4.586150570418113e-09,0.0
1829,8.57317605795771e-10,6.858540846366168e-09
1830,5.218417697960831e-09,5.218417697960831e-09
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,0.0
1833,1.1583628278799551e-08,2.3167257001688313e-09
1834,4.667265685043276e-09,4.667265685043276e-09
1835,6.806779140333674e-09,0.0
1836,4.032449929525228e-09,0.0
1837,2.0873672568200163e-08,0.0
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,1.3982950353153e-09,0.0
1840,3.821813088222825e-09,0.0
1841,8.988767952189392e-09,3.852329122366882e-09
1842,7.379091560011375e-09,0.0
1843,1.1813822142769936e-09,4.134837805480629e-09
1844,7.1351298203126134e-09,2.7442805805577564e-09
1845,7.254296274794569e-09,0.0
1846,7.025401593807601e-09,2.9272506640865004e-09
1847,1.4022381478184798e-08,2.1572894581822766e-09
1848,3.218088684420195e-09,5.63165514222419e-09
1849,3.3517659758786067e-09,0.0
1850,1.425689166723032e-08,6.788996032014438e-10
1851,1.2253933867611977e-08,0.0
