year,doit_VERB enseigner_VERB,doit_VERB renseigner_VERB
1800,1.0690159513160324e-07,0.0
1801,1.04772034603684e-07,0.0
1802,8.280008501060365e-08,0.0
1803,1.4237475909339992e-07,3.900678446910888e-09
1804,9.88740396223875e-08,0.0
1805,7.391481915419718e-08,0.0
1806,7.492339904047185e-08,0.0
1807,8.825561081948763e-08,8.540865792383556e-09
1808,1.1783584596969376e-07,0.0
1809,8.358412628695078e-08,0.0
1810,1.0530570193623134e-07,7.020380277111826e-09
1811,5.766276700569506e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,1.4789382873914292e-07,0.0
1815,5.933891955578474e-08,0.0
1816,9.733936678912869e-08,0.0
1817,7.940054302935096e-08,0.0
1818,8.344824209416402e-08,0.0
1819,9.315944993204539e-08,0.0
1820,6.763894333516873e-08,1.1866481131050932e-09
1821,1.4200543319020653e-07,0.0
1822,7.017931125119503e-08,0.0
1823,1.2155705064742506e-07,0.0
1824,8.42111234078402e-08,0.0
1825,8.189061873054015e-08,6.163809906922779e-09
1826,1.409277530228792e-07,7.0463874735082754e-09
1827,8.848581956044654e-08,1.8434546111834038e-09
1828,9.906085551847355e-08,7.337841001486822e-09
1829,1.1316592463117559e-07,0.0
1830,1.2941676175159955e-07,0.0
1831,9.510635834431014e-08,0.0
1832,7.441482807735156e-08,0.0
1833,8.80355770505048e-08,0.0
1834,9.521221500108368e-08,1.8669061851994684e-09
1835,1.0437061348511634e-07,3.025235173481633e-09
1836,7.460032236394909e-08,0.0
1837,1.0993467469688767e-07,2.0873671680021744e-09
1838,1.2434958307494526e-07,0.0
1839,8.87917366299007e-08,0.0
1840,9.873017603467815e-08,6.369688665408546e-10
1841,1.194221965761244e-07,5.1364388298225094e-09
1842,1.0800306426972384e-07,0.0
1843,1.5298900279958616e-07,0.0
1844,1.7892709536226903e-07,3.841992946007622e-09
1845,9.430585379277545e-08,1.1160455892778032e-09
1846,9.542836920672926e-08,0.0
1847,1.1595430748911895e-07,2.6966118227278457e-09
1848,9.895622810063287e-08,4.82713291560799e-09
1849,7.457679629396807e-08,3.3517659758786067e-09
1850,1.1880742789571741e-07,2.0366988096043315e-09
1851,1.412427081959322e-07,1.9348316282474798e-09
1852,1.4127883218861825e-07,3.2552727180501506e-09
1853,1.194386385350299e-07,5.971931837933653e-10
1854,1.3508727647604246e-07,4.676098175337984e-09
1855,1.0189319255005103e-07,5.306937111981824e-10
1856,1.2580569830333843e-07,7.765783571755946e-09
1857,9.079607110606958e-08,8.78671624349181e-09
1858,7.927754808179088e-08,4.893676019968041e-10
1859,1.059172092254812e-07,3.055304009791371e-09
1860,8.971280607283916e-08,7.781213007262977e-09
1861,1.372345508343642e-07,1.226150558863992e-08
1862,1.161122469284237e-07,5.421583626485926e-09
1863,1.2936068571889336e-07,9.989241656072068e-10
1864,1.1651189169015197e-07,7.1920918109924514e-09
1865,1.2755548084442125e-07,6.589582213223366e-09
1866,1.294253024752834e-07,3.8924903300596725e-09
1867,6.066014179850754e-08,3.88224918879132e-09
1868,1.3584653402176627e-07,8.397785578040384e-09
1869,1.3185501757106977e-07,2.441759683335931e-09
1870,1.1926820775443048e-07,1.0321287824410774e-08
1871,1.1470871186247678e-07,4.460894587055009e-08
1872,1.3606513959985023e-07,1.9351485747165498e-08
1873,1.1014248002538807e-07,1.7958013742713774e-08
1874,9.499628816911354e-08,1.1949218281515073e-09
1875,1.2186852416107286e-07,1.1443054281912168e-09
1876,9.008562074086512e-08,7.255217759905008e-09
1877,9.029831460338755e-08,1.9791411176584006e-08
1878,1.1293095525388708e-07,1.7513357875031943e-08
1879,1.3990354830184515e-07,8.55305515301552e-09
1880,1.0332732358619978e-07,9.626769603698904e-09
1881,1.2341338617716247e-07,1.8825771164188154e-08
1882,1.2911446845009777e-07,9.317538740560849e-09
1883,1.3396999065662385e-07,8.21514056781325e-09
1884,9.572460868412236e-08,1.3203393933736152e-08
1885,9.410628365458251e-08,1.160214413431504e-08
1886,9.292988067954866e-08,1.613365974151293e-08
1887,1.044627921942265e-07,1.2404957061562527e-08
1888,9.067078821090035e-08,8.242799331981132e-09
1889,8.207329216247672e-08,8.14467782106476e-09
1890,1.0224842839079429e-07,1.6385966361553983e-08
1891,1.0262494498647357e-07,1.784781566982474e-08
1892,8.713232091395184e-08,1.3790726782758611e-08
1893,7.390099909798664e-08,1.23168328869383e-08
1894,8.822154740073529e-08,1.449354058991048e-08
1895,9.088108043897591e-08,2.6481902892783182e-08
1896,9.14039475219397e-08,1.1794058174530164e-08
1897,1.1653427378632841e-07,2.2141511735185304e-08
1898,1.1260126342449439e-07,2.0370077180587032e-08
1899,1.3432016032766114e-07,2.65323762960179e-08
1900,1.0226374769217728e-07,3.73755817406618e-08
1901,1.1345139938612192e-07,2.4031576728589243e-08
1902,1.016428754496701e-07,4.075535642300565e-08
1903,1.2528511206255644e-07,3.888158772724637e-08
1904,9.943056511474424e-08,3.7622378101787035e-08
1905,1.3882441862733685e-07,2.6835946798087207e-08
1906,1.0236927039386501e-07,3.0865106026567446e-08
