year,veut_VERB apporter_VERB,veut_VERB rapporter_VERB
1800,9.432493897065797e-09,5.0306631749208464e-08
1801,5.9529565277216534e-08,1.0000967165524344e-07
1802,5.818384352096473e-08,7.384872446891677e-08
1803,3.900678446910888e-09,4.6808139586573816e-08
1804,4.2021465418429216e-08,5.6852570651244605e-08
1805,2.2743021688143017e-08,9.665784261869703e-08
1806,2.881669125542885e-09,9.797675204481493e-08
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,0.0,1.5862518409903714e-08
1809,4.0662548883574345e-08,6.7770917766551975e-09
1810,2.3401266702194334e-08,7.254392642153107e-08
1811,7.521229861140455e-09,9.025476543911282e-08
1812,1.0668832928217853e-08,4.267533171287141e-08
1813,1.7254450312975678e-08,5.7514832008109806e-08
1814,1.5733386149463513e-08,5.034683425719777e-08
1815,5.3944472000466703e-08,5.664169577812572e-08
1816,3.244645441213834e-08,5.7940098940889584e-08
1817,4.670620157298799e-08,4.670620157298799e-08
1818,2.026600220972341e-08,1.7881765401739358e-08
1819,8.073818946741085e-08,5.3825459644940565e-08
1820,7.95054262425765e-08,1.1985146386450651e-07
1821,3.8459806006585495e-08,3.550135829755163e-08
1822,6.316138012607553e-08,4.511527151862538e-08
1823,3.9530747564242574e-09,4.5460360809101985e-08
1824,4.968456579490521e-08,5.642145595174952e-08
1825,7.220463515977826e-08,6.956300069305144e-08
1826,5.2847905607222856e-08,3.3470339388941284e-08
1827,2.2121454890111636e-08,8.019027575301152e-08
1828,9.080578422526742e-08,3.485474309172787e-08
1829,3.8579290873030914e-08,3.086343269842473e-08
1830,2.1917355041978226e-08,1.7742621594152297e-08
1831,4.365537620287796e-08,4.365537620287796e-08
1832,2.705993829010822e-08,2.1647950987357945e-08
1833,2.4325620628928846e-08,2.3167256557599103e-08
1834,3.733812548034621e-08,5.2273371409228275e-08
1835,6.504255622985511e-08,7.033671778344797e-08
1836,5.511014933290426e-08,1.0484369994401277e-07
1837,8.140732177253085e-08,3.409366655660051e-08
1838,3.28232410140572e-08,5.3653376852480505e-08
1839,1.0487212875887053e-07,5.033862038317238e-08
1840,4.0129037870428874e-08,4.522479102320176e-08
1841,4.044945711711989e-08,4.1091510638580075e-08
1842,4.8970335342346516e-08,4.427455024824667e-08
1843,5.198081609592009e-08,3.0125246297529884e-08
1844,4.720162749549672e-08,2.8540519281250454e-08
1845,5.022205229465726e-08,2.1204865419122143e-08
1846,3.33706573485415e-08,1.1123552745573306e-08
1847,6.25613978399997e-08,1.88762818709165e-08
1848,3.218088551193432e-08,1.930853166243196e-08
1849,4.022119171054328e-08,4.022119171054328e-08
1850,4.752297400045791e-08,3.2587180953669304e-08
1851,6.384944128967618e-08,2.192809134271556e-08
1852,4.296959943417278e-08,2.9948509450150596e-08
1853,6.151089593231518e-08,2.329053394589664e-08
1854,4.000661490977109e-08,4.8839247313026135e-08
1855,4.5108965451845506e-08,2.2819829581521844e-08
1856,3.054541508618058e-08,2.5368226630462232e-08
1857,2.001418764052687e-08,3.9540225316159194e-08
1858,3.572383633354548e-08,4.893675864536817e-08
1859,8.453007893649556e-08,4.430190969628711e-08
1860,3.295572525985335e-08,2.197048232233101e-08
1861,5.517677692523648e-08,2.2165028923382124e-08
1862,8.629353942524176e-08,4.472806480748659e-08
1863,4.9446747141246306e-08,1.6981710260211003e-08
1864,3.691940619887646e-08,2.8768367243969806e-08
1865,4.094954419997521e-08,2.3534221682552925e-08
1866,4.476363812955242e-08,2.6760870852626795e-08
1867,4.85281148598915e-08,4.804283548764943e-08
1868,6.57003269566303e-08,4.3964877960434023e-08
1869,3.320792885119772e-08,2.0510780629479086e-08
1870,4.013834242755365e-08,2.5229814681893004e-08
1871,6.054071377548098e-08,3.292564798584863e-08
1872,4.172663992108028e-08,2.2979889990892843e-08
1873,4.4895035244962855e-08,3.5317427204972773e-08
1874,6.691562504101967e-08,4.600449088343339e-08
1875,6.350894921069994e-08,3.3757011408397375e-08
1876,5.441413364337677e-08,4.0508300713781864e-08
1877,2.288381928394756e-08,4.391219476929109e-08
1878,4.589707458535486e-08,3.140326043649111e-08
1879,6.109325312309011e-08,1.649517855639715e-08
1880,4.3641353641987735e-08,2.2462462112571302e-08
1881,4.2532295907449225e-08,9.064259565150223e-09
1882,5.324308105514319e-08,2.9283693692150337e-08
1883,5.181857787306399e-08,2.338155447034751e-08
1884,2.6406787867472303e-08,1.8484751507230612e-08
1885,3.4161868001092444e-08,1.353583467533781e-08
1886,2.9040586824180536e-08,2.0651084398082276e-08
1887,4.8966935395355904e-08,1.1752064210668323e-08
1888,4.438430423192585e-08,3.233713385952797e-08
1889,3.5084767091575486e-08,1.3156786771162388e-08
1890,3.0150179242127706e-08,2.7528423984790606e-08
1891,4.079500826037474e-08,2.8046567734918426e-08
1892,5.014809900671935e-08,2.0686091062316336e-08
1893,5.4194064347257154e-08,2.3401982574000613e-08
1894,6.175508815431385e-08,1.1972924873759894e-08
1895,6.19917273070314e-08,4.1528441130367355e-08
1896,6.073939573525422e-08,1.47425724961181e-08
1897,3.612562338162206e-08,3.3212266714599536e-08
1898,5.149102833001962e-08,1.640922953072277e-08
1899,6.577818112418754e-08,1.492446166651007e-08
1900,4.256663643786851e-08,2.387884379118077e-08
1901,5.979950401524547e-08,1.4530721514915967e-08
1902,6.088752257937813e-08,7.365425602756659e-09
1903,6.75027536090056e-08,2.214090244478939e-08
1904,3.493506284257819e-08,2.364835083312755e-08
1905,5.057543717157387e-08,1.857873321853276e-08
1906,3.2922780945909835e-08,1.6975809202790515e-08
1907,5.554270998686661e-08,2.674278576364486e-08
1908,6.041008759893884e-08,1.7680999775393502e-08
1909,5.0609049395689e-08,1.265226234892225e-08
1910,6.62674679574593e-08,2.8323999146095957e-08
1911,4.362706818028528e-08,2.7133907565257687e-08
1912,6.928529927563432e-08,1.4586379215586476e-08
1913,5.196929819817342e-08,3.553003224965323e-08
1914,5.2234600644851525e-08,1.4732836284281348e-08
1915,5.890380805340101e-08,1.4136913861761968e-08
1916,4.1752354462687435e-08,2.4172416956957932e-08
1917,5.15421945124217e-08,4.386569774084137e-09
