year,voulant_VERB acheter_VERB,voulant_VERB racheter_VERB
1800,1.2576657937302116e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,1.950339267864365e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,8.528632911009026e-09,1.9900143755080535e-08
1806,3.1698359492793315e-08,0.0
1807,8.540865792383556e-09,0.0
1808,3.3991110370834576e-08,6.798221985349073e-09
1809,2.9367397402779716e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,2.300593315851529e-08,1.4378708002027452e-08
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,2.697223555614414e-09
1816,4.6352077731626196e-09,2.0858434979231788e-08
1817,0.0,6.227493631882908e-09
1818,3.5763532135746345e-09,9.536941902865692e-09
1819,4.140420006848444e-09,1.6561680027393777e-08
1820,2.4919610375206958e-08,1.1866481131050932e-09
1821,6.903041693817613e-09,1.97229765852569e-09
1822,1.4035862250239006e-08,8.02049271442229e-09
1823,1.1859224713361982e-08,2.964806067318193e-09
1824,1.0105335235266466e-08,0.0
1825,1.0566531649658373e-08,7.924898959288385e-09
1826,1.5854372037438225e-08,4.403992281964975e-09
1827,3.2260455640198415e-08,3.6869092223668076e-09
1828,1.2841221419535032e-08,7.337841001486822e-09
1829,1.628903412154159e-08,6.858540846366168e-09
1830,6.262101504006523e-09,2.0873671680021744e-09
1831,4.053713453799901e-08,9.354723218280014e-09
1832,2.1647950987357945e-08,1.2176972319366541e-08
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,3.733812370398937e-09,1.8669061851994684e-09
1835,1.2100940693926532e-08,8.31939672707449e-09
1836,1.008112526790228e-08,8.736974699274924e-09
1837,1.3219993100221927e-08,1.3915781860163179e-09
1838,5.049729523420865e-09,1.8936486601006663e-08
1839,7.690622361167243e-09,1.1885507689157748e-08
1840,1.5924221219432155e-08,7.64362617644565e-09
1841,7.704658244733764e-09,1.1556987367100646e-08
1842,2.5491406319133603e-08,7.379091560011375e-09
1843,1.4767278067040479e-08,5.316220130779925e-09
1844,1.1525978393933656e-08,1.2623690537338916e-08
1845,2.3994980058450466e-08,1.562463758375543e-08
1846,1.9319855271149322e-08,1.2879903366069811e-08
1847,2.8584086209093584e-08,7.011190739092399e-09
1848,4.183515400768556e-08,6.4361772578180876e-09
1849,1.9272654583346593e-08,5.027648741773305e-09
1850,1.2220192857625989e-08,1.3577992064028876e-08
1851,2.192809134271556e-08,3.2247193804124663e-09
1852,9.114764054629632e-09,5.208436348880241e-09
1853,6.569124799682413e-09,6.569125021727018e-09
1854,2.234135632050993e-08,1.246959496770117e-08
1855,1.4859423913549108e-08,5.837630823180007e-09
1856,2.3815070804289462e-08,1.2425253714809514e-08
1857,4.393358121745905e-09,6.345961645060072e-09
1858,1.0766087576996597e-08,7.82988185399347e-09
1859,1.782260738991681e-08,1.4258085156981792e-08
1860,1.922417167121715e-08,8.696649400619094e-09
1861,2.263662679524714e-08,4.71596389717277e-09
1862,1.2650361647104091e-08,4.517986429419807e-09
1863,1.548332484446746e-08,1.1987089765241876e-08
1864,2.0617330065419992e-08,1.1507347075223606e-08
1865,1.3649848806807086e-08,8.001635409815577e-09
1866,1.0704348518686402e-08,9.731226047193786e-09
1867,2.814630661873707e-08,1.261730986357179e-08
1868,1.2349684830326169e-08,1.3831647049933338e-08
1869,2.29525395356589e-08,8.30198221279943e-09
1870,1.2614907340946502e-08,1.4335121978348297e-08
1871,1.5931766128574054e-08,2.1242354542039266e-09
1872,1.2094678814023041e-08,4.23313739617015e-09
1873,1.0774807712721213e-08,7.78180558880237e-09
1874,1.0156835539287812e-08,1.7923826867161097e-09
1875,1.8881038954532414e-08,4.0050688876469565e-09
1876,9.069021977836655e-09,1.3301232115736639e-08
1877,1.4843558382438005e-08,1.2369631985365004e-09
1878,1.4493812372506909e-08,1.8117265465633636e-09
1879,1.9549840857280287e-08,9.774920317617841e-09
1880,1.7969970400599777e-08,1.4119261537715033e-08
1881,5.5780060570498335e-09,2.091752326904839e-09
1882,2.4624924321869912e-08,3.3276925659464496e-09
1883,5.687405213450347e-09,1.895801682305631e-09
1884,1.1222884843675729e-08,1.3203393933736152e-09
1885,3.86738152613475e-09,9.668453648803421e-09
1886,1.5488312854472497e-08,3.872078213618124e-09
1887,1.0446279397058333e-08,1.3057849246322917e-09
1888,7.60873763994141e-09,6.974676169946292e-09
1889,8.14467782106476e-09,1.2530273485467092e-09
1890,5.898947996740844e-09,3.2771931834929546e-09
1891,1.0836173736095134e-08,8.92390783491237e-09
1892,4.387958441043338e-09,9.402768119670668e-09
1893,2.0322774796355247e-08,3.695050043717174e-09
1894,7.561847148451761e-09,1.8904617871129403e-09
1895,7.824199066419624e-09,0.0
1896,1.1204354666283223e-08,5.89702897624278e-10
1897,1.2236098023699071e-08,5.826713445067355e-09
1898,1.923840664552756e-08,3.3950129374460403e-09
1899,1.2160672469008205e-08,6.633094074004475e-09
1900,1.09012117111007e-08,4.15284251431558e-09
1901,1.397184773432869e-08,4.470991132876634e-09
1902,1.2275709337927765e-08,9.820567692386817e-10
1903,7.020286574288548e-09,3.7801541896698154e-09
1904,6.987012746151322e-09,6.449550227216605e-09
1905,9.805441791854719e-09,5.160759042333041e-10
1906,5.658602919567102e-09,2.0576737536082135e-09
1907,5.65712765521198e-09,1.5428529565042481e-09
1908,1.2278472460991452e-08,2.4556945366072114e-09
1909,1.5402754627302784e-08,2.2003934230241384e-09
1910,1.122271631182059e-08,8.550640973048473e-09
1911,9.044636151145369e-09,2.128149656499545e-09
1912,6.772247373998397e-09,4.688478938419394e-09
1913,1.6969566696278804e-08,1.5908969142053309e-09
1914,1.2054139020278853e-08,3.348371913070025e-09
1915,2.3561523843085297e-09,5.890380960771324e-09
1916,1.0987461607214755e-08,2.197492410260793e-09
1917,4.386569774084137e-09,0.0
1918,3.44591288836682e-09,6.89182577673364e-09
1919,9.207848705727883e-09,0.0
1920,9.086678076641874e-09,0.0
1921,3.7863738810983705e-09,2.2718242842501013e-09
1922,1.0329110011753073e-08,0.0
1923,1.6985516548828627e-08,2.1231896241147297e-09
1924,1.2891624656674594e-08,1.289162443462999e-09
1925,8.798542339150117e-09,2.1996355847875293e-09
1926,1.4489979882625903e-08,3.343841648018042e-09
1927,1.0034302277972529e-08,7.804457524684949e-09
1928,2.6279895593006586e-08,2.6279894704828166e-08
1929,1.3368487650211591e-08,0.0
1930,1.0503603875555712e-08,2.100720708497761e-09
1931,1.9389105432310316e-08,3.4216069977333063e-09
1932,1.2055489939655217e-08,2.1919073223131136e-09
1933,8.02946331646126e-09,5.735331098932761e-09
1934,3.5944740517379614e-09,5.990790086229936e-09
1935,1.4361940969820353e-08,4.787313656606784e-09
1936,3.6374143697059935e-09,2.424942913137329e-09
1937,8.813782592653752e-09,3.777335444432595e-09
1938,7.779128674556546e-09,3.8895642262559704e-09
1939,0.0,1.5294050470515685e-09
1940,2.5357829169792012e-09,0.0
1941,2.9515025978810172e-09,0.0
1942,2.123948195098535e-08,6.068423541449874e-09
1943,8.709705845433291e-09,2.9032352077962287e-09
1944,9.639558484764166e-09,6.4263723231761105e-09
