year,avait_VERB apporté_VERB,avait_VERB rapporté_VERB
1800,7.263020052050706e-07,2.3581233676850388e-07
1801,7.238795092234795e-07,1.166779455274991e-07
1802,4.788977889802482e-07,1.767893706983159e-07
1803,5.324425842445635e-07,1.8138155155611457e-07
1804,8.28070085390209e-07,2.175228814849106e-07
1805,4.2358877294645936e-07,1.3930100806192058e-07
1806,4.725937401417468e-07,2.4782355012575863e-07
1807,9.138726113633311e-07,3.7010417486271763e-07
1808,8.316491744153609e-07,2.3793776904312836e-07
1809,9.12648317807907e-07,1.8749953767382976e-07
1810,7.488405344702187e-07,2.8783560424017196e-07
1811,1.0028306860476732e-06,5.089365799904044e-07
1812,8.081640885393426e-07,3.5207148130211863e-07
1813,1.256699079021928e-06,7.534442829637555e-07
1814,7.394691010631504e-07,1.7306724942045548e-07
1815,1.1921728173547308e-06,3.5873074466508115e-07
1816,8.783718499216775e-07,3.6154619920125697e-07
1817,1.0586738881102065e-06,4.17242063122103e-07
1818,1.1539699471541098e-06,4.267781434919016e-07
1819,1.1375803978808108e-06,4.709727647878026e-07
1820,1.3231126558821416e-06,5.517913450603373e-07
1821,1.3184809404265252e-06,5.167419772078574e-07
1822,1.4898065501256497e-06,7.21844344298006e-07
1823,1.5160042039497057e-06,4.407678488860256e-07
1824,1.45516833072179e-06,6.854785965515475e-07
1825,1.6307679970850586e-06,6.419168130378239e-07
1826,1.3405751815298572e-06,5.117439059176832e-07
1827,1.4683115523439483e-06,5.733143666475371e-07
1828,1.2171643675173982e-06,6.182131073728669e-07
1829,1.7403547190042445e-06,7.621553663739178e-07
1830,1.7241652585653355e-06,5.855064841853164e-07
1831,1.280038077311474e-06,7.452596264556632e-07
1832,1.5315924883907428e-06,5.614937208520132e-07
1833,1.5788485825396492e-06,5.618059617518156e-07
1834,1.599005145180854e-06,6.487499035756628e-07
1835,1.7841324506662204e-06,7.071487289067591e-07
1836,1.6297818774546613e-06,5.61182616820588e-07
1837,1.745039071465726e-06,5.788965040665062e-07
1838,1.557841528665449e-06,6.981251203797001e-07
1839,1.7010258943628287e-06,5.92877086091903e-07
1840,1.6440166064057848e-06,6.841045774308441e-07
1841,1.4869990536681144e-06,6.304978796833893e-07
1842,1.6676747236488154e-06,6.963178975638584e-07
1843,1.5877776604611427e-06,6.769320179955685e-07
1844,1.8414123132970417e-06,5.592843876911502e-07
1845,1.8492875142328558e-06,5.781116101388761e-07
1846,1.7060017398762284e-06,6.568750450242078e-07
1847,1.6859216884768102e-06,6.229173550309497e-07
1848,1.4207861340764794e-06,5.848876298841788e-07
1849,1.6926418311413727e-06,6.544323127855023e-07
1850,1.5085149698279565e-06,5.702756880054949e-07
1851,1.5691484804847278e-06,5.585213784797816e-07
1852,1.5508119304286083e-06,5.787874783891311e-07
1853,1.7115556829594425e-06,6.360107249747671e-07
1854,1.6532604831809294e-06,6.000992698318441e-07
1855,1.7454516409998178e-06,7.275810958162765e-07
1856,1.5557453707515378e-06,6.191918373588123e-07
1857,1.5718459280833486e-06,6.428947472159052e-07
1858,1.5992533235476003e-06,6.958807148294e-07
1859,1.5862119653320406e-06,6.655470770056127e-07
1860,1.7095782141041127e-06,7.199910214694683e-07
1861,1.567586309647595e-06,6.512746040243655e-07
1862,1.7055398302545655e-06,8.389900472138834e-07
1863,1.6891807490537758e-06,7.032426196929009e-07
1864,1.7587061620361055e-06,6.64069830236258e-07
1865,1.5461984048670274e-06,5.539955623135029e-07
1866,1.6752305782574695e-06,7.376269195447094e-07
1867,1.7887463172883145e-06,7.623766578035429e-07
1868,1.6380622582801152e-06,6.866425223961414e-07
1869,1.593003958078043e-06,6.456012329181249e-07
1870,1.6835167571116472e-06,6.112496180321614e-07
1871,1.4317347449832596e-06,7.148052532102156e-07
1872,1.6376194480471895e-06,6.077576131247042e-07
1873,1.6503414599355892e-06,6.476856810877507e-07
1874,1.585661266290117e-06,6.434653982978489e-07
1875,1.581430069563794e-06,6.614085350520327e-07
1876,1.564104081808182e-06,6.487373980235134e-07
1877,1.6476350310767884e-06,7.526921308453893e-07
1878,1.5611044545948971e-06,6.878522071929183e-07
1879,1.5548232568107778e-06,7.172347977757454e-07
1880,1.5794319097039988e-06,6.668142304988578e-07
1881,1.6162272231667885e-06,7.314160370697209e-07
1882,1.7164238670375198e-06,7.933219308142725e-07
1883,1.4932597878214438e-06,7.147172595978191e-07
1884,1.6253377452812856e-06,6.898773108332534e-07
1885,1.5785361711095902e-06,6.136245360721659e-07
1886,1.5456046185136074e-06,6.163057832964114e-07
1887,1.5930576182654477e-06,6.274296424635395e-07
1888,1.603541477379622e-06,6.251846116356319e-07
1889,1.3939928749095998e-06,6.622249770771305e-07
1890,1.547490683151409e-06,6.73135502893274e-07
1891,1.4552343827745062e-06,5.437209438241553e-07
1892,1.4436384390137391e-06,5.873596364835976e-07
1893,1.5445308463313268e-06,6.878951239741582e-07
1894,1.4342303984449245e-06,6.414966833290237e-07
1895,1.4185874306349433e-06,6.578345619345782e-07
1896,1.583941980243253e-06,6.439555590986856e-07
1897,1.4380328821061994e-06,5.494591164278972e-07
1898,1.5283216043826542e-06,6.337357376651198e-07
1899,1.536114041300607e-06,6.168777417769888e-07
1900,1.448303805773321e-06,5.907418199058156e-07
1901,1.3826539770889212e-06,5.879353466298198e-07
1902,1.2413197509886231e-06,5.101784950056754e-07
1903,1.236650405189721e-06,5.481223297465476e-07
1904,1.2845354149249033e-06,5.621857894766435e-07
1905,1.4006300261826254e-06,6.084534902583982e-07
1906,1.4074488490223303e-06,6.594844421670132e-07
