year,faudrait_VERB établir_VERB,faudrait_VERB etablir_VERB,faudrait_VERB rétablir_VERB
1800,1.131899196593622e-07,0.0,2.829747991484055e-08
1801,7.143547975374531e-08,0.0,7.143547975374531e-09
1802,6.042168365638645e-08,0.0,8.951360541686881e-09
1803,5.070882025393075e-08,0.0,3.510610468993036e-08
1804,2.2741028260497842e-07,0.0,2.2246657849223084e-08
1805,7.107194477384837e-08,0.0,1.7057265822018053e-08
1806,3.1698359492793315e-08,0.0,0.0
1807,7.402083213037258e-08,0.0,3.4163463169534225e-08
1808,4.758755522971114e-08,0.0,0.0
1809,5.6475762733043666e-08,0.0,6.7770917766551975e-09
1810,9.126494404654295e-08,0.0,7.020380277111826e-09
1811,9.025476543911282e-08,5.0141535368197765e-09,2.5070767684098882e-09
1812,9.868670503010435e-08,0.0,5.3344164641089264e-09
1813,7.764502640839055e-08,0.0,5.751483289628823e-09
1814,8.181360300341112e-08,0.0,6.293354282149721e-09
1815,6.203614333344376e-08,0.0,1.0788894222457657e-08
1816,3.9399267848239106e-08,0.0,1.8540831092650478e-08
1817,6.227493543065066e-08,0.0,3.113746771532533e-08
1818,5.96058882251782e-08,1.1921177378582115e-09,2.8610825708597076e-08
1819,1.35598753558952e-07,0.0,4.140420006848444e-09
1820,1.4239776646718383e-07,0.0,2.3732962262101864e-09
1821,8.973954379598581e-08,4.930744257336528e-09,0.0
1822,1.3634837614517892e-07,1.0025615893027862e-09,3.0076847679083585e-09
1823,9.289725966254991e-08,0.0,1.9765373782121287e-09
1824,1.0863235644364977e-07,0.0,2.5263338088166165e-09
1825,9.509878395874694e-08,0.0,7.924898959288385e-09
1826,7.662946188702335e-08,8.807984341885344e-10,1.5854372037438225e-08
1827,9.8624823863247e-08,0.0,9.217273166939322e-09
1828,8.6219628769868e-08,9.172301251858528e-10,1.4675682002973645e-08
1829,2.0404158362907765e-07,0.0,2.914879893012312e-08
1830,9.080046936560393e-08,0.0,4.174734336004349e-09
1831,1.855353559676587e-07,0.0,1.5591206103948707e-09
1832,1.0959275442701255e-07,0.0,2.570694235259907e-08
1833,1.7491278470060934e-07,0.0,1.6217079235048004e-08
1834,1.4375177670444828e-07,0.0,1.120143711119681e-08
1835,1.0361430469174593e-07,0.0,1.1344631900556124e-08
1836,1.276942498407152e-07,6.720750067579218e-10,9.409050427677812e-09
1837,1.5794412888681109e-07,0.0,2.5744196108234974e-08
1838,1.2561201856442494e-07,1.2624323808552163e-09,1.5780404538645598e-08
1839,1.2025337525756186e-07,0.0,2.23727205650448e-08
1840,1.738925021754767e-07,0.0,1.9109066329292546e-08
1841,1.2969508134119678e-07,0.0,1.4125206782011901e-08
1842,1.3148199684565043e-07,0.0,9.391571076378114e-09
1843,1.7543526098506845e-07,0.0,1.6539351221922516e-08
1844,1.3886059946344176e-07,0.0,1.0428266250528395e-08
1845,1.7131300467099209e-07,0.0,1.3950569588416784e-08
1846,1.3875168747290445e-07,0.0,1.0538101946622191e-08
1847,1.8552688629824843e-07,0.0,7.550513103637968e-09
1848,1.3757329497821047e-07,0.0,1.528592186161859e-08
1849,1.298809308991622e-07,8.379414939696517e-10,2.6814127807028854e-08
1850,1.5207351111712342e-07,0.0,6.788996032014438e-09
1851,1.2511911506862816e-07,0.0,4.514607354622058e-09
1852,1.2955985084772692e-07,0.0,7.161600201754936e-09
1853,7.584353767242646e-08,0.0,1.4332636411040767e-08
1854,1.397633724309344e-07,5.195664454227256e-10,6.234797567117312e-09
1855,1.284278710045328e-07,1.0613874223963649e-09,5.306937111981824e-09
1856,1.6670549030095572e-07,1.0354378465748937e-09,1.0354378465748937e-09
1857,1.2399033266774495e-07,0.0,5.369659827891837e-09
1858,1.4044850615846372e-07,0.0,1.8595969208945462e-08
1859,1.34942595764187e-07,0.0,1.5276519604867644e-08
1860,1.0390207449972877e-07,0.0,1.327383358784573e-08
1861,1.5939957620503264e-07,9.431927461278633e-10,1.0846716413936974e-08
1862,1.4773814882573788e-07,0.0,1.626475132354699e-08
1863,2.202627769065657e-07,0.0,2.1476870060155306e-08
1864,1.9994016042801377e-07,0.0,1.4384183621984903e-08
1865,1.25672741546623e-07,0.0,1.4591217123438582e-08
1866,1.6932332869146194e-07,0.0,7.784980660119345e-09
1867,1.5820165799595998e-07,0.0,3.34843974769683e-08
1868,1.5363008287749835e-07,0.0,3.408512938563035e-08
1869,1.255064461247457e-07,0.0,1.70923168951731e-08
1870,1.4392462333034928e-07,0.0,2.064257564882155e-08
1871,1.8799484280407341e-07,0.0,1.3807530230280918e-08
1872,1.8383911992714275e-07,6.047339295989218e-10,4.5959779981785687e-08
1873,1.62819318916263e-07,0.0,1.4366410283628284e-08
1874,1.5354746096818417e-07,0.0,2.2703515512034755e-08
1875,1.5390908458812191e-07,4.577221712764867e-09,1.5448122780981066e-08
1876,1.614286020412692e-07,0.0,1.813804395567331e-08
1877,1.700824441286386e-07,0.0,1.5462040536817767e-08
1878,1.5762022087528749e-07,0.0,1.4493812372506909e-08
1879,1.6739551256250707e-07,0.0,2.3826368433788048e-08
1880,1.655804311440079e-07,0.0,3.0805662021293756e-08
1881,1.6176217343399912e-07,0.0,2.3009274485730202e-08
1882,1.9300617282169696e-07,0.0,1.5972924316542958e-08
1883,1.661986175349739e-07,0.0,1.1374810426900694e-08
1884,1.3797546216665069e-07,6.601696966868076e-10,2.2445769687351458e-08
1885,1.8176692151428142e-07,0.0,2.5782542323327107e-08
1886,1.400401714590771e-07,0.0,2.5813855941692054e-08
1887,2.08925584388453e-07,0.0,1.1099172247952538e-08
1888,1.452000759627481e-07,0.0,8.876860135842435e-09
1889,2.0925556043493998e-07,0.0,2.318100555953606e-08
1890,2.084294834503453e-07,0.0,2.4906668727453507e-08
1891,2.154486367089703e-07,0.0,1.466070642663908e-08
1892,1.698766851632172e-07,1.2537024751679837e-09,2.3193495124473884e-08
1893,1.872158605920049e-07,0.0,1.847524977449666e-08
1894,1.5438770617492992e-07,0.0,8.822155450616265e-09
1895,2.1667011651516077e-07,6.018614495673091e-10,1.444467478961542e-08
1896,1.444772124159499e-07,1.179405795248556e-09,1.3563166589847242e-08
1897,1.7188804690704274e-07,0.0,2.330685333618021e-08
1898,2.1784666159874178e-07,0.0,1.6975064909274806e-08
1899,1.9733454337256262e-07,0.0,1.2713430308508578e-08
1900,2.2684902489800152e-07,1.038210628578895e-09,1.2977633190303095e-08
1901,2.3137378946103127e-07,0.0,7.824234593556412e-09
1902,1.9984855725851958e-07,0.0,1.276673788908056e-08
1903,2.057483925455017e-07,0.0,1.5660639007819555e-08
1904,1.9778620696797589e-07,0.0,3.171028950532673e-08
1905,2.430717529477988e-07,0.0,2.0643035725242953e-08
1906,2.1657017157394876e-07,0.0,2.6749759740596346e-08
