year,eut_VERB envoyé_VERB,eut_VERB renvoyé_VERB
1800,5.973912209356058e-08,9.432493897065797e-09
1801,1.0953439755212457e-07,4.286128785224719e-08
1802,7.832440473976021e-08,3.3567602031325805e-08
1803,9.361627917314763e-08,2.5354410126965377e-08
1804,5.438072037122765e-08,3.707776485839531e-08
1805,4.5486043376286034e-08,5.685755422035754e-09
1806,1.0950342499427279e-07,2.305335300434308e-08
1807,5.124519120158766e-08,1.4234775136401367e-08
1808,9.064295625194063e-08,4.5321479902327155e-09
1809,6.09938268780752e-08,2.9367397402779716e-08
1810,7.254392642153107e-08,7.020380277111826e-09
1811,7.019814773912003e-08,4.763445815569867e-08
1812,2.1337665856435706e-08,0.0
1813,4.026038169513413e-08,8.627225156487839e-09
1814,1.3530711839848664e-07,0.0
1815,1.5104451733805035e-07,2.4275012222574333e-08
1816,1.1124498655590287e-07,1.1588019432906549e-08
1817,3.7364962679475866e-08,2.0239355080775567e-08
1818,7.033494853203592e-08,2.8610825708597076e-08
1819,1.0351050150347874e-07,2.3807414706311647e-08
1820,2.1478331291291397e-07,8.306536791735653e-09
1821,7.001656854299654e-08,2.5639868894700157e-08
1822,1.9148926355683216e-07,2.4061478143266868e-08
1823,1.2056878517796576e-07,3.5577674140085946e-08
1824,2.374753762524051e-07,3.9579230559638745e-08
1825,1.5409524678489106e-07,3.3460683113162304e-08
1826,1.9201405621060985e-07,3.6112734136395375e-08
1827,1.0139000039544044e-07,1.6591091167583727e-08
1828,8.071624790773058e-08,2.384798314380987e-08
1829,8.830371456269859e-08,4.543783305166471e-08
1830,1.0019362406410437e-07,1.6698937344017395e-08
1831,8.263339168479433e-08,2.0268567268999504e-08
1832,1.1500473817704915e-07,1.488296597074168e-08
1833,8.80355770505048e-08,1.6217079235048004e-08
1834,7.654315226091057e-08,1.5868701908061666e-08
1835,1.4067343556689593e-07,3.6302822081779595e-08
1836,1.397915951883988e-07,3.5619976301859424e-08
1837,1.8507989807403646e-07,2.6439986200443855e-08
1838,1.8115905220383866e-07,5.1759727170974656e-08
1839,1.0277468476260765e-07,4.9639474752893875e-08
1840,1.1592833715212691e-07,3.821813265858509e-08
1841,8.346712832008052e-08,1.6051371787284552e-08
1842,1.0934471816881342e-07,2.3478927246856074e-08
1843,8.210606239344997e-08,2.0674189471492355e-08
1844,1.1525978749205024e-07,4.9397050894128824e-09
1845,6.807878349945895e-08,2.5669049108500985e-08
1846,5.503231292891542e-08,3.5127008857216424e-08
1847,6.903326266183285e-08,1.3483059113639229e-08
1848,7.321151684891447e-08,4.183515400768556e-08
1849,3.351765798242923e-08,2.0948537127196687e-08
1850,7.671565782629841e-08,1.6972489191857676e-08
1851,7.932809609201286e-08,2.192809134271556e-08
1852,6.901178295493082e-08,1.6927417689771573e-08
1853,6.569125332589465e-08,1.851298847554972e-08
1854,1.1430461910322265e-07,2.182179059673217e-08
1855,5.1477289986223695e-08,1.4859423913549108e-08
1856,8.490590630572115e-08,2.0708757375587084e-08
1857,1.0153539165003167e-07,1.8061584228235006e-08
1858,5.1872966366772744e-08,8.808616946964776e-09
1859,4.3283474582267445e-08,2.036869339860914e-08
1860,4.851814949802247e-08,1.5562426014525954e-08
1861,5.423358118150645e-08,1.0846716413936974e-08
1862,6.731799828685325e-08,8.584174260306554e-09
1863,1.0538649775071462e-07,2.3974180862751382e-08
1864,6.856460998960756e-08,2.3973639073915365e-08
1865,7.295609094626343e-08,1.8827376990770972e-08
1866,1.041241191046538e-07,1.9462451206209153e-08
1867,5.435148864307848e-08,2.135237053835226e-08
1868,5.878450082263953e-08,1.0373735648272486e-08
1869,4.981189505315342e-08,1.6115613732381462e-08
1870,6.995539791887495e-08,2.0069171213776826e-08
1871,3.292564798584863e-08,2.442870794538976e-08
