year,devait_VERB abaisser_VERB,devait_VERB rabaisser_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,3.94459531705138e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,1.6842225392110777e-09,0.0
1825,8.805443041381977e-10,2.641632912414593e-09
1826,1.7615968683770689e-09,4.403992281964975e-09
1827,9.217273055917019e-10,0.0
1828,9.172301251858528e-10,0.0
1829,8.57317605795771e-10,0.0
1830,9.39315203396518e-09,9.39315203396518e-09
1831,1.4032085715598441e-08,0.0
1832,2.705993873419743e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,3.025235173481633e-09,4.5378527602224494e-09
1836,0.0,0.0
1837,0.0,2.7831563720326358e-09
1838,3.787297142565649e-09,2.5248647617104325e-09
1839,1.677954131196202e-08,3.4957374772659477e-09
1840,2.5478754661634184e-09,0.0
1841,1.1556987367100646e-08,6.420548537278137e-10
1842,4.695785538189057e-09,0.0
1843,2.3627643841450663e-08,1.1813822142769936e-09
1844,1.756339607084101e-08,0.0
1845,7.812318791877715e-09,0.0
1846,1.2879903366069811e-08,3.5127007969038004e-09
1847,2.7505439703645607e-08,0.0
1848,8.84974404868899e-09,0.0
1849,7.54147322368226e-09,0.0
1850,3.394498016007219e-09,0.0
1851,9.674158363282004e-09,3.8696632564949596e-09
1852,6.510545436100301e-10,0.0
1853,1.2541057081705276e-08,2.388772735173461e-09
1854,1.0391328908454511e-09,0.0
1855,2.1227748447927297e-09,5.306937111981824e-10
1856,4.659470143053568e-09,1.4496129630003907e-08
1857,1.1715622250108026e-08,4.881509085841174e-10
1858,1.9574704079872163e-09,1.9574704079872163e-09
1859,4.073738679721828e-09,1.5276520048956854e-09
1860,1.0069804545764782e-08,1.8308735638683515e-09
1861,1.0846716413936974e-08,1.8863854922557266e-09
1862,5.873382225018986e-09,0.0
1863,3.995696662428827e-09,0.0
1864,1.582260189536555e-08,4.794727948009836e-10
1865,9.413688495385486e-09,4.706844358715045e-10
1866,1.1190909532388105e-08,9.731225825149181e-10
1867,5.82337378318698e-09,2.426405742994575e-09
1868,1.531360993567432e-08,0.0
1869,9.278686263769487e-09,4.883519144627257e-10
1870,4.013834153937523e-09,5.734048791339319e-10
1871,1.1683295220166201e-08,0.0
1872,1.3304146229131675e-08,3.628403577593531e-09
1873,1.0176207432266438e-08,0.0
1874,8.364453130127458e-09,2.3898436563030145e-09
1875,1.830888685105947e-08,2.8607636259891933e-09
1876,9.673623679873344e-09,2.418405919968336e-09
1877,6.80329748092845e-09,1.8554447978047506e-09
1878,4.831270938865373e-09,0.0
1879,9.774920428640144e-09,3.0546627449723474e-09
1880,1.0268554007097919e-08,1.2835692508872398e-09
1881,2.091752326904839e-09,0.0
1882,7.986462158271479e-09,6.655385131892899e-10
1883,6.319338829996468e-09,0.0
1884,1.0562715146988921e-08,0.0
1885,7.090199094506033e-09,0.0
1886,1.871504551331782e-08,0.0
1887,6.528924623161458e-10,0.0
1888,9.510921827882157e-09,0.0
1889,8.771191772893872e-09,0.0
1890,1.0487018364813139e-08,0.0
1891,1.1473596295275001e-08,6.374220040683554e-10
1892,6.8953633913793055e-09,6.268512375839919e-10
1893,3.079208221734575e-09,6.158416554491453e-10
1894,3.780923574225881e-09,0.0
1895,5.416753268150387e-09,0.0
1896,4.1279202278587945e-09,5.89702897624278e-10
1897,6.992056267307589e-09,0.0
