year,peut_VERB amener_VERB,peut_VERB ramener_VERB
1800,4.401830153710762e-07,2.924072930454713e-07
1801,4.3337522015463037e-07,3.64320925427819e-07
1802,4.1400042505301826e-07,1.969299319171114e-07
1803,4.4467734028330597e-07,2.5939510805983446e-07
1804,4.251583618497534e-07,2.694317515761213e-07
1805,4.832892273043399e-07,2.0753007845542015e-07
1806,3.054569219784753e-07,2.2188852710769424e-07
1807,4.128085038246354e-07,1.992868590150465e-07
1808,4.169576186541235e-07,2.3567169193938753e-07
1809,6.912633239153365e-07,3.591858614981902e-07
1810,4.7504573785772664e-07,2.737948250342015e-07
1811,2.8329966994533606e-07,2.63243066456198e-07
1812,6.294611694102059e-07,2.533847691665869e-07
1813,4.284854924208048e-07,3.192073165791953e-07
1814,4.531215154202073e-07,2.800542517888971e-07
1815,6.041780693522014e-07,3.263640451223182e-07
1816,1.033651301440841e-06,3.314173682156252e-07
1817,5.947256340732565e-07,2.662253564267303e-07
1818,5.889061753805436e-07,2.1577331210664852e-07
1819,4.482004669625894e-07,3.622867552621756e-07
1820,6.241768915060675e-07,2.3139638472002844e-07
1821,6.922765010131116e-07,2.2484192641059053e-07
1822,5.293525191518711e-07,3.0878896950525814e-07
1823,5.662779472004331e-07,1.680056840314137e-07
1824,5.12003680341877e-07,2.7537038249647594e-07
1825,6.234253646653087e-07,1.1182912373897125e-07
1826,5.610685889223532e-07,2.1755721490990254e-07
1827,7.364600946857536e-07,2.4702291057110415e-07
1828,6.246337420634518e-07,1.6693587667759857e-07
1829,6.952845978958067e-07,2.1090012580771145e-07
1830,6.867438173685514e-07,1.9516882332482055e-07
1831,7.639691261829284e-07,2.2763160245631298e-07
1832,8.347990956281137e-07,2.746583902535349e-07
1833,1.004300543172576e-06,2.2008893552083464e-07
1834,7.327606681428733e-07,2.3523017489424092e-07
1835,7.457204560523678e-07,2.246237045255839e-07
1836,7.809511544110137e-07,1.7809988150929712e-07
1837,8.836521487864957e-07,2.7205354058423836e-07
1838,7.694525265833363e-07,2.360748538876578e-07
1839,8.242949434134061e-07,2.467990611876303e-07
1840,8.943042644204979e-07,2.7644449573926977e-07
1841,9.059393732968601e-07,2.831461927144119e-07
1842,9.975190096156439e-07,2.6229315608361503e-07
1843,8.375999982490612e-07,2.3509505808760878e-07
1844,9.736708079799428e-07,2.403989753929636e-07
1845,9.023228813020978e-07,2.935200029696716e-07
1846,8.231428978433541e-07,2.804306120651745e-07
1847,9.006683399093163e-07,2.1842555497642024e-07
1848,1.0490969089005375e-06,2.067621949208842e-07
1849,1.0851342722162372e-06,2.1535096550451271e-07
1850,9.16514466098306e-07,1.9280749086192372e-07
1851,9.184000759887567e-07,1.850988979867907e-07
1852,9.101742648454092e-07,1.9206109413971717e-07
1853,9.405792411598668e-07,3.045685161850997e-07
1854,7.518126494687749e-07,2.1458093613091478e-07
1855,8.703376579433098e-07,2.3350523292720027e-07
1856,8.283502666017739e-07,2.298671972766897e-07
1857,9.382260373058671e-07,2.29430924036933e-07
1858,9.258835120817821e-07,2.383220163437727e-07
1859,1.0713932852013386e-06,2.688667564143543e-07
1860,9.433575769435265e-07,2.416753090983548e-07
1861,1.0752397656688117e-06,2.71167920118387e-07
1862,1.021516709442949e-06,2.597842012619367e-07
1863,9.250038033314922e-07,2.7420469450589735e-07
1864,9.987418252421776e-07,2.5172320761157607e-07
1865,1.0185610790358623e-06,2.4946274379544775e-07
1866,1.0237249625788536e-06,2.2819725131739688e-07
1867,1.1379843272152357e-06,2.605959821266879e-07
1868,9.855049256657367e-07,3.033082691672462e-07
1869,1.1866951581396279e-06,2.749421241787786e-07
1870,1.0797214144986356e-06,3.5665783570948406e-07
1871,1.2501125183916884e-06,3.027035404556955e-07
1872,1.3745602700510062e-06,2.896675539432181e-07
1873,1.3456537999445572e-06,3.064834288579732e-07
1874,1.139358005275426e-06,3.1127714805734286e-07
1875,1.240427081938833e-06,3.472966909612296e-07
1876,1.3180311952964985e-06,3.222525890578254e-07
1877,1.1182147545696353e-06,3.2161042895495484e-07
1878,1.1830575203930493e-06,3.242990658236522e-07
1879,1.1345017583153094e-06,2.5903540290528326e-07
1880,1.0916756991719012e-06,2.336095974442287e-07
1881,1.1943905064981664e-06,2.6077177039951493e-07
1882,1.1420640930737136e-06,3.4075571875291644e-07
1883,1.0837666195584461e-06,3.0080053647907334e-07
1884,1.1255892786721233e-06,3.016975540504063e-07
1885,1.1312090464343783e-06,3.9382834415846446e-07
1886,1.2364836265987833e-06,3.588125991882407e-07
1887,1.2098097386115114e-06,3.577850691272033e-07
1888,1.1780862223531585e-06,3.4112505886696454e-07
1889,1.057555095940188e-06,3.1513638987235026e-07
1890,1.1928983667530701e-06,2.529993139432918e-07
1891,1.2053650380039471e-06,3.3910851016116794e-07
1892,1.2505681752372766e-06,3.309774569970614e-07
1893,1.1516239055708866e-06,3.251643931889703e-07
1894,1.2395128123898758e-06,4.102302000319469e-07
1895,1.293400259783084e-06,3.4185731578872947e-07
1896,1.3339079032448353e-06,3.196189766185853e-07
1897,1.3418921298580244e-06,3.379493875854678e-07
1898,1.2918023912789067e-06,3.236579004806117e-07
1899,1.3542567103286274e-06,3.659257004073879e-07
1900,1.2359897709757206e-06,3.32746509457138e-07
1901,1.4150687093206216e-06,3.1576374226460757e-07
1902,1.561961312290805e-06,3.8005597957635473e-07
1903,1.2236898783157812e-06,3.3805378052420565e-07
1904,1.2221897804920445e-06,4.3749449218921654e-07
1905,1.1529135690580006e-06,3.808640087754611e-07
1906,1.2052823876729235e-06,3.307710585431778e-07
1907,1.1684539913403569e-06,3.14742010232294e-07
1908,1.2573156027428922e-06,2.946833319583675e-07
1909,1.2960317690158263e-06,4.142240754845261e-07
1910,1.117996362154372e-06,3.291996790721896e-07
1911,1.0497097946426948e-06,3.95303800360125e-07
1912,1.10179257717391e-06,3.745573735614016e-07
1913,1.230823954756488e-06,3.351489397118712e-07
1914,1.2020655049127527e-06,3.716692731359217e-07
1915,9.636663662604406e-07,3.522447684645158e-07
1916,9.61402975008241e-07,2.5600786557333777e-07
1917,9.957512929759105e-07,3.399591435027105e-07
1918,1.044111627379607e-06,2.871593949294038e-07
1919,1.069951963472704e-06,3.2687862017155567e-07
1920,1.0684418612072477e-06,3.377215307409642e-07
1921,1.1139511570945615e-06,3.165408486438537e-07
1922,1.0535692354096682e-06,3.5635429185276735e-07
1923,8.492758638567466e-07,3.609422378758609e-07
1924,9.849201205724967e-07,3.210014369869896e-07
