year,dut_VERB amener_VERB,dut_VERB ramener_VERB
1800,6.288328968651058e-09,0.0
1801,7.143547975374531e-09,7.143547975374531e-09
1802,1.1189200677108602e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,2.842877755426798e-08,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,4.969867006821005e-08,0.0
1810,9.360507036149102e-09,0.0
1811,1.3287507272252697e-07,0.0
1812,5.3344164641089264e-09,0.0
1813,2.5881675469463516e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,0.0,0.0
1816,1.3905623319487859e-08,0.0
1817,6.694555310104988e-08,0.0
1818,4.768470951432846e-09,0.0
1819,2.173720581311045e-08,0.0
1820,4.50926265216367e-08,0.0
1821,1.97229765852569e-09,0.0
1822,2.2056354964661296e-08,1.0025615893027862e-09
1823,3.063632902922109e-08,0.0
1824,4.463189640091514e-08,0.0
1825,2.8177417732422327e-08,8.805443485471187e-09
1826,6.1655889282974385e-09,5.284790383086602e-09
1827,5.530363722527909e-09,2.7651818612639545e-09
1828,2.7516904310687096e-08,5.503380862137419e-09
1829,2.0575622983187714e-08,6.858540846366168e-09
1830,1.7742621594152297e-08,0.0
1831,2.8064171431196883e-08,0.0
1832,1.7588959622116818e-08,6.764984572527055e-09
1833,2.89590715851773e-08,3.4750886612755494e-09
1834,1.3068342852307069e-08,8.401078055442213e-09
1835,1.663879345414898e-08,0.0
1836,3.091545153210973e-08,0.0
1837,4.383471363667013e-08,1.3915781860163179e-09
1838,2.209256599883247e-08,1.2624323808552163e-09
1839,3.705481788074394e-08,6.9914751765765e-10
1840,4.0129037870428874e-08,1.2739377330817092e-09
1841,5.457466301095337e-08,3.2102742686390684e-09
1842,3.287049921141261e-08,1.341653010911159e-09
1843,4.7255287682901326e-08,9.451057714215949e-09
1844,3.1284798751585186e-08,1.6465683927435748e-08
1845,6.41726245476093e-08,8.928364714222425e-09
1846,3.688335681317767e-08,1.0538101946622191e-08
1847,4.260646591092154e-08,1.77976389181822e-08
1848,3.539897619475596e-08,2.413566457803995e-09
1849,3.603148357456121e-08,1.0893239199560867e-08
1850,5.634866795389826e-08,7.467895635215882e-09
1851,5.288539739467524e-08,6.449438760824933e-10
1852,2.408901877970493e-08,0.0
1853,2.7470886010405593e-08,1.1943863675867306e-08
1854,1.8704392701351935e-08,3.117398783558656e-09
1855,5.413075854221461e-08,2.653468555990912e-09
1856,3.727576114442854e-08,1.5531567143511893e-09
1857,3.758761835115365e-08,5.369659827891837e-09
1858,2.2510910469009104e-08,6.8511463169329545e-09
1859,3.8700516569178944e-08,5.601390462572908e-09
1860,2.6089947979812678e-08,9.612086238064421e-09
1861,2.87673795895671e-08,6.6023493339173456e-09
1862,6.23482137029896e-08,3.162590411776023e-09
1863,4.345320192555846e-08,9.989241434027463e-09
1864,3.0206784629172034e-08,5.753673537611803e-09
1865,2.4004906507002488e-08,6.118897832863013e-09
1866,7.20110691077025e-08,1.9462451650298362e-09
1867,2.0867089389753346e-08,9.220341823379385e-09
1868,3.457912001181285e-08,1.0867722721741302e-08
1869,2.783605879130846e-08,1.4650557433881772e-09
1870,3.4977698959437475e-08,1.1468097582678638e-09
1871,3.717412155879174e-08,3.18635318130589e-09
1872,1.5118347462816928e-08,8.4662747923403e-09
1873,2.1549615425442425e-08,1.1972008939764578e-09
1874,4.062734149101743e-08,9.559374625212058e-09
1875,3.661777370211894e-08,1.0298748520654044e-08
1876,3.4462285469771814e-08,5.441413541973361e-09
1877,2.4739264858908427e-08,2.040989244278535e-08
1878,4.589707458535486e-08,6.6429977074733415e-09
1879,2.6270098985037293e-08,4.887460214320072e-09
1880,3.8507078414795615e-08,3.8507077526617195e-09
1881,2.4403776777148778e-08,1.743126887276958e-08
1882,2.2628309892525067e-08,1.6638463051776853e-08
1883,2.338155447034751e-08,6.951272890631799e-09
1884,2.0465261485469455e-08,1.0562715146988921e-08
1885,3.0939052209078e-08,1.0957580620640783e-08
1886,3.613939725255477e-08,9.034849313138693e-09
1887,2.0239665943222462e-08,1.2404957061562527e-08
1888,2.1558090423923204e-08,7.60873763994141e-09
1889,3.759081934617825e-08,1.1903759755682586e-08
1890,2.2284913470116408e-08,9.176140736144589e-09
1891,1.3385862196457765e-08,5.736798147637501e-09
1892,2.005923960268774e-08,5.641661360300532e-09
1893,2.9560400349737392e-08,1.1700991287000306e-08
1894,2.457600345451283e-08,8.192000855444803e-09
1895,4.092657945875544e-08,1.9259566386153892e-08
1896,2.0049897742069334e-08,1.7101383420481397e-08
1897,1.2236098356765979e-08,1.0488084178916779e-08
1898,2.998928039232851e-08,6.224190496340043e-09
1899,3.427098604902312e-08,3.8693048765026106e-09
1900,1.661137005726232e-08,1.245852754294674e-08
1901,2.738482152153665e-08,1.3412973842719111e-08
1902,2.258730624760119e-08,9.820567470342212e-09
1903,2.970121215639665e-08,5.940242076007962e-09
1904,2.364835083312755e-08,1.6123875568041512e-08
1905,2.3223416079076742e-08,1.186974607492175e-08
1906,2.4692084821253957e-08,5.658602919567102e-09
1907,2.9314207949937554e-08,4.114274698707732e-09
1908,2.504808449543816e-08,5.893666887857307e-09
1909,2.2554033307642385e-08,4.400786846048277e-09
1910,1.2291546447329438e-08,1.336037680488289e-08
1911,1.3832972989291648e-08,7.448523575703803e-09
1912,1.5628263128064646e-08,7.814131564032323e-09
1913,1.2727175757731857e-08,6.893886794756554e-09
1914,2.0090231700464756e-08,4.68772043404897e-09
1915,8.246533234057551e-09,9.424609537234119e-09
1916,4.394984820521586e-09,8.789969641043172e-09
1917,5.483212106582869e-09,6.57985488317081e-09
1918,1.9526840588923733e-08,4.594550517822427e-09
1919,8.287063479883727e-09,6.4454939163738345e-09
1920,1.3630017114962811e-08,5.300562211374427e-09
1921,6.815472630705699e-09,1.9689142760626055e-08
1922,1.9920426197472807e-08,1.1066902949607993e-08
1923,1.9108707505210987e-08,2.1231896241147297e-09
1924,2.5783249313349188e-08,1.2891624656674594e-08
1925,2.1996356736053713e-08,4.399271169575059e-09
1926,1.89484357093761e-08,3.343841648018042e-09
1927,1.7838759802657478e-08,1.1149224876660924e-09
1928,6.8556245125250825e-09,1.1426041446327417e-08
1929,2.33948540540041e-08,8.912325100141061e-09
1930,1.995684684175103e-08,1.6805765667982087e-08
1931,2.8513390759599133e-08,1.8248570654577634e-08
