year,eurent_VERB éveillé_VERB,eurent_VERB réveillé_VERB
1800,0.0,2.5153315874604232e-08
1801,0.0,0.0
1802,0.0,0.0
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,1.5862518409903714e-08
1809,0.0,1.581321384946932e-08
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,1.8880061958270744e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,1.0729059418679299e-08
1819,0.0,5.175524897538253e-09
1820,1.3053129244156025e-08,0.0
1821,1.2819934447350079e-08,2.9584463767662328e-09
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,1.584979791857677e-08
1826,0.0,7.927186018719112e-09
1827,3.6869092223668076e-09,3.6869092223668076e-09
1828,9.172301251858528e-10,3.668920500743411e-09
1829,0.0,3.429270423183084e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,5.411987746839486e-09
1833,0.0,4.6334514003376626e-09
1834,0.0,1.8669061851994684e-09
1835,5.294161553592858e-09,1.5126175867408165e-09
1836,0.0,0.0
1837,0.0,2.7831563720326358e-09
1838,0.0,8.837027110075724e-09
1839,6.9914751765765e-10,2.0974426639952526e-09
1840,7.64362617644565e-09,1.0191501864653674e-08
1841,1.926164561183441e-09,0.0
1842,0.0,2.683306021822318e-09
1843,0.0,1.7720733769266417e-09
1844,0.0,2.7442805805577564e-09
1845,2.2320911785556063e-09,0.0
1846,5.854501328173001e-10,0.0
1847,8.629157832729106e-09,3.775256551818984e-09
1848,0.0,0.0
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,1.3577992064028876e-09
1851,0.0,6.449438760824933e-10
1852,0.0,7.812654523320361e-09
1853,0.0,5.971931837933653e-10
1854,0.0,0.0
1855,5.306937111981824e-10,3.714855978387277e-09
1856,3.6240324075009767e-09,3.6240324075009767e-09
1857,0.0,1.4644527812635033e-09
1858,0.0,0.0
1859,0.0,2.036869339860914e-09
1860,0.0,1.373155145145688e-09
1861,6.13075279431996e-09,4.715963730639317e-10
1862,0.0,4.517986262886353e-10
1863,1.4983863039219614e-09,1.4983863039219614e-09
1864,4.794727948009836e-10,1.9178911792039344e-09
1865,0.0,0.0
1866,9.731225825149181e-10,9.731225825149181e-10
1867,0.0,4.85281148598915e-10
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,6.047339295989218e-10
1873,3.591602570907071e-09,0.0
