year,eut_VERB usé_VERB
1800,6.288328968651058e-09
1801,1.4287095950749062e-08
1802,1.3427040812530322e-08
1803,0.0
1804,0.0
1805,5.685755422035754e-09
1806,5.76333825108577e-09
1807,1.4234775136401367e-08
1808,3.172503681980743e-08
1809,1.3554183553310395e-08
1810,9.360507036149102e-09
1811,1.504245972228091e-08
1812,0.0
1813,5.751483289628823e-09
1814,0.0
1815,1.6183340889597275e-08
1816,9.270415546325239e-09
1817,1.2454987263765815e-08
1818,9.536941902865692e-09
1819,3.1053151161586356e-09
1820,0.0
1821,9.86148829262845e-10
1822,5.012807946513931e-09
1823,3.162459805139406e-08
1824,1.6842225392110777e-09
1825,8.805443041381977e-10
1826,3.5231937367541377e-09
1827,0.0
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,4.174734336004349e-09
1831,1.5591206103948707e-09
1832,0.0
1833,1.2741991461950875e-08
1834,4.667265685043276e-09
1835,1.5126175867408165e-09
1836,4.032449929525228e-09
1837,1.3915781860163179e-09
1838,6.943378316748294e-09
1839,7.690622361167243e-09
1840,2.5478754661634184e-09
1841,1.926164561183441e-09
1842,2.0124795163667386e-09
1843,0.0
1844,1.097712254427563e-09
1845,2.2320911785556063e-09
1846,4.0981511517657054e-09
1847,1.294373674909366e-08
1848,8.045221711050488e-10
1849,8.379414939696517e-10
1850,2.0366988096043315e-09
1851,7.739326512989919e-09
1852,5.859490670445666e-09
1853,7.763511611358354e-09
1854,3.117398783558656e-09
1855,6.368324534378189e-09
1856,4.141751386299575e-09
1857,2.9289055625270066e-09
1858,4.404308473482388e-09
1859,6.110608019582742e-09
1860,8.696649622663699e-09
1861,1.4147891747029462e-09
1862,1.2650361647104091e-08
1863,4.994620717013731e-09
1864,4.794728170054441e-09
1865,1.2708479601997169e-08
1866,1.9462451650298362e-09
1867,9.220341823379385e-09
1868,2.4699371437009177e-09
1869,1.4650557433881772e-09
1870,2.2936195165357276e-09
1871,1.4869648623516696e-08
1872,6.652073114565837e-09
