year,voulant_VERB allumer_VERB,voulant_VERB rallumer_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,7.801356893821776e-09,0.0
1804,2.7190360185613827e-08,0.0
1805,0.0,0.0
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.581321384946932e-08,0.0
1810,9.360507036149102e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416004054903e-08,8.627225156487839e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,4.8550024445148665e-08
1816,0.0,0.0
1817,9.341240669868967e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,6.015369535816717e-09,0.0
1823,5.929612356680991e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,6.163809906922779e-09,0.0
1826,3.5231937367541377e-09,1.0569580766173203e-08
1827,1.8434546111834038e-09,0.0
1828,1.2841221419535032e-08,9.172301140836225e-09
1829,3.429270423183084e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,5.411987746839486e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,0.0
1835,5.294161553592858e-09,7.563087933704082e-10
1836,2.016224964762614e-09,6.720750067579218e-10
1837,2.7831563720326358e-09,0.0
1838,1.8936485712828244e-09,6.312161904276081e-09
1839,4.194885327990505e-09,0.0
1840,1.2739377330817092e-09,7.64362617644565e-09
1841,2.5682194149112547e-09,0.0
1842,1.7441490030023488e-08,0.0
1843,6.497602011990011e-09,2.3627644285539873e-09
1844,6.586273748609983e-09,0.0
1845,8.928364714222425e-09,1.674068439427856e-09
1846,4.0981509297211005e-09,0.0
1847,4.853901280910122e-09,0.0
1848,8.045221711050488e-10,0.0
1849,1.6758829879393033e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,6.449438760824933e-09,0.0
1852,6.510545436100301e-09,0.0
1853,1.7915795513800958e-09,0.0
1854,8.832629738719788e-09,1.558699391779328e-09
1855,1.5920811335945473e-09,0.0
1856,2.0708756931497874e-09,0.0
1857,3.905207268672939e-09,0.0
1858,3.4255731584664773e-09,0.0
1859,9.675129808428551e-09,1.018434669930457e-09
1860,2.746310290291376e-09,0.0
1861,2.8295783494058924e-09,0.0
1862,1.8071945051545413e-09,0.0
1863,9.989241656072068e-10,0.0
1864,2.3973640850272204e-09,9.589455896019672e-10
1865,2.3534221238463715e-09,4.706844358715045e-10
1866,3.8924903300596725e-09,2.432806400776144e-09
1867,1.455843445796745e-09,4.85281148598915e-10
1868,3.457911734727759e-09,4.93987406535723e-10
1869,3.4184632902167778e-09,0.0
1870,5.734048791339319e-10,0.0
1871,0.0,0.0
1872,2.4189357183956872e-09,0.0
1873,7.781805422268917e-09,0.0
1874,5.974609251779839e-09,2.3898436563030145e-09
1875,2.2886108563824337e-09,0.0
1876,8.464420275799966e-09,0.0
1877,2.4739263970730008e-09,6.184815992682502e-10
1878,2.4156354694326865e-09,1.2078177347163432e-09
1879,1.221865053580018e-09,0.0
1880,3.8507077526617195e-09,1.2835692508872398e-09
1881,7.669758161910067e-09,0.0
1882,7.320923423037584e-09,0.0
1883,1.2638677882037541e-09,0.0
1884,1.9805090900604227e-09,0.0
1885,3.2228177904158883e-09,0.0
1886,1.2906927748801422e-09,0.0
1887,4.570247291724172e-09,6.528924623161458e-10
1888,7.60873763994141e-09,0.0
1889,5.6386229019267375e-09,0.0
1890,5.243509015873116e-09,1.3108772956016423e-09
1891,6.374220040683554e-10,6.374220040683554e-10
1892,1.2537024751679837e-09,0.0
1893,4.926733243593162e-09,0.0
1894,2.520615716150587e-09,6.301539290376468e-10
1895,6.018614495673091e-10,0.0
1896,5.89702897624278e-10,0.0
1897,1.7480140668268973e-09,0.0
1898,5.6583548957434e-10,0.0
1899,0.0,5.527578395003729e-10
