year,pouvaient_VERB apporter_VERB,pouvaient_VERB rapporter_VERB
1800,1.2576657937302116e-08,3.458580977167003e-08
1801,1.904946067554647e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,2.145373123596528e-08,1.950339223455444e-09
1804,1.4831105232815389e-08,5.6852570651244605e-08
1805,3.4114531644036106e-08,3.1271653710973624e-08
1806,0.0,2.0171682990621775e-08
1807,1.7081731584767113e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,5.0141537144554604e-08,2.5070767684098882e-09
1812,4.267533171287141e-08,2.400487453257938e-08
1813,2.5881675469463516e-08,2.0130190847567064e-08
1814,2.8320094713762956e-08,6.293354282149721e-09
1815,8.361393355471591e-08,1.0788894222457657e-08
1816,6.952811659743929e-09,2.7811246638975717e-08
1817,6.227493543065066e-08,1.401186100480345e-08
1818,5.48374146092101e-08,1.3113295338484932e-08
1819,3.415846450138815e-08,1.6561680027393777e-08
1820,5.3399165977907614e-08,2.1359666035891678e-08
1821,2.5639868894700157e-08,9.86148829262845e-10
1822,4.8122956286533736e-08,0.0
1823,2.7671523739059012e-08,9.882686669016039e-09
1824,2.105278085196005e-08,1.1789557774477544e-08
1825,3.0819052199149155e-08,1.1447076175841175e-08
1826,5.549030035467695e-08,3.082794464148719e-08
1827,3.133872894522938e-08,6.452091305675367e-09
1828,8.6219628769868e-08,1.8344602503717056e-09
1829,4.372319750700626e-08,0.0
1830,5.635891398014792e-08,4.905312778191728e-08
1831,7.639690835503643e-08,2.494592976631793e-08
1832,2.3000948701223933e-08,8.117981842303834e-09
1833,2.6642345218874652e-08,1.9692167896323554e-08
1834,4.85395617033646e-08,1.5868701908061666e-08
1835,7.411826175030001e-08,1.5882484660778573e-08
1836,5.1749776019960336e-08,1.6129799718100912e-08
1837,6.053365098068753e-08,1.948209416013924e-08
1838,4.986607748946881e-08,1.5780404538645598e-08
1839,4.544459031308179e-08,8.38977065598101e-09
1840,7.134051571711097e-08,1.592422194107712e-08
1841,6.741576186186649e-08,1.733548060656176e-08
