year,put_VERB entrer_VERB,put_VERB rentrer_VERB
1800,1.2262241000371432e-07,9.432493897065797e-09
1801,1.1905913055443307e-07,2.3811825400343878e-08
1802,1.3427040812530322e-07,2.6854081625060644e-08
1803,2.3404069793286908e-08,1.5602713787643552e-08
1804,8.157108055684148e-08,2.7190360185613827e-08
1805,1.02343598484822e-07,5.1171799242411e-08
1806,6.339671898558663e-08,1.152667650217154e-08
1807,9.394951661079176e-08,1.1387820464392462e-08
1808,6.118399653587403e-08,2.2660739951163578e-09
1809,7.00299480627109e-08,4.0662548883574345e-08
1810,6.786367379163494e-08,1.8721014072298203e-08
1811,3.259199843341776e-08,2.2563691359778204e-08
1812,1.0935553973467904e-07,0.0
1813,9.777521370324394e-08,3.163315653864629e-08
1814,1.1013369771717407e-07,4.405347908686963e-08
1815,2.0498899289123074e-07,1.1328339155625144e-07
1816,1.4369143741532753e-07,6.257530316133852e-08
1817,1.370048607896024e-07,4.203558034987509e-08
1818,1.9789153782312496e-07,7.74876554032744e-08
1819,1.1903707530791507e-07,1.1800197086131448e-07
1820,9.01852530432734e-08,1.4595771347103437e-07
1821,1.0453177878844144e-07,1.1636556251914953e-07
1822,1.4938167680611514e-07,8.120748873352568e-08
1823,1.5713472123479733e-07,6.226093063332883e-08
1824,2.3242270685841504e-07,9.347434826167955e-08
1825,1.620201572904989e-07,1.0654586191094495e-07
1826,2.01702846425178e-07,8.807984386294265e-08
1827,1.4931981695553986e-07,6.728609491801762e-08
1828,1.412534373912422e-07,7.704733206992387e-08
1829,1.285976338749606e-07,6.858540757548326e-08
1830,1.2211097555336892e-07,5.844628248041772e-08
1831,2.6349138693149143e-07,6.080570358335535e-08
1832,1.1906372776593344e-07,7.982681893281551e-08
1833,1.7027933552071772e-07,4.2859426230279496e-08
1834,9.521221500108368e-08,1.1201436933561126e-07
1835,1.429423548415798e-07,7.714349692378164e-08
1836,1.4785649682380608e-07,1.0349955203992067e-07
1837,1.4541991788519226e-07,8.836521203647862e-08
1838,1.956770177002909e-07,7.448350913819013e-08
1839,1.363337673865317e-07,1.0347383039288616e-07
1840,1.61153124622615e-07,1.0255198645836572e-07
1841,1.3932590547938162e-07,9.374000597972554e-08
1842,1.885022413716797e-07,1.2946951244430238e-07
1843,1.8134217327769875e-07,1.1104992836408201e-07
1844,1.860622234062248e-07,1.2678576410962705e-07
1845,1.78009273099633e-07,1.3392546804880112e-07
1846,1.299699334822435e-07,1.0713737452761052e-07
