year,veut_VERB avoir_VERB,veut_VERB ravoir_VERB
1800,2.6788281957124127e-06,9.432493897065797e-09
1801,2.700261120480718e-06,2.3811825400343878e-08
1802,2.13266162063519e-06,1.1189200677108602e-08
1803,2.884551804527291e-06,1.950339223455444e-09
1804,3.1639692679164e-06,0.0
1805,2.2089159301685868e-06,2.55858996212055e-08
1806,2.288045379827963e-06,2.881669125542885e-09
1807,2.1295224996720208e-06,8.540865792383556e-09
1808,2.2162203094922006e-06,1.1330369531492579e-08
1809,2.805715894282912e-06,2.259030518203531e-09
1810,2.440752268739743e-06,9.360507036149102e-09
1811,2.6048528525279835e-06,2.5070767684098882e-09
1812,2.845911240001442e-06,1.600324850414836e-08
1813,1.8433504465065198e-06,5.751483289628823e-09
1814,1.8974462818732718e-06,3.1466771410748606e-09
1815,2.022917669819435e-06,0.0
1816,2.1623243355861632e-06,2.3176038865813098e-09
1817,1.7110038470491418e-06,3.113746815941454e-09
1818,1.8716248177952366e-06,1.7881765401739358e-08
1819,2.058823838524404e-06,1.2421260464634543e-08
1820,1.7396261000612867e-06,1.542642635854463e-08
1821,2.067954028461827e-06,1.972297702934611e-08
1822,2.1464843484864105e-06,1.303330066093622e-08
1823,1.912299921968952e-06,7.906149512848515e-09
1824,1.780223215064325e-06,2.5263338088166165e-09
1825,2.003238250836148e-06,5.283265824829186e-09
1826,1.925425294757588e-06,3.170874407487645e-08
1827,1.8664977687876672e-06,5.530363722527909e-09
1828,1.8601426745590288e-06,1.0089530988466322e-08
1829,1.8972438056152896e-06,1.628903412154159e-08
1830,1.8243589465782861e-06,2.0873671680021744e-09
1831,1.8085798956235521e-06,1.5591206103948707e-09
1832,1.8427817849442363e-06,1.8941957335982806e-08
1833,1.6251831311819842e-06,2.3167257001688313e-09
1834,1.8557047951617278e-06,1.6802156110884425e-08
1835,2.072286179100047e-06,4.5378527602224494e-09
1836,1.8596315385366324e-06,1.8818100855355624e-08
1837,1.916899009302142e-06,1.2524203896191466e-08
1838,1.6285378023894737e-06,2.4617431648721322e-08
1839,1.8345631360716652e-06,4.894032734625853e-09
1840,1.7886085288409959e-06,0.0
1841,1.5383634490717668e-06,3.852329122366882e-09
1842,1.875630914582871e-06,7.982835370512475e-08
1843,1.5771452126500662e-06,4.7255288571079745e-09
1844,1.8589756791698164e-06,6.037417232818143e-09
1845,1.7482853991168668e-06,4.464182357111213e-09
1846,1.7557649698574096e-06,1.6392604607062822e-08
1847,1.5343721315730363e-06,1.6179670936367074e-09
1848,1.5028474535938585e-06,4.02261068899179e-09
1849,1.5015912140370347e-06,1.6758829879393033e-09
1850,1.5180195305219968e-06,1.3577992064028876e-08
1851,1.4040427913641906e-06,2.579775504329973e-09
1852,1.5892240980974748e-06,1.0416872697760482e-08
1853,1.6703493201930542e-06,2.9859659189668264e-09
1854,1.8423826304569957e-06,1.558699302961486e-08
1855,1.5432573263751692e-06,7.960405667972736e-09
1856,1.9217725366615923e-06,1.9673318973900678e-08
1857,1.6650827774356003e-06,5.857811125054013e-09
1858,1.4553792198057636e-06,1.565976326389773e-08
1859,1.6289862969642854e-06,1.8331824946926645e-08
1860,1.4688183682665112e-06,1.4189270203246451e-08
1861,1.8151744143324322e-06,3.3011746669586728e-09
1862,1.6011742900445824e-06,1.2650361647104091e-08
1863,1.7231442370757577e-06,1.2986014041871385e-08
1864,1.7985024669542327e-06,1.4863656971897399e-08
1865,1.6436300711575313e-06,1.694463946932956e-08
1866,1.6431174572062446e-06,1.3623716377253459e-08
1867,1.5926926835163613e-06,1.067618526917613e-08
1868,1.5155533219513018e-06,1.2349684830326169e-08
1869,1.383012659061933e-06,2.9301114867763545e-09
1870,1.7133337451014086e-06,5.734048791339319e-09
1871,1.5570645928164595e-06,0.0
1872,1.5898455103524611e-06,1.8746751706544273e-08
1873,1.4965011132517247e-06,8.979006871356887e-09
1874,1.4458554460361484e-06,5.377148060148329e-09
1875,1.6832732399052475e-06,5.149374260327022e-09
1876,1.5538257684966084e-06,6.04601479992084e-10
1877,1.5257941186064272e-06,1.36065949618569e-08
1878,1.4004646118337405e-06,5.435179861734696e-09
1879,1.5682637695135782e-06,6.10932526790009e-10
1880,1.4016576415087911e-06,2.888030792291829e-08
1881,1.5381351659016218e-06,9.761510710859511e-09
1882,1.5220865634546499e-06,5.324308105514319e-09
1883,1.5690918644395424e-06,1.2638677659992936e-08
1884,1.4708581375089125e-06,5.281357573494461e-09
1885,1.414172515978862e-06,8.379326565943757e-09
1886,1.4462212902799365e-06,7.744156427236248e-09
1887,1.396536958964134e-06,9.793386546164129e-09
1888,1.3061666095381952e-06,1.9021844099853524e-09
1889,1.1910025250472245e-06,7.51816386923565e-09
1890,1.4308225217973813e-06,5.898947996740844e-09
1891,1.4571467090718215e-06,7.0116419337296065e-09
1892,1.352745016447443e-06,1.7551833764173352e-08
1893,1.3246753951534629e-06,8.005941687372342e-09
1894,1.392010062772897e-06,6.301539290376468e-10
1895,1.2988169828531682e-06,9.027921521465032e-09
1896,1.2330688150541391e-06,5.897029087265082e-09
1897,1.3552935342886485e-06,5.2440420894583895e-09
1898,1.454197217753972e-06,1.3014216371232123e-08
1899,1.3404377341430518e-06,1.492446166651007e-08
1900,1.4088518582866527e-06,2.7512582434496835e-08
1901,1.2395822750477237e-06,1.676621730339889e-09
1902,1.246721012648777e-06,4.419255628107521e-09
1903,1.0897643960561254e-06,1.9440793863623185e-08
1904,1.2770109378834604e-06,2.1498500757388683e-09
1905,1.2478715234465199e-06,5.676835002077496e-09
1906,1.1615568382694619e-06,2.0576738091193647e-09
1907,1.1314255061734002e-06,0.0
1908,1.1620346640484058e-06,2.4556945366072114e-09
1909,1.1849118664031266e-06,7.151278680339601e-09
1910,1.198692984871741e-06,1.60324518105881e-08
1911,1.2125132116125314e-06,1.276889793899727e-08
