year,eut_VERB acheté_VERB,eut_VERB racheté_VERB
1800,9.432493897065797e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,1.950339267864365e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,1.152667650217154e-08,0.0
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,3.6257183921861724e-08,0.0
1809,9.036122072814123e-09,0.0
1810,2.8081521108447305e-08,0.0
1811,5.515568801683912e-08,2.5070767684098882e-09
1812,1.3336041604361526e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,4.5852800667489646e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,3.519356894798875e-08,1.7596784473994376e-08
1820,7.119888678630559e-09,4.746592452420373e-09
1821,2.5639868894700157e-08,0.0
1822,3.5089655625597516e-08,2.0051231786055723e-09
1823,4.249555374258307e-08,0.0
1824,3.789500624407083e-08,2.5263338088166165e-09
1825,1.4088708866211164e-08,0.0
1826,5.0205510859768765e-08,0.0
1827,3.6869092667757286e-08,9.217273055917019e-10
1828,1.1923991571904935e-08,0.0
1829,8.573175946935407e-09,0.0
1830,3.444155893816969e-08,1.0436835840010872e-09
1831,7.795603274018958e-09,0.0
1832,1.488296597074168e-08,1.3529969367098715e-09
1833,2.3167256557599103e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,2.647080776796429e-08,7.563087933704082e-10
1836,2.5538851033957144e-08,1.3441500135158435e-09
1837,1.87863058442872e-08,1.87863058442872e-08
1838,5.049729523420865e-09,6.943378316748294e-09
1839,1.957613093850341e-08,0.0
1840,2.8663599493938818e-08,1.9109065441114126e-09
1841,1.7977535904378783e-08,3.2102742686390684e-09
1842,3.3541326160957396e-08,0.0
1843,3.18973185642335e-08,1.1813822142769936e-09
1844,1.5367971784030487e-08,1.097712254427563e-09
1845,2.2320911341466854e-08,5.580227946389016e-10
1846,1.4636253098387897e-08,0.0
1847,3.55952778363644e-08,5.393223645455691e-10
1848,4.585776380849893e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,2.647708541303473e-08,0.0
1851,1.870337307252612e-08,6.449438760824933e-10
1852,6.510545347282459e-08,2.6042181744401205e-09
1853,2.09017620989016e-08,0.0
1854,3.221311928314208e-08,1.558699391779328e-09
1855,3.078023524949458e-08,5.306937111981824e-10
1856,2.329735160344626e-08,3.1063134287023786e-09
1857,3.612316845647001e-08,2.4407544874094356e-09
1858,2.9851424443450014e-08,6.8511463169329545e-09
1859,1.9859475841599306e-08,9.165912473463322e-09
1860,3.158256944857385e-08,5.034902272882391e-09
1861,1.0846716413936974e-08,1.4147891747029462e-09
1862,2.710791768834042e-08,1.8071945051545413e-09
1863,2.6471489888990618e-08,4.495158911765884e-09
1864,2.5412058235474433e-08,5.274200631788517e-09
1865,2.4004906507002488e-08,1.4120533631256649e-09
1866,2.3354942868536455e-08,4.865612912574591e-10
1867,2.8631587767335986e-08,2.91168689159349e-09
1868,2.321740844024589e-08,0.0
1869,1.12320943657096e-08,5.860222973552709e-09
