year,devront_VERB apporter_VERB,devront_VERB rapporter_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,1.7902721083373763e-08
1803,1.950339223455444e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.1330369531492579e-08,1.5862518409903714e-08
1809,6.7770917766551975e-09,0.0
1810,7.020380277111826e-09,7.020380277111826e-09
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,2.5493642752394408e-08
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,5.960588467246453e-09
1819,0.0,0.0
1820,7.119888678630559e-09,5.933240565525466e-09
1821,8.875339574387908e-09,4.930744257336528e-09
1822,5.012807946513931e-09,7.017931125119503e-09
1823,7.906149512848515e-09,1.9765373338032077e-08
1824,3.3684450784221553e-09,3.3684450784221553e-08
1825,1.7610886082763955e-09,1.7610886970942374e-08
1826,7.0463874735082754e-09,2.642395191543301e-09
1827,8.295545583791863e-09,1.2904182611350734e-08
1828,7.337841001486822e-09,1.834460228167245e-08
1829,5.143905745796928e-09,6.001223074036943e-09
1830,8.349468672008697e-09,3.1310507520032616e-09
1831,4.677361609140007e-09,0.0
1832,3.6530916958099624e-08,6.764984572527055e-09
1833,6.950177322551099e-09,0.0
1834,2.7070139907436896e-08,5.600718555598405e-09
1835,2.7983425354705105e-08,4.5378527602224494e-09
1836,2.6210924986003192e-08,1.5457725766054864e-08
1837,9.74104708006962e-09,8.349468672008697e-09
1838,5.680945491803868e-09,2.5248647617104325e-09
1839,5.5931801412612e-09,8.38977065598101e-09
1840,1.3376346252869098e-08,1.52872523528913e-08
1841,8.346713542550788e-09,1.219904177673925e-08
1842,1.1404051036834062e-08,1.0062397137744483e-08
1843,1.4767278067040479e-08,1.594865928211675e-08
1844,1.0428266250528395e-08,2.140538946093784e-08
1845,1.3950569588416784e-08,7.254296274794569e-09
1846,1.1709002656346001e-08,8.196302303531411e-09
1847,1.0786447290911383e-08,1.5640349459999925e-08
1848,3.378993085334514e-08,4.82713291560799e-09
1849,2.5976186535103807e-08,2.513824481908955e-09
1850,1.9009188889640427e-08,8.146795238417326e-09
1851,1.9993260380601896e-08,3.4826967976187007e-08
1852,3.2552726736412296e-08,1.6927417689771573e-08
1853,1.0749477752369785e-08,5.3747388761848924e-09
1854,1.6626126253527218e-08,1.1430461910322265e-08
1855,1.9104973603134567e-08,1.0613874223963649e-08
1856,1.1389816201301528e-08,1.7602443946884705e-08
1857,6.8341128311999455e-09,3.905207268672939e-09
1858,4.893676130990343e-09,1.1255455234504552e-08
1859,1.0693564256314403e-08,1.6804172275897145e-08
1860,1.2816115280145368e-08,1.2816115280145368e-08
1861,6.6023493339173456e-09,3.3011746669586728e-09
1862,1.2650361647104091e-08,1.3553959066214816e-09
1863,1.9978482868054925e-08,3.995696662428827e-09
1864,3.404256787575832e-08,4.794727948009836e-10
1865,1.7415324293779122e-08,1.3179164426446732e-08
1866,1.6543083347642096e-08,8.75810357570117e-09
1867,1.455843445796745e-08,1.261730986357179e-08
1868,2.7169306804353255e-08,3.457911734727759e-09
1869,1.70923168951731e-08,8.790334682373668e-09
1870,2.0069171213776826e-08,9.17447806614291e-09
1871,1.6993883633631413e-08,4.248470908407853e-09
1872,3.3260366905096816e-08,1.5118347462816928e-08
1873,1.5563610844537834e-08,7.781805422268917e-09
1874,2.5093358502203955e-08,1.0754296120296658e-08
1875,3.3757011408397375e-08,2.345826111138649e-08
1876,2.8416270225761764e-08,5.441413541973361e-09
1877,4.2056747417973384e-08,6.184816214727107e-09
1878,1.1474268646338714e-08,1.0870359723469392e-08
1879,3.1157558311178946e-08,3.29903571127943e-08
