year,voudraient_VERB allumer_VERB,voudraient_VERB rallumer_VERB
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,1.730295728918918e-08
1805,2.842877711017877e-09,0.0
1806,2.305335300434308e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.401186100480345e-08,0.0
1818,4.768470951432846e-09,0.0
1819,8.280840013696888e-09,3.1053151161586356e-09
1820,4.746592452420373e-09,0.0
1821,1.97229765852569e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,9.882686891060644e-10,0.0
1824,0.0,8.421112696055388e-10
1825,0.0,3.522177216552791e-09
1826,1.4092774947016551e-08,8.807984341885344e-10
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,0.0
1829,9.430493719264632e-09,0.0
1830,0.0,0.0
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,8.117981842303834e-09,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,2.016224964762614e-09,1.3441500135158435e-09
1837,0.0,0.0
1838,1.8936485712828244e-09,0.0
1839,0.0,0.0
1840,8.917564464638872e-09,0.0
1841,0.0,6.420548537278137e-10
1842,3.3541325272778977e-09,0.0
1843,2.3627644285539873e-09,5.906911071384968e-10
1844,0.0,0.0
1845,1.1160455892778032e-09,0.0
1846,2.3418005312692003e-09,0.0
1847,3.235934187273415e-09,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,5.971931837933653e-10,0.0
1854,0.0,1.0391328908454511e-09
1855,5.306937111981824e-10,0.0
1856,3.1063134287023786e-09,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,1.8308735638683515e-09,0.0
1861,0.0,0.0
1862,3.162590411776023e-09,3.162590411776023e-09
1863,1.4983863039219614e-09,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,4.85281148598915e-10,0.0
1868,4.93987406535723e-10,3.457911734727759e-09
1869,1.953407657850903e-09,9.767038289254515e-10
1870,0.0,0.0
1871,0.0,0.0
1872,1.8142017887967654e-09,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,5.566334504436554e-09,0.0
1878,5.435179861734696e-09,0.0
1879,6.10932526790009e-10,1.832797580370027e-09
1880,6.417846254436199e-10,2.5671385017744797e-09
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,3.9173548849191775e-09,0.0
