year,doit_VERB assembler_VERB,doit_VERB rassembler_VERB
1800,3.144164484325529e-09,3.458580977167003e-08
1801,2.3811825844433088e-09,4.286128785224719e-08
1802,1.3427040812530322e-08,1.0741632650024258e-07
1803,3.1205427575287104e-08,5.851017803593095e-08
1804,7.4155526164076946e-09,8.404293083685843e-08
1805,1.7057265822018053e-08,7.675770063997334e-08
1806,2.881669125542885e-09,3.7461699520235925e-08
1807,1.7081731584767113e-08,6.832692633906845e-08
1808,4.078933102391602e-08,7.704651494577774e-08
1809,2.0331274441787173e-08,9.713831161661801e-08
1810,1.4040760554223652e-08,7.956430891908894e-08
1811,4.011322829455821e-08,4.763445815569867e-08
1812,8.00162425207418e-09,8.801787032552966e-08
1813,2.8757416448144113e-09,4.3136125782439194e-08
1814,1.2586708564299443e-08,3.4613449884091096e-08
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,4.1716869958463576e-08,5.0987285504788815e-08
1817,4.670620157298799e-08,4.203558034987509e-08
1818,1.3113295338484932e-08,4.887682791832049e-08
1819,3.8298885840504227e-08,4.968504185853817e-08
1820,1.3053129244156025e-08,5.102586797534059e-08
1821,3.944595405869222e-08,6.01550809165019e-08
1822,8.120748873352568e-08,5.413832582235045e-08
1823,2.174191138237802e-08,2.7671523739059012e-08
1824,1.9368560089105813e-08,4.126345132249298e-08
1825,3.522177394188475e-08,5.811592274085342e-08
1826,2.2019960965735663e-08,7.310627125889368e-08
1827,2.2121454890111636e-08,8.387718253288767e-08
1828,3.118582370120748e-08,4.4027046897099353e-08
1829,1.800366966620004e-08,4.543783305166471e-08
1830,8.349468672008697e-09,5.0096812032052185e-08
1831,1.4032085715598441e-08,2.9623292263636358e-08
1832,6.764984572527055e-09,4.8707889277466165e-08
1833,3.243415847009601e-08,2.89590715851773e-08
1834,2.333632664885954e-08,4.760610750054184e-08
1835,4.310960122211327e-08,5.067268915581735e-08
1836,3.427582484505365e-08,3.2259599436201825e-08
1837,3.409366655660051e-08,3.826840000442644e-08
1838,6.312161815458239e-08,2.5879863585487328e-08
1839,2.3771015378315496e-08,2.9364196407755117e-08
1840,7.579929217627068e-08,2.4204817705708592e-08
1841,3.017657945747487e-08,3.338685417020315e-08
1842,1.0062397137744483e-08,2.95163662400455e-08
1843,1.9492807368237663e-08,3.1306630177141415e-08
1844,3.1833653935109396e-08,2.140538946093784e-08
1845,2.1204865419122143e-08,4.0177642546268544e-08
1846,4.0981507964943376e-08,4.507965911670908e-08
1847,1.4561703842730367e-08,3.613459753637471e-08
1848,1.930853166243196e-08,3.298540818263973e-08
1849,1.5920887719289567e-08,2.011059585527164e-08
1850,2.647708541303473e-08,4.8880771430503955e-08
1851,9.029214709244116e-09,1.2253933867611977e-08
1852,1.2370036550635177e-08,2.539112742283578e-08
1853,1.970737528722566e-08,1.970737528722566e-08
1854,3.740878540270387e-08,1.9743524148907454e-08
1855,3.290301009428731e-08,2.9718847827098216e-08
1856,1.0354378687793542e-08,3.2616291889553395e-08
1857,5.418474913199134e-08,5.027954230740761e-08
1858,3.425573069648635e-08,1.9085335978274998e-08
1859,2.1387128512628806e-08,1.1202780925145817e-08
1860,1.4646988510946812e-08,3.249800428761773e-08
1861,2.6409397335669382e-08,2.6880993431177558e-08
1862,2.3041730301542884e-08,1.445755604123633e-08
1863,4.4951587341302e-08,3.7459656709870615e-08
1864,1.0068928801842958e-08,2.828889478223573e-08
1865,1.4120533187167439e-08,2.2592853810010638e-08
1866,1.4596838404656864e-08,2.432806489593986e-08
1867,7.76449837758264e-09,1.94112459439566e-08
1868,7.903798504571569e-09,1.1361710683388537e-08
1869,1.4162205630441349e-08,1.953407746668745e-08
1870,1.548193218070537e-08,1.6055336615750093e-08
1871,7.434824311758348e-09,3.504988654867702e-08
1872,7.256807155187062e-09,1.4513614310374123e-08
1873,1.1972009161809183e-08,2.573981916498269e-08
1874,4.182226565063729e-09,1.4936523129449597e-08
1875,1.3159512590732447e-08,1.4303817685856757e-08
1876,4.232210137899983e-09,6.650616057868319e-09
1877,1.2369632429454214e-08,1.1132669008873108e-08
1878,1.4493812372506909e-08,1.3285995414946683e-08
