year,voulait_VERB abaisser_VERB,voulait_VERB rabaisser_VERB
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,2.145373123596528e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,9.064295980465431e-09,0.0
1809,1.3554183553310395e-08,2.259030518203531e-09
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,3.5099073869560016e-08,1.2535384286138651e-08
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,1.4378708002027452e-08
1814,6.293354282149721e-09,0.0
1815,3.776112933451259e-08,2.697223555614414e-09
1816,9.270415546325239e-09,6.952811659743929e-09
1817,3.269434145636296e-08,7.784366928831332e-09
1818,5.960588467246453e-09,1.668964877410417e-08
1819,2.794783426907088e-08,0.0
1820,2.8479554714522237e-08,2.3732962262101864e-09
1821,1.4792232327920374e-08,6.903041693817613e-09
1822,1.7043547018147365e-08,5.012807946513931e-09
1823,4.644862983127496e-08,2.174191138237802e-08
1824,6.736890156844311e-09,2.5263338088166165e-09
1825,3.258013947515792e-08,1.3208164340028361e-08
1826,1.8496766784892316e-08,0.0
1827,1.474763688946723e-08,3.6869092223668076e-09
1828,1.7427371545863934e-08,0.0
1829,1.0287811491593857e-08,4.286587973467704e-09
1830,3.1310506187764986e-08,4.174734336004349e-09
1831,1.091384405071949e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,2.7800709290204395e-08,0.0
1834,3.080395316601425e-08,3.733812370398937e-09
1835,1.2100940693926532e-08,8.31939672707449e-09
1836,1.68018754465038e-08,1.1425274948351216e-08
1837,6.262101948095733e-09,2.7831563720326358e-09
1838,3.5348108440302894e-08,0.0
1839,4.055055669027752e-08,1.3283802502428443e-08
1840,2.993753511759678e-08,1.2739377552861697e-08
1841,2.1829865914924085e-08,3.852329122366882e-09
1842,2.0795621225033756e-08,6.708265054555795e-10
1843,1.8311423488626133e-08,5.906911071384968e-10
1844,1.701453911095996e-08,7.1351298203126134e-09
1845,2.5669049108500985e-08,1.0602432709561072e-08
1846,1.5221703009160592e-08,2.3418005312692003e-09
1847,3.4516631330916425e-08,2.6966118227278457e-09
1848,2.494018680465615e-08,2.413566457803995e-09
1849,1.75967720394965e-08,1.508294644736452e-08
1850,9.504594444820214e-09,6.1100964288129944e-09
1851,2.8377531435808123e-08,2.579775504329973e-09
1852,4.557382027314816e-09,5.859490670445666e-09
1853,1.1346670270029335e-08,2.388772735173461e-09
1854,1.2989160858012383e-08,1.0391328908454511e-09
1855,1.5920811335945473e-08,1.5920811335945473e-09
1856,2.0708757375587084e-08,2.5885946719483854e-09
1857,1.513267733344037e-08,4.393358121745905e-09
1858,2.1532175153993194e-08,0.0
1859,2.036869339860914e-08,4.073738679721828e-09
1860,1.0527522853465143e-08,0.0
1861,1.226150558863992e-08,7.545541969022906e-09
1862,1.3102160245637151e-08,9.035972525772706e-10
1863,1.048870412745373e-08,8.990317823531768e-09
1864,1.821996598039277e-08,1.4384183844029508e-09
1865,2.0710114512212385e-08,9.41368871743009e-10
1866,1.8489329178805747e-08,2.432806400776144e-09
1867,2.3778776281346836e-08,9.7056229719783e-10
1868,1.0373735648272486e-08,3.457911734727759e-09
1869,2.24641887314192e-08,2.441759683335931e-09
1870,1.204150201772336e-08,3.4404292748035914e-09
1871,9.559059321873065e-09,0.0
1872,3.5679303067581714e-08,7.256807155187062e-09
1873,1.0774807712721213e-08,5.387403856360606e-09
1874,9.559374625212058e-09,0.0
1875,9.7265964171811e-09,5.721527140956084e-10
1876,1.0882827083946722e-08,6.04601479992084e-10
1877,9.895705588292003e-09,1.8554447978047506e-09
1878,2.7779808675632012e-08,6.039088673581716e-10
1879,1.8327975581655664e-08,4.27652757650776e-09
1880,1.2193908105473383e-08,1.2193908105473383e-08
1881,2.091752193678076e-08,5.5780060570498335e-09
1882,1.3976308999019693e-08,1.3310770263785798e-09
1883,8.21514056781325e-09,1.2638677882037541e-09
1884,1.1222884843675729e-08,0.0
1885,5.80107206715752e-09,0.0
1886,2.5168509054651622e-08,1.936039106809062e-09
1887,3.9173548849191775e-09,0.0
1888,1.6485598663962264e-08,3.804368819970705e-09
1889,5.012109394186837e-09,5.6386229019267375e-09
1890,7.209825181320184e-09,1.3108772956016423e-09
1891,8.286486163910922e-09,0.0
1892,8.775916882086676e-09,2.5074049503359674e-09
1893,1.2932674486876294e-08,6.158416554491453e-10
1894,5.041231432301174e-09,5.671385139294216e-09
1895,7.22233739480771e-09,3.611168697403855e-09
1896,1.6511680911435178e-08,5.89702897624278e-10
1897,8.740070001067579e-09,0.0
1898,6.224190496340043e-09,0.0
1899,8.844125432005967e-09,0.0
1900,8.824790675987515e-09,3.114631885736685e-09
1901,1.2854099118442264e-08,6.706486921359556e-09
1902,3.437198747846537e-09,9.820567692386817e-10
1903,9.720396931811592e-09,1.0800440541913758e-09
1904,2.1498500757388683e-09,0.0
1905,1.0321517862621477e-08,0.0
1906,3.0865106026567446e-09,0.0
1907,4.6285588695127444e-09,1.028568674676933e-09
1908,4.911389073214423e-09,1.964555629285769e-09
1909,1.0451868703853506e-08,5.500983557560346e-10
1910,5.34415089958884e-09,5.344150677544235e-10
1911,4.25629931299909e-09,0.0
1912,4.167536982180309e-09,2.0837684910901544e-09
1913,6.363587878865928e-09,1.590896969716482e-09
1914,2.678697486047099e-09,6.696743715117748e-10
1915,5.890381071793627e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,1.5352993543160665e-08,0.0
1918,5.743188147278033e-09,0.0
1919,6.4454939163738345e-09,0.0
1920,1.1358347151713133e-08,1.514446346106979e-09
1921,7.572747429129834e-10,7.572747429129834e-10
1922,1.4755870969551665e-09,7.377935484775833e-10
1923,6.369568872344189e-09,0.0
1924,7.734974438733389e-09,1.289162443462999e-09
1925,8.798542339150117e-09,7.698724324711748e-09
1926,7.802296586589819e-09,2.229227691330493e-09
1927,1.1149224876660924e-09,5.574612327308159e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,7.798284684668033e-09,3.342121912552898e-09
1930,1.1553964007759987e-08,9.453243521306831e-09
1931,3.4216069977333063e-09,0.0
1932,3.287861094491973e-09,0.0
1933,2.2941324395731044e-09,1.1470662197865522e-09
1934,3.5944740517379614e-09,0.0
1935,2.393656828303392e-09,0.0
1936,1.2124714565686645e-09,0.0
1937,1.2591118148108649e-09,1.2591118148108649e-09
1938,0.0,1.2965214457594243e-09
1939,3.058810094103137e-09,1.5294050470515685e-09
1940,1.0143131667916805e-08,0.0
1941,5.9030051957620344e-09,0.0
1942,3.034211770724937e-09,3.034211770724937e-09
1943,8.709705845433291e-09,5.806470415592457e-09
1944,0.0,0.0
1945,0.0,0.0
1946,1.3921104269343232e-09,4.1763312808029696e-09
1947,1.1920870957027319e-09,5.960435700558264e-09
