year,doit_VERB appeler_VERB,doit_VERB rappeler_VERB
1800,2.924072930454713e-07,5.65949598296811e-08
1801,4.90523632379336e-07,7.143547975374531e-08
1802,2.1707049313590687e-07,8.056224487518193e-08
1803,4.0957124269880296e-07,1.014176405078615e-07
1804,4.474050285807607e-07,1.087614407424553e-07
1805,7.078765520418528e-07,1.2224374756897305e-07
1806,4.0631533693158417e-07,1.930718269704812e-07
1807,5.608501396636711e-07,2.6476683956389024e-07
1808,5.189309604247683e-07,1.4956088989492855e-07
1809,4.02107446006994e-07,1.784634093837667e-07
1810,3.7442026723510935e-07,9.126494404654295e-08
1811,3.3093414231188945e-07,2.4569351353420643e-07
1812,4.3742215893871617e-07,1.973734100602087e-07
1813,4.256097554389271e-07,1.8117172828624462e-07
1814,2.2026739543434815e-07,1.2901375612273114e-07
1815,4.531335662250058e-07,1.3755840200246894e-07
1816,3.175117342379963e-07,1.6918508549679245e-07
1817,3.331709024223528e-07,1.120948880384276e-07
1818,4.136648499297735e-07,1.2159600260019943e-07
1819,4.2749837803057744e-07,8.9019032145643e-08
1820,3.263282337684359e-07,1.4239776646718383e-07
1821,3.0471997547465435e-07,8.973954379598581e-08
1822,4.411270992932259e-07,9.323822780515911e-08
1823,3.1229291153067607e-07,9.586206317635515e-08
1824,3.0905482617527014e-07,1.6084325693555002e-07
1825,4.0152821156880236e-07,9.421824387345623e-08
1826,3.981209033554478e-07,1.3476216054186807e-07
1827,4.47959479288329e-07,1.5208500769858802e-07
1828,3.3937513421733456e-07,1.5501188954658573e-07
1829,4.938149231747957e-07,2.417635585061362e-07
1830,3.965997734667326e-07,1.6803305413759517e-07
1831,3.1338325356955465e-07,1.9177183219198923e-07
1832,5.236097990746202e-07,1.97537559643024e-07
1833,4.297526174923405e-07,1.9460496503143077e-07
1834,3.276420272868563e-07,1.7268882857024437e-07
1835,3.887427055815351e-07,1.3462296521993267e-07
1836,3.898035174643155e-07,1.290383977448073e-07
1837,3.76421894543455e-07,1.4820307114860043e-07
1838,3.6168688666293747e-07,1.4139243376121158e-07
1839,3.6775159628632537e-07,1.3143973376372742e-07
1840,3.4842196328099817e-07,1.254828703167732e-07
1841,3.90369336855656e-07,1.3097918838411715e-07
1842,3.5486721117194975e-07,1.2678620464612322e-07
1843,4.7255289814529533e-07,1.6539351577193884e-07
1844,4.039580971948453e-07,1.2843233321291336e-07
1845,3.9898628756418475e-07,1.4899208622409787e-07
1846,4.033751395127183e-07,1.4519163471504726e-07
1847,3.4193038800367503e-07,1.5208890147277998e-07
1848,3.499671379358915e-07,1.7940844543318235e-07
1849,3.502595404825115e-07,2.1367507940794894e-07
1850,3.754314832349337e-07,1.2966982865236787e-07
1851,3.0312361332107685e-07,1.4253259905672166e-07
1852,3.4896524425676034e-07,1.1979403780060238e-07
1853,3.404001063245232e-07,1.194386385350299e-07
1854,3.340812213536992e-07,1.6314386641624878e-07
1855,3.1045581749822304e-07,1.0985360177073744e-07
1856,3.9916128002914775e-07,1.1596903704003125e-07
1857,2.855682907920709e-07,1.0495244850972085e-07
1858,3.5381276575208176e-07,1.2723558029392734e-07
1859,2.856709215848241e-07,1.4716380292156828e-07
1860,3.103330641351931e-07,1.2816114747238316e-07
1861,3.584132457490341e-07,1.325185792211414e-07
1862,3.0722307542419003e-07,1.4638276013556606e-07
1863,3.24650358152212e-07,1.198709043137569e-07
1864,3.030268089787569e-07,1.0548401263577034e-07
1865,3.4454100727998593e-07,1.0543331541157386e-07
1866,3.191842097294284e-07,9.682569412916564e-08
1867,2.8000721385978977e-07,1.198644383748615e-07
1868,2.8700668508463423e-07,1.0274938233578723e-07
1869,2.739654121342028e-07,1.2648314395846683e-07
1870,3.325748423321784e-07,1.4449803131810768e-07
1871,2.8464754109336354e-07,1.7843578348220035e-07
1872,3.4953620797750773e-07,1.1852785064547788e-07
1873,3.1546244372293586e-07,1.1552988610219472e-07
1874,2.8080663128093875e-07,1.3681854227343138e-07
1875,2.620459440549894e-07,1.4017741989391652e-07
1876,2.956501248263521e-07,1.1185127135604489e-07
1877,2.5048504426194995e-07,1.1627454199469867e-07
1878,2.971231651827111e-07,1.3769121665063722e-07
1879,2.8958200459783257e-07,1.2707396024325135e-07
1880,2.2847532932246395e-07,1.4311797258415027e-07
1881,3.186436003943527e-07,1.2341338617716247e-07
1882,2.881781711039366e-07,1.3044554236785189e-07
1883,2.91321526901811e-07,1.301783782992061e-07
1884,2.0795344823909545e-07,1.194907213175611e-07
1885,2.2688637102419307e-07,1.334246633177827e-07
1886,1.7166213694963517e-07,1.4649363322405407e-07
1887,2.6180987333646044e-07,1.3580162772086624e-07
1888,2.276280639534889e-07,1.6675816993938497e-07
1889,2.3243657665261708e-07,1.6038750061397877e-07
1890,2.903593099290447e-07,1.0421474172517264e-07
1891,2.4923201635829173e-07,1.434199532468483e-07
1892,2.2629329521350883e-07,1.03430451758868e-07
1893,2.1246536618946266e-07,1.453386317962213e-07
1894,2.0984126081202703e-07,1.1846893954725601e-07
1895,2.3592969000674202e-07,1.1796484500337101e-07
1896,2.0816511892007838e-07,1.2265820714674192e-07
1897,2.155884004650943e-07,1.3284906685839815e-07
1898,2.0087159668946697e-07,1.3014216904139175e-07
1899,2.4044965130087803e-07,1.486918534965298e-07
1900,1.6040354466895224e-07,9.655359178850631e-08
1901,2.1628419233366003e-07,1.190401377471062e-07
1902,1.8020742231783515e-07,1.1293652590893544e-07
1903,1.6794685109289276e-07,1.2204498034407152e-07
1904,1.7037561406141322e-07,1.289910045443321e-07
1905,1.5740315006951278e-07,1.0166695574298501e-07
1906,1.733590124786133e-07,1.2706135521511897e-07
1907,1.7228525450718735e-07,1.2445680397377146e-07
1908,1.5519989915446786e-07,1.154176416662267e-07
1909,1.4302557360679202e-07,1.0066799660535253e-07
1910,1.9132059492221742e-07,1.3787908414997219e-07
1911,1.5961121846430615e-07,1.399258451328933e-07
1912,1.7191089796142478e-07,1.4898944300512085e-07
