year,pourraient_VERB amener_VERB,pourraient_VERB ramener_VERB
1800,4.4018303668735825e-08,2.2009151834367913e-08
1801,1.6668277424969347e-08,1.1905912700171939e-08
1802,2.0140561218795483e-08,1.5664880947952042e-08
1803,3.315576790896557e-08,0.0
1804,2.4718509905596875e-08,7.4155526164076946e-09
1805,2.55858996212055e-08,2.842877711017877e-09
1806,2.5935023018064385e-08,0.0
1807,4.27043254092041e-08,2.8469551160981155e-09
1808,2.4926814390369145e-08,0.0
1809,6.777091243748146e-08,4.518061036407062e-09
1810,4.212228077449254e-08,1.4040760554223652e-08
1811,5.0141537144554604e-08,7.521229861140455e-09
1812,4.5342538612658245e-08,2.400487453257938e-08
1813,4.888760685162197e-08,2.8757416448144113e-09
1814,1.0698702368472368e-07,2.2026739543434815e-08
1815,4.8550024445148665e-08,8.091670444798638e-09
1816,2.7811246638975717e-08,6.952811659743929e-09
1817,4.514932783195036e-08,1.401186100480345e-08
1818,4.410835785506606e-08,4.053200441944682e-08
1819,2.794783426907088e-08,1.449147024601416e-08
1820,6.645229433388522e-08,7.119888678630559e-09
1821,9.664258726616026e-08,2.9584463767662328e-09
1822,7.118187284049782e-08,2.8071724500478012e-08
1823,6.127265805844218e-08,1.087095569118901e-08
1824,8.757957203897604e-08,6.736890156844311e-09
1825,1.0038205289220059e-07,1.7610886082763955e-09
1826,1.0745741008122422e-07,2.554315514657901e-08
1827,1.1060727445055818e-07,6.452091305675367e-09
1828,7.06267186956211e-08,7.337841001486822e-09
1829,1.0973665354185869e-07,8.573175946935407e-09
1830,1.5550885734683106e-07,1.0436835395921662e-08
1831,1.4811645598911127e-07,9.354723218280014e-09
1832,2.1242051673198148e-07,6.764984572527055e-09
1833,1.285782786908385e-07,1.9692167896323554e-08
1834,1.5775357553593494e-07,3.173740381612333e-08
1835,1.104210838320796e-07,8.31939672707449e-09
1836,1.0282747808787462e-07,1.5457725766054864e-08
1837,1.2593783083048038e-07,9.045257876039159e-09
1838,1.1677499855977658e-07,7.574594285131298e-09
1839,1.6290137239138858e-07,6.292327547896548e-09
1840,1.4459193664606573e-07,1.7198159341091923e-08
1841,1.4895672961756645e-07,2.8892468861840825e-08
1842,1.5160678401571204e-07,1.7441490030023488e-08
1843,1.1223131224369354e-07,8.860366662588604e-09
1844,1.394094510942523e-07,2.4149668931272572e-08
1845,9.76539880070959e-08,1.1718478631905782e-08
1846,1.3172628143820475e-07,4.0981511517657054e-09
1847,1.8768417930914438e-07,2.8584086209093584e-08
1848,1.7699487386835244e-07,1.850401076808339e-08
1849,2.329477410967229e-07,1.005529792763582e-08
1850,2.0027538027989067e-07,5.431196825611551e-09
1851,1.212494424862598e-07,6.449438760824933e-09
1852,1.4192988828654052e-07,5.859490670445666e-09
1853,1.194386385350299e-07,8.360704129017904e-09
1854,8.157193320812439e-08,1.1430461910322265e-08
1855,8.597238121410555e-08,7.960405667972736e-09
1856,8.335274515047786e-08,1.4496129630003907e-08
1857,6.59003731584562e-08,4.881508974818871e-09
1858,1.0570339981086363e-07,1.468102794888182e-08
1859,1.2679511485202966e-07,2.4442432078330967e-08
1860,1.3228061845893535e-07,1.327383358784573e-08
1861,1.4336529829961364e-07,4.715963619617014e-09
1862,1.6535830127395457e-07,2.0330938710344526e-08
1863,1.2886121680821816e-07,9.989241434027463e-09
1864,1.4767762479550584e-07,1.726102105692462e-08
1865,1.2096589330212737e-07,7.530950973944073e-09
1866,1.1969407864853565e-07,6.811858188626729e-09
1867,1.3684928035218036e-07,8.73506067478047e-09
1868,1.1905096641839918e-07,3.309715523869272e-08
1869,1.2745985600304266e-07,8.790334682373668e-09
1870,1.1869480687209943e-07,8.601073631098188e-09
1871,1.8480848495983082e-07,5.3105884134652115e-09
1872,1.5783555795678694e-07,3.628403577593531e-09
1873,1.5743191283945634e-07,1.496501056408306e-08
1874,1.505601545659374e-07,1.5533982988813477e-08
1875,1.24157139680392e-07,1.830888685105947e-08
1876,1.5961478538883966e-07,6.650616057868319e-09
1877,1.3544746479965397e-07,9.895705588292003e-09
1878,1.2500913726398721e-07,1.2078177569208037e-08
1879,1.2096464274691243e-07,1.4662380642960215e-08
1880,1.270733491764986e-07,8.343199908722454e-09
1881,1.1225737495124122e-07,4.8807553554297556e-09
1882,9.38409314699129e-08,9.317538740560849e-09
1883,1.2828257922592456e-07,3.791603475633565e-09
1884,8.054070121943369e-08,7.2618666635548834e-09
1885,1.3020184042034089e-07,1.933690763067375e-09
1886,1.0390076710109497e-07,1.1616235084943582e-08
1887,1.057685778960149e-07,5.876032105334161e-09
1888,1.2554417594401457e-07,1.521747527988282e-08
1889,1.259292474742324e-07,8.14467782106476e-09
1890,1.173235162355013e-07,1.3764211992395303e-08
1891,1.4851933372028725e-07,8.92390783491237e-09
1892,1.3289246680869837e-07,5.641661360300532e-09
1893,8.80653558965605e-08,1.3548516086814288e-08
1894,1.1531816568322029e-07,2.520615716150587e-09
1895,1.366225461651993e-07,2.1065151400989635e-08
1896,1.0437741337909756e-07,3.5382172747233653e-09
1897,1.2643968716474774e-07,2.155884004650943e-08
1898,1.0807458039607809e-07,6.224190496340043e-09
1899,1.1442087100022036e-07,9.949641111006713e-09
1900,1.0693569407749237e-07,4.15284251431558e-09
1901,9.612630691435697e-08,6.147612641171918e-09
1902,1.0704418684781558e-07,2.9461704187383475e-09
1903,9.396383404691733e-08,7.560307935250421e-09
1904,1.3974025137031276e-07,1.5048950530172078e-08
1905,1.192135385963411e-07,6.192911072844254e-09
1906,9.722509020093639e-08,4.115347618238729e-09
1907,9.617117058269287e-08,3.0857059130084963e-09
1908,1.0117461357594948e-07,8.349361202419914e-09
1909,1.2322203701842227e-07,1.1001967115120692e-09
1910,1.0581418052879599e-07,3.206490406526541e-09
1911,7.874153595821554e-08,1.0640748726586935e-08
1912,9.481146889811498e-08,7.293189607793238e-09
1913,9.704471182203633e-08,4.242391771214216e-09
1914,1.0446920128970305e-07,2.678697486047099e-09
1915,1.4961567273985565e-07,5.890381071793627e-09
1916,9.449217230894646e-08,1.4283700444650549e-08
1917,1.0856760468413995e-07,1.0966424435210342e-09
1918,1.0337738842736144e-07,0.0
1919,1.1325653304083971e-07,9.207848372660976e-10
1920,8.556622077549036e-08,4.543339038320937e-09
1921,8.55720472259236e-08,2.2718242842501013e-09
1922,9.517536625480716e-08,5.164555005876537e-09
1923,8.280439800500972e-08,1.1677542488541803e-08
1924,5.801231139912488e-08,1.0313299547703991e-08
1925,7.038833871320094e-08,3.299453377181294e-09
1926,5.9074533709235766e-08,8.916910765321973e-09
1927,8.250426475342465e-08,7.804457524684949e-09
1928,9.369353648480683e-08,3.4278122562625413e-09
1929,6.350031611646045e-08,6.684243825105796e-09
1930,8.507918636269096e-08,7.352522590764465e-09
1931,8.55401722787974e-08,7.983749661377715e-09
1932,8.329247691563069e-08,3.287861094491973e-09
1933,1.0208889023033407e-07,1.1470662641954732e-08
1934,1.0543790551764687e-07,1.1981580172459871e-09
1935,9.574627313213568e-08,3.590485242455088e-09
1936,1.0790996185505719e-07,9.699771652549316e-09
1937,5.9178255185088346e-08,2.5182236296217297e-09
1938,6.223302762009553e-08,1.0372171566075394e-08
1939,8.564668263488784e-08,0.0
1940,8.875240098404902e-08,1.0143131667916805e-08
1941,4.7224041566096275e-08,0.0
1942,6.371844563091145e-08,0.0
1943,5.516146828199453e-08,2.9032352077962287e-09
1944,6.105053529381621e-08,9.639558484764166e-09
1945,1.0021118868053236e-07,2.178504043826024e-09
1946,9.883984120051537e-08,4.1763312808029696e-09
1947,5.364391952866754e-08,2.3841741914054637e-09
1948,5.544662684542345e-08,7.610321262063735e-09
1949,6.577395339490977e-08,6.8719057111366055e-09
1950,6.593923984610228e-08,7.444753258312176e-09
1951,7.889437370067753e-08,7.462981344019681e-09
1952,6.85412260281737e-08,1.4762725264461096e-08
1953,8.295847209183194e-08,3.232148326759443e-09
1954,9.38163466912556e-08,5.863521668203475e-09
1955,6.757638004728506e-08,1.8771215692936494e-09
1956,7.500181453679033e-08,8.72114158667614e-10
1957,6.007825703591152e-08,1.7670075402875796e-09
1958,5.046068451974861e-08,6.617794756635931e-09
1959,8.758345160231329e-08,1.0851047171911432e-08
1960,6.3671663497189e-08,6.2287499602575735e-09
1961,6.253343087792018e-08,1.320150300188061e-08
1962,8.942158302716052e-08,5.0735651235811474e-09
1963,8.211887347897573e-08,4.526237162849611e-09
1964,8.21335746081786e-08,7.300761772910391e-09
1965,5.690925064527619e-08,4.377634699181954e-09
1966,7.533141399562737e-08,2.215629901769489e-09
1967,6.705256083705535e-08,3.944268467392931e-09
1968,6.692209808534244e-08,5.838840522187638e-09
1969,1.0173537390301135e-07,1.1354394757745467e-08
1970,1.1496812390987543e-07,1.103694025061941e-08
1971,7.810363911175955e-08,1.0276794526475896e-08
1972,7.797823542432525e-08,5.643161493651405e-09
1973,6.009392450323503e-08,5.513203671370093e-09
1974,7.200731744205768e-08,5.625571564138454e-09
1975,7.596268858378608e-08,7.4249242310031605e-09
1976,6.799096752274636e-08,5.142174241967723e-09
1977,7.052138073504466e-08,9.990529292736028e-09
1978,6.356432891152508e-08,5.346532105932056e-09
1979,6.729769097546523e-08,9.363157360553487e-09
1980,6.82218086467401e-08,7.390696055153967e-09
1981,4.680906684484398e-08,4.427884725544118e-09
1982,5.5867520387664626e-08,5.586751949948621e-09
