year,voulant_VERB assurer_VERB,voulant_VERB rassurer_VERB
1800,1.509198952476254e-07,1.5720821977538435e-08
1801,9.762848840466631e-08,3.333655484993869e-08
1802,4.4756802708434407e-08,0.0
1803,1.2482170941297e-07,1.755305234496518e-08
1804,1.0628959112857217e-07,1.730295728918918e-08
1805,1.1940086430684005e-07,2.2743021688143017e-08
1806,1.844268266992799e-07,3.1698359492793315e-08
1807,1.3665384201999586e-07,3.701041606518629e-08
1808,7.47804413947506e-08,2.2660739951163578e-09
1809,9.262025457701384e-08,1.3554183553310395e-08
1810,7.488405451283597e-08,2.3401267590372754e-09
1811,2.933279716899051e-07,1.504245972228091e-08
1812,8.535066342574282e-08,0.0
1813,1.2653263326001252e-07,4.3136125782439194e-08
1814,2.6117420759419474e-07,3.1466771410748606e-09
1815,3.236668142392318e-07,1.6183340889597275e-08
1816,1.5296185651436645e-07,2.0858434979231788e-08
1817,2.4598599779324104e-07,0.0
1818,2.0504424469436344e-07,4.410835785506606e-08
1819,1.7907317229060027e-07,4.140420006848444e-09
1820,2.0410347190136235e-07,2.8479554714522237e-08
1821,1.0946252260168876e-07,2.9584463767662328e-09
1822,2.2958660395033803e-07,0.0
1823,9.882686669016039e-08,1.1859224713361982e-08
1824,1.2715880437497162e-07,1.1789557774477544e-08
1825,1.320816469529973e-07,1.7610886082763955e-09
1826,2.580739462132442e-07,1.7615968683770689e-09
1827,2.1291899798825398e-07,5.530363722527909e-09
1828,1.4859128327771032e-07,0.0
1829,1.4831594619124644e-07,1.7146351893870815e-08
1830,7.410153557430021e-08,1.2524203008013046e-08
1831,1.621485452574234e-07,1.5591206103948707e-09
1832,1.29887702371434e-07,5.411987746839486e-09
1833,1.3900354645102198e-07,2.3167257001688313e-09
1834,2.594999557459232e-07,2.8003592777992026e-09
1835,1.5201806746745206e-07,1.5126175867408165e-09
1836,1.2030142571006763e-07,1.2097349788575684e-08
1837,1.2872098054117487e-07,8.349468672008697e-09
1838,2.2408174160659655e-07,1.2624323808552163e-08
1839,1.4262609226989298e-07,5.5931801412612e-09
1840,1.7198159962816817e-07,5.732719632334238e-09
1841,9.887645013861857e-08,3.2102742686390684e-09
1842,1.8514812083481047e-07,1.2074877542289641e-08
1843,1.6362144350523522e-07,2.008349753168659e-08
1844,9.934296052449554e-08,1.975882080174074e-08
1845,1.6629079269137037e-07,1.3950569810461388e-08
