year,puissent_VERB aller_VERB
1800,1.4463157071986643e-07
1801,1.619204113012529e-07
1802,1.2979472785445978e-07
1803,1.5992782209650613e-07
1804,1.1617699158250616e-07
1805,1.5351540127994667e-07
1806,1.181484350354367e-07
1807,1.8505208743135881e-07
1808,1.0650547466184435e-07
1809,1.197286110254936e-07
1810,8.190443878675069e-08
1811,1.8803075363393873e-07
1812,5.601137331723294e-08
1813,4.026038169513413e-08
1814,2.2656075771010364e-07
1815,1.2137506644194218e-07
1816,9.502176112619054e-08
1817,1.401186011662503e-07
1818,1.287487094714379e-07
1819,9.626476327184719e-08
1820,1.4714436247231788e-07
1821,9.2697987952306e-08
1822,1.7143803177077643e-07
1823,1.1068609495623605e-07
1824,1.4989581131885643e-07
1825,1.9107811510821193e-07
1826,1.4268934478423034e-07
1827,1.0599863742299931e-07
1828,1.7610818758839741e-07
1829,1.4060009334571077e-07
1830,1.3359149875213916e-07
1831,8.263339168479433e-08
1832,6.22378593106987e-08
1833,1.2162810492100107e-07
1834,1.4935250192138483e-07
1835,1.7848887523541634e-07
1836,1.6398630009462067e-07
1837,1.7185990941470664e-07
1838,1.325553995457085e-07
1839,1.7059198853530688e-07
1840,1.2166105989308562e-07
1841,1.4382028723503026e-07
1842,1.5294844502022897e-07
1843,1.1518476839000868e-07
1844,1.4599572750739753e-07
1845,9.653794563746487e-08
1846,1.2587177877776412e-07
1847,1.3914517182911368e-07
1848,2.0515315668490075e-07
1849,9.46873868201692e-08
1850,1.6429370930381992e-07
1851,9.932135469625791e-08
1852,9.244974563671349e-08
1853,1.2959091577613435e-07
1854,1.6418299253473378e-07
1855,9.65862554380692e-08
1856,1.646346134975829e-07
1857,1.2154957573784486e-07
1858,1.0325656063514543e-07
1859,8.605773160752506e-08
1860,1.1626047324853062e-07
1861,1.405357181738509e-07
1862,1.161122469284237e-07
1863,1.238665987557397e-07
1864,1.4240342238736048e-07
1865,1.1861247628530691e-07
1866,8.612134649865766e-08
1867,1.164674756637396e-07
1868,1.373284987948864e-07
1869,1.1622775275554886e-07
1870,1.2614907518582186e-07
1871,1.338268305062229e-07
1872,1.30622524352475e-07
1873,8.14096594581315e-08
1874,1.200896377895333e-07
1875,1.52764769723035e-07
1876,1.390583435068038e-07
1877,1.6080521447747742e-07
1878,1.3044432023434638e-07
1879,1.5028939515104867e-07
1880,1.1102873997970164e-07
1881,1.0249586068766803e-07
1882,1.0182738918729228e-07
1883,1.1185230164301174e-07
1884,7.591951600716129e-08
1885,1.0184104581867359e-07
1886,1.1745304107080301e-07
1887,1.1817353851029111e-07
1888,9.257297506337636e-08
1889,1.0901337788027377e-07
1890,1.4354105815073126e-07
1891,8.413970675746896e-08
1892,1.1534062593909766e-07
1893,8.190693989718056e-08
1894,9.767386188741511e-08
1895,8.907549187142649e-08
