year,auront_VERB établi_VERB,auront_VERB rétabli_VERB
1800,2.5153315874604232e-08,0.0
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,5.851017448321727e-09,0.0
1804,5.19088700912107e-08,2.4718509461507665e-09
1805,5.1171799242411e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,1.0533734240425474e-07,0.0
1808,3.6257183921861724e-08,0.0
1809,9.036122072814123e-09,9.036122072814123e-09
1810,2.854954743725102e-07,4.680253518074551e-09
1811,1.5293167621166504e-07,7.521229861140455e-09
1812,1.360276229434021e-07,0.0
1813,6.326631307729258e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,4.045835311217161e-08,1.3486118000116676e-08
1816,6.721051448721482e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,1.3113294983213564e-07,2.384235475716423e-09
1819,5.2790355198339967e-08,9.315945348475907e-09
1820,4.865257352548724e-08,3.085285271708926e-08
1821,3.747365440176509e-08,1.676452932031225e-08
1822,3.8097340393505874e-08,1.303330066093622e-08
1823,3.360113609574e-08,0.0
1824,3.3684450784221553e-08,0.0
1825,7.04435478837695e-08,4.4027217427355936e-09
1826,7.310627125889368e-08,8.807984341885344e-10
1827,8.572063592282575e-08,4.608636583469661e-09
1828,3.118582370120748e-08,0.0
1829,6.601345603485242e-08,8.57317605795771e-10
1830,6.157733167810875e-08,3.1310507520032616e-09
1831,3.4300654760954785e-08,3.1182412207897414e-09
1832,2.043025375542129e-07,1.3529969367098715e-09
1833,6.718504863556518e-08,0.0
1834,9.241185949804276e-08,1.5868701908061666e-08
1835,8.848812882433776e-08,0.0
1836,1.0081124912630912e-07,4.704525213838906e-09
1837,8.627785064163618e-08,0.0
1838,6.312161815458239e-08,0.0
1839,9.368577025270497e-08,7.690622361167243e-09
1840,7.45253601053264e-08,1.3376346252869098e-08
1841,5.072233477676491e-08,1.926164561183441e-09
1842,7.110760691375617e-08,4.695785538189057e-09
1843,5.079943576902224e-08,2.3627644285539873e-09
1844,3.841993034825464e-08,3.2931368743049916e-09
1845,8.202935219969731e-08,0.0
1846,3.571245699163228e-08,1.1709002656346001e-09
1847,5.608952591273919e-08,2.1572894581822766e-09
1848,3.861706332486392e-08,1.6090443422100975e-09
1849,5.614208120618969e-08,7.54147322368226e-09
1850,3.2587180953669304e-08,0.0
1851,6.44943867200709e-08,4.514607354622058e-09
1852,5.468858077506411e-08,1.3672145193766028e-08
1853,3.1054046445433414e-08,2.9859659189668264e-09
1854,6.442623856628416e-08,0.0
1855,3.449509122788186e-08,1.5920811335945473e-09
1856,4.141751475117417e-08,3.1063134287023786e-09
1857,3.221796163188628e-08,2.9289055625270066e-09
1858,2.936205589776364e-08,1.468102750479261e-09
1859,3.4626779665813956e-08,4.582956236731661e-09
1860,5.7214798232507746e-08,4.119465657481669e-09
1861,4.008569121083383e-08,1.4147891747029462e-09
1862,5.557123117228002e-08,2.710791813242963e-09
1863,4.4951587341302e-08,2.4973103585068657e-09
1864,5.897515364949868e-08,1.4863656971897399e-08
1865,3.4830648587558244e-08,4.706844358715045e-10
1866,1.6543083347642096e-08,6.3252967308358166e-09
1867,4.804283548764943e-08,1.0190904120577216e-08
1868,6.026646559575966e-08,4.939874287401835e-09
1869,3.564969119906891e-08,1.2208797528501236e-08
1870,1.3761717099214366e-08,7.454262984651905e-09
1871,3.611200227737754e-08,4.248470908407853e-09
1872,3.930770375859538e-08,2.4189357183956872e-09
1873,4.1303430009520525e-08,1.7958012854535355e-09
1874,3.1067965977626955e-08,2.3898436563030145e-09
1875,7.15190893174622e-08,0.0
1876,3.748529309177684e-08,2.418405919968336e-09
1877,2.9068635498674666e-08,1.2369632429454214e-08
1878,3.563062378475479e-08,4.22736201599605e-09
1879,4.3987142817059066e-08,6.109325489944695e-09
1880,2.5671385017744797e-08,3.8507077526617195e-09
1881,4.462404845639867e-08,0.0
1882,4.059785041476971e-08,3.3276925659464496e-09
1883,4.3603439081607576e-08,1.3270612164717477e-08
1884,2.6406787867472303e-08,5.941527270181268e-09
1885,4.254119545521462e-08,1.0957580620640783e-08
1886,4.969167122226281e-08,9.034849313138693e-09
1887,3.590908548289917e-08,1.9586774424595887e-09
1888,2.9800888867725916e-08,3.804368819970705e-09
1889,3.633779144252003e-08,3.132568426877924e-09
1890,4.4569826940232815e-08,1.9663159989136147e-09
1891,4.079500826037474e-08,1.211101796627645e-08
1892,2.7581453565517222e-08,3.761107425503951e-09
1893,4.9883173147691195e-08,8.005941687372342e-09
1894,4.663139208105349e-08,3.150769645188234e-09
1895,4.4537745935713247e-08,6.018614495673091e-10
1896,6.014969500256484e-08,4.717623180994224e-09
1897,5.010973680441566e-08,5.826713556089658e-10
1898,3.7910979244770715e-08,6.224190496340043e-09
1899,3.8693048765026106e-08,5.527578395003729e-09
1900,2.491705508589348e-08,5.19105292084987e-09
1901,5.4210769206974874e-08,3.912117296778206e-09
1902,5.5977235291493344e-08,4.419255628107521e-09
1903,3.9961630449170116e-08,1.6200660812870638e-09
1904,4.3534463145533664e-08,1.289910045443321e-08
1905,5.057543717157387e-08,5.676835002077496e-09
1906,4.73264982758792e-08,3.0865106026567446e-09
1907,4.1142747875255736e-08,2.5714217422034835e-09
1908,6.237463878733251e-08,9.822778146428846e-10
1909,3.300590023513905e-08,6.0510818578052294e-09
1910,2.8323999146095957e-08,5.878565634276356e-09
1911,4.8415405018431557e-08,2.6601871816467337e-09
1912,3.021464323182954e-08,1.3023552902780011e-08
1913,5.037840367094759e-08,2.121195885607108e-09
1914,2.74566485103378e-08,2.678697486047099e-09
1915,3.887651445211304e-08,2.3561523843085297e-09
1916,1.3184954461564757e-08,1.0987462051303964e-09
1917,4.7155623406069935e-08,5.483212106582869e-09
1918,6.662098428478203e-08,8.040463406189247e-09
1919,5.064316610514652e-08,6.4454939163738345e-09
