year,pourront_VERB amener_VERB,pourront_VERB ramener_VERB
1800,6.288328968651058e-09,1.2576657937302116e-08
1801,9.524730337773235e-09,1.904946067554647e-08
1802,2.6854081625060644e-08,2.2378401354217203e-09
1803,1.3652374342143503e-08,0.0
1804,4.449331569844617e-08,0.0
1805,2.842877755426798e-08,2.842877711017877e-09
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,2.2660739062985158e-08,0.0
1809,1.8072244145628247e-08,1.129515236897305e-08
1810,7.020380277111826e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672083208723052e-08,1.600324850414836e-08
1813,3.4508900625951355e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,7.784366928831332e-09,0.0
1818,3.337929754820834e-08,5.960588467246453e-09
1819,2.070209959015301e-08,4.140420006848444e-09
1820,2.254631326081835e-08,4.746592452420373e-09
1821,5.9168929311681495e-08,1.3806083387635226e-08
1822,4.0102463572111446e-08,1.0025615893027862e-08
1823,9.586206317635515e-08,7.906149512848515e-09
1824,2.947389532437228e-08,1.9368560089105813e-08
1825,3.6982861217893515e-08,5.283265824829186e-09
1826,5.725189922145546e-08,5.284790383086602e-09
1827,4.055600300034712e-08,2.3043183361437514e-08
1828,1.9261833017480967e-08,3.668920500743411e-09
1829,4.715246859632316e-08,0.0
1830,4.0703660886265425e-08,1.0436835840010872e-09
1831,2.6505050598757407e-08,4.677361609140007e-09
1832,3.6530916958099624e-08,8.117981842303834e-09
1833,5.21263281427764e-08,1.6217079235048004e-08
1834,4.29388435918554e-08,9.334530925997342e-10
1835,4.9160071569076536e-08,4.5378527602224494e-09
1836,7.19120265557649e-08,4.704525213838906e-09
1837,5.844628248041772e-08,6.262101948095733e-09
1838,6.438405364406208e-08,1.8936485712828244e-09
1839,2.866504900111977e-08,6.9914751765765e-10
1840,5.7327198987877637e-08,8.917564464638872e-09
1841,8.475124246842825e-08,6.420548537278137e-09
1842,3.4212153110502186e-08,7.379091560011375e-09
1843,5.3752891915337386e-08,6.497602011990011e-09
1844,2.7991662321369404e-08,3.2931368743049916e-09
1845,3.794555070157912e-08,3.9061593959388574e-09
1846,2.1661655580373917e-08,2.3418005312692003e-09
1847,3.883121024728098e-08,5.3932236454556914e-09
1848,5.229394162142853e-08,3.218088684420195e-09
1849,7.0387088157986e-08,1.75967720394965e-08
1850,4.616517301769818e-08,7.467895635215882e-09
1851,5.6755062871616246e-08,1.2898877521649865e-09
1852,4.101643469311966e-08,3.2552727180501506e-09
