year,eut_VERB emporté_VERB,eut_VERB remporté_VERB
1800,3.458580977167003e-08,1.8864987794131594e-08
1801,9.524730337773235e-09,1.1905912700171939e-08
1802,1.5664880947952042e-08,8.951360541686881e-09
1803,2.145373123596528e-08,1.950339267864365e-08
1804,3.213406074564773e-08,4.449331569844617e-08
1805,8.528632911009026e-09,1.9900143755080535e-08
1806,0.0,2.5935023018064385e-08
1807,3.131650672116848e-08,1.7081731584767113e-08
1808,9.064295980465431e-09,4.758755522971114e-08
1809,3.162642769893864e-08,1.129515236897305e-08
1810,1.8721014072298203e-08,4.680253518074551e-09
1811,4.512738271955641e-08,3.008491944456182e-08
1812,1.8670457180292033e-08,2.9339290108509886e-08
1813,4.601186631703058e-08,2.5881675469463516e-08
1814,6.922689976818219e-08,3.1466771410748606e-09
1815,4.5852800667489646e-08,2.6972236000233352e-08
1816,3.0128852301913867e-08,4.1716869958463576e-08
1817,1.8682481339737933e-08,3.269434145636296e-08
1818,3.695565098382758e-08,2.1458118837358597e-08
1819,3.3123360054787554e-08,7.763287612760905e-08
1820,3.085285271708926e-08,4.153268307049984e-08
1821,3.944595405869222e-08,3.550135829755163e-08
1822,1.5038423839541792e-08,1.9048670196752937e-08
1823,7.016707570528524e-08,8.894418535021487e-09
1824,3.3684450784221553e-08,3.705289586264371e-08
1825,4.0505039322624725e-08,7.04435478837695e-08
1826,3.435113882233054e-08,4.7563116112314674e-08
1827,4.424290978022327e-08,4.147772969531616e-08
1828,3.944089499441361e-08,3.3020285172824515e-08
1829,1.800366966620004e-08,4.9724420136953995e-08
1830,1.2524203008013046e-08,4.4878394334091354e-08
1831,2.6505050598757407e-08,1.091384405071949e-08
1832,5.547287429408243e-08,1.0823975493678972e-08
1833,2.548398292390175e-08,1.6217079235048004e-08
1834,5.2273371409228275e-08,1.213489042584115e-08
1835,5.218530674255817e-08,1.3613558280667348e-08
1836,5.1749776019960336e-08,4.838939915430274e-08
1837,3.965997663613052e-08,3.6181031504156635e-08
1838,5.428459104450667e-08,6.059675428105038e-08
1839,5.033862038317238e-08,2.3771015378315496e-08
1840,3.503328827036967e-08,3.05745047057826e-08
1841,1.733548060656176e-08,4.237562123421412e-08
1842,4.628702754416736e-08,1.475818312002275e-08
1843,3.898561473647533e-08,3.603215859016018e-08
1844,3.512679214168202e-08,5.653217982626302e-08
1845,1.674068350610014e-08,2.1204865419122143e-08
1846,6.14722637237719e-08,3.219975752699611e-08
1847,7.226919507274943e-08,1.833696039454935e-08
1848,4.827133182061516e-08,2.815827571112095e-08
1849,3.1841775438579134e-08,1.8434713311421547e-08
1850,2.1724787302446202e-08,1.9009188889640427e-08
1851,2.902247508984601e-08,2.192809134271556e-08
1852,1.4323200403509873e-08,1.6927417689771573e-08
1853,2.7470886010405593e-08,1.3735443005202796e-08
1854,5.7152309551611324e-08,1.610655964157104e-08
1855,1.4859423913549108e-08,2.2289135870323662e-08
1856,4.038207634948776e-08,2.5885945831305435e-08
1857,2.2943092758964667e-08,2.39193944651106e-08
1858,3.2787628612140907e-08,1.6149130033227266e-08
1859,5.29586046127406e-08,3.1571474323754956e-08
1860,2.746310379109218e-08,2.3801355553132453e-08
1861,2.263662679524714e-08,1.6034276129062164e-08
1862,5.0601446588416366e-08,1.7620147119146168e-08
1863,3.7459656709870615e-08,1.7980635647063536e-08
1864,2.3973639073915365e-08,1.1986819536957682e-08
1865,2.9653119071326728e-08,2.9653119071326728e-08
1866,3.0166798836717135e-08,2.1895258939252926e-08
1867,1.6984840200962026e-08,2.038180824115443e-08
1868,2.9145256874585357e-08,1.9265508299781686e-08
1869,2.0999133099053324e-08,2.3440891894210836e-08
1870,4.6445794765759274e-08,2.2362790730312554e-08
1871,2.7615060460561835e-08,2.3366590440332402e-08
1872,3.0236694925633856e-08,1.69325495846806e-08
1873,2.9331422624068182e-08,1.616221290134945e-08
1874,1.4339061493728877e-08,2.5093358502203955e-08
1875,2.6319025181464895e-08,4.577221712764867e-09
1876,4.5949711591219966e-08,2.539326260375674e-08
1877,2.4739264858908427e-08,1.0514186854493346e-08
1878,2.1740719446938783e-08,2.4156355138416075e-08
1879,2.016077260691418e-08,2.1993571408529533e-08
1880,2.5671385017744797e-08,2.2462462112571302e-08
1881,2.649552932609822e-08,9.761510710859511e-09
1882,2.2628309892525067e-08,9.317538740560849e-09
1883,3.6020232130340446e-08,8.21514056781325e-09
1884,3.630933420595284e-08,7.2618666635548834e-09
1885,2.3848851782304337e-08,7.7347630522695e-09
1886,1.613365974151293e-08,1.355227396970804e-08
1887,1.828098916689669e-08,9.793386546164129e-09
1888,1.5851536971922542e-08,8.876860135842435e-09
1889,3.3831739187917265e-08,2.0674951528576457e-08
1890,1.5075089621063853e-08,5.243509182406569e-09
1891,1.9760081571007504e-08,7.0116419337296065e-09
1892,8.775916882086676e-09,1.3790726782758611e-08
1893,1.6627724974682678e-08,8.621783287310336e-09
1894,1.7014155417882648e-08,6.301539290376468e-09
1895,9.629783193076946e-09,1.745398137131815e-08
1896,1.592197840238896e-08,8.845543852942228e-09
1897,1.631479840114025e-08,2.3889525024856084e-08
1898,1.4145887128336199e-08,4.52668391659472e-09
1899,1.6029977345510815e-08,1.6582735185011188e-08
1900,1.86877908703309e-08,1.349673794948103e-08
1901,1.3412973842719111e-08,5.58873880507349e-09
1902,2.0132164380015638e-08,9.820567470342212e-09
1903,1.6200660368781428e-08,1.0800440541913758e-08
1904,1.3974025492302644e-08,3.2247751136083025e-09
1905,1.5482276793932215e-08,7.741138396966107e-09
1906,1.4403716441790948e-08,1.4403716441790948e-08
1907,1.9542804707839423e-08,6.685696440911215e-09
1908,2.1118973236866623e-08,3.929111258571538e-09
1909,2.1453836041018803e-08,3.850688656825696e-09
1910,1.870452770447173e-08,8.01622590529405e-09
1911,1.5961122201701983e-08,7.448523575703803e-09
1912,1.719108944087111e-08,7.814131564032323e-09
1913,2.3863453435524207e-08,1.484837142129436e-08
1914,1.7411533548283842e-08,1.1384464038144415e-08
1915,2.709575319670421e-08,4.712304768617059e-09
1916,1.8678685265172135e-08,8.789969641043172e-09
1917,2.631941953268324e-08,1.0966424435210342e-09
1918,3.445912710731136e-08,2.2972752589112133e-09
1919,1.9336480860943084e-08,7.366278698128781e-09
1920,2.8774479687854182e-08,5.300562211374427e-09
1921,1.3630945261411398e-08,1.1359120755116692e-08
1922,2.2871599725249325e-08,8.853522359686394e-09
1923,2.866305948145964e-08,2.0170300985000722e-08
1924,2.3204924204378585e-08,1.804827398643738e-08
1925,2.5295809891190402e-08,1.2097995494286806e-08
1926,8.916910765321973e-09,1.7833821530643945e-08
1927,2.1183527820767267e-08,1.0034302277972529e-08
1928,1.2568645679778001e-08,1.1426041446327417e-08
1929,1.7824650200282122e-08,1.3368487650211591e-08
1930,1.6805765667982087e-08,5.2518016602221e-09
1931,1.4826963656844327e-08,1.2545892325022123e-08
1932,1.3151444377967891e-08,1.2055489939655217e-08
1933,2.1794258842078307e-08,8.02946331646126e-09
1934,4.7926320689839486e-09,4.7926320689839486e-09
1935,1.0771455727365264e-08,8.377798899061872e-09
1936,1.6974599503782883e-08,6.0623572828433225e-09
1937,6.295559185076627e-09,1.2591118148108649e-09
1938,9.075650453382877e-09,7.779128452511941e-09
1939,1.2235240376412548e-08,6.117620188206274e-09
1940,7.607348528892999e-09,2.7893612752905028e-08
1941,1.1806010391524069e-08,8.854508237732261e-09
1942,1.2136847082899749e-08,1.517105907566929e-08
1943,0.0,8.709705845433291e-09
1944,1.927911696952833e-08,1.6065930807940276e-08
1945,1.089252066321933e-08,1.742803235060819e-08
1946,2.9234318077442367e-08,1.3921104269343232e-08
1947,2.5033829231801974e-08,1.3112957830685446e-08
1948,1.7395020535104777e-08,1.195907639583993e-08
1949,1.3743811422273211e-08,1.0798709482173763e-08
1950,2.0207187034770868e-08,9.571825110299415e-09
1951,1.4925962688039363e-08,1.0661401761424827e-09
1952,1.2653764258629963e-08,6.326882129314981e-09
1953,1.2928593307037772e-08,1.0773827163745864e-08
1954,1.07497895029951e-08,1.172704333640695e-08
1955,1.220129064449793e-08,1.220129064449793e-08
1956,1.657016923672927e-08,1.3953826538681824e-08
1957,2.3854601849393475e-08,1.236905244894615e-08
1958,1.9853384713997002e-08,7.445019267748876e-09
1959,2.015194411342236e-08,1.007597205671118e-08
1960,1.1765417085030094e-08,8.997083078554624e-09
1961,1.181187059273725e-08,7.64297514166401e-09
1962,2.029426049432459e-08,8.244543714397423e-09
1963,1.7458344103715717e-08,1.0345685197421517e-08
1964,2.007709554163739e-08,1.1559539991878864e-08
1965,1.3132904541635071e-08,8.755269398363907e-09
1966,2.547974453648294e-08,1.1078149952936656e-08
1967,9.367637332502454e-09,1.0846738618397467e-08
1968,1.0330256650092906e-08,1.0779397818794223e-08
1969,2.4071315607443466e-08,7.72098829315837e-09
1970,1.3336302728816918e-08,6.898087434592526e-09
1971,7.707596338946132e-09,1.1818314327172175e-08
1972,8.721249500354133e-09,8.721249500354133e-09
1973,1.2129047988196362e-08,1.0475087464101307e-08
1974,1.012602890426706e-08,1.0688586016271984e-08
1975,1.2565256390928425e-08,4.569184142155791e-09
1976,6.8562320265641574e-09,6.8562320265641574e-09
1977,7.639816779203557e-09,6.464460078348111e-09
1978,9.504946163474415e-09,5.346532105932056e-09
1979,9.363157360553487e-09,5.851973128301324e-09
1980,1.193881615790815e-08,5.116635559687666e-09
1981,1.2018544381930951e-08,7.590659656386833e-09
1982,7.449002747961231e-09,2.483000915987077e-09
1983,1.0736036948344463e-08,9.47297440490047e-09
1984,9.858314165001048e-09,4.059305780401701e-09
1985,1.2632671797518924e-08,3.609334831011779e-09
1986,1.019062523255343e-08,4.7955883708539204e-09
1987,1.1610551631235921e-08,4.888653482026939e-09
1988,1.139345240375178e-08,7.795519785247507e-09
1989,4.390497743145261e-09,7.683371272548811e-09
1990,1.198703181159999e-08,8.717841559757744e-09
1991,8.7921980806982e-09,3.5168792322792797e-09
1992,1.3774860363469088e-08,1.0468894195980738e-08
1993,1.2740176913439427e-08,5.539207315052863e-09
1994,1.160483886764041e-08,3.164955852952289e-09
1995,1.2471637056421514e-08,3.253470381991974e-09
1996,1.0676184380997711e-08,9.074756945892659e-09
1997,1.1507746755512471e-08,1.1507746755512471e-08
1998,1.1920323395031573e-08,6.675381136744818e-09
1999,1.3253583119876566e-08,1.3253583119876566e-08
2000,8.83606254831193e-09,7.510653432518666e-09
2001,7.886181485616817e-09,4.8193329327261836e-09
