year,faut_VERB assurer_VERB,faut_VERB rassurer_VERB
1800,6.288328791015374e-08,9.432493897065797e-09
1801,7.619784270218588e-08,4.7623651688866175e-09
1802,1.1189200677108602e-07,2.2378401354217203e-09
1803,9.166594594489652e-08,3.900678446910888e-09
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,5.1171799242411e-08,0.0
1806,6.339671898558663e-08,2.5935023018064385e-08
1807,6.547996633798903e-08,0.0
1808,5.4385775882792586e-08,1.8128591960930862e-08
1809,3.162642769893864e-08,4.518061036407062e-09
1810,3.978215445954447e-08,2.3401266702194334e-08
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,2.6672083208723052e-08,8.00162425207418e-09
1813,7.189353823378042e-08,1.1502966579257645e-08
1814,6.608021863030444e-08,4.090680150170556e-08
1815,8.631115377966125e-08,4.8550024445148665e-08
1816,3.7081662185300956e-08,6.257530316133852e-08
1817,6.694555310104988e-08,4.670620157298799e-08
1818,8.106400883889364e-08,3.5763532135746345e-09
1819,1.0247539705687814e-07,3.622867339458935e-08
1820,9.8491796052258e-08,9.493184904840746e-09
1821,9.072569184809254e-08,2.9584464655840748e-08
1822,6.316138012607553e-08,4.210758675071702e-08
1823,3.261286707356703e-08,1.1859224713361982e-08
1824,9.347434826167955e-08,2.189489300974401e-08
1825,3.522177394188475e-08,2.201360693732113e-08
1826,4.580151724553616e-08,1.145037931138404e-08
1827,7.465990847776993e-08,1.7512819638909605e-08
1828,1.0548146178734896e-07,5.503380862137419e-09
1829,5.3153691226270894e-08,6.858540846366168e-09
1830,5.5315229730013016e-08,2.0873670791843324e-08
1831,6.392394169552063e-08,1.870944643656003e-08
1832,1.041807635715486e-07,2.1647950987357945e-08
1833,5.3284690437749305e-08,2.7800709290204395e-08
1834,1.456186851100938e-07,2.8003592333902816e-08
1835,9.378229037793062e-08,2.7227116561334697e-08
1836,8.199315004731034e-08,9.409050427677812e-09
1837,1.2176309382994077e-07,1.1132625488130543e-08
1838,7.700837301172214e-08,2.019891809368346e-08
1839,6.222413162504381e-08,6.292327547896548e-09
1840,1.2803074866951647e-07,1.9109066329292546e-08
1841,9.438206660661308e-08,2.118781061710706e-08
1842,1.0062397848287219e-07,3.085801836277824e-08
1843,7.324569395450453e-08,2.658109998776581e-08
1844,1.3611631288767967e-07,1.4819115712327857e-08
1845,8.984167010339661e-08,1.2834524554250493e-08
1846,1.200172761173235e-07,8.781752214304106e-09
1847,1.2296550266910344e-07,1.88762818709165e-08
1848,1.2872354204773728e-07,1.689496542667257e-08
1849,1.0055298105271504e-07,5.865590679832167e-09
1850,1.0726613908218496e-07,1.425689166723032e-08
1851,1.289887734401418e-07,1.6123596680017727e-08
1852,8.659025496626782e-08,1.7578472011337e-08
1853,5.2552998397459305e-08,2.20961471342207e-08
1854,8.676759932768618e-08,2.338049043260071e-08
1855,5.5722839675809155e-08,2.2819829581521844e-08
1856,6.782117623060913e-08,2.7956822634678247e-08
1857,6.492407322866711e-08,1.7085282522089074e-08
1858,8.417122643322728e-08,1.8595969208945462e-08
1859,8.503929649350539e-08,3.5645213447565993e-09
1860,1.1488731388453743e-07,2.1512764902809067e-08
1861,8.67737313114958e-08,2.782418562219391e-08
1862,1.093352679504278e-07,2.5300723294208183e-08
1863,7.841554605647616e-08,9.989241434027463e-09
1864,8.87024640405798e-08,3.0206784629172034e-08
1865,1.0590400023602342e-07,1.4591217123438582e-08
1866,1.041241191046538e-07,2.0435575009969398e-08
1867,1.2568781926347583e-07,8.73506067478047e-09
1868,1.126291309105909e-07,1.4819621974027086e-08
1869,1.1769281371698526e-07,2.0999133099053324e-08
1870,8.31437105830446e-08,1.77755516972411e-08
1871,1.317025919433945e-07,2.2304472935275044e-08
1872,1.6388290191571286e-07,1.6327815544059376e-08
1873,1.3588230274308444e-07,2.3944017879529156e-09
1874,1.487677678824184e-07,1.3144139998644278e-08
1875,1.4017741989391652e-07,1.830888685105947e-08
1876,7.85981910667033e-08,2.1161051577678336e-08
1877,1.0576035691656216e-07,1.4843558382438005e-08
1878,8.575506171837333e-08,1.2078177569208037e-08
1879,8.553055153015521e-08,1.3440515367335593e-08
1880,1.1680479872211436e-07,2.2462462112571302e-08
1881,1.296886438240108e-07,2.649552932609822e-08
