year,eut_VERB assuré_VERB,eut_VERB rassuré_VERB
1800,5.973912209356058e-08,0.0
1801,6.667310969987739e-08,1.1905912700171939e-08
1802,2.9091921760482364e-08,0.0
1803,8.581492494386112e-08,0.0
1804,9.640218934237055e-08,0.0
1805,1.1087222873129576e-07,1.7057265822018053e-08
1806,3.7461699520235925e-08,0.0
1807,8.825561081948763e-08,0.0
1808,1.0877155176558517e-07,0.0
1809,4.743964154840796e-08,0.0
1810,4.680253340438867e-08,0.0
1811,6.267691787797958e-08,0.0
1812,5.867858021701977e-08,2.6672083208723052e-08
1813,7.476928232108548e-08,0.0
1814,5.349351184236184e-08,9.440030979135372e-09
1815,4.8550024445148665e-08,2.697223555614414e-09
1816,8.1116134253989e-08,0.0
1817,1.1053801074467628e-07,0.0
1818,1.4066989706407185e-07,0.0
1819,6.83169290027763e-08,1.035105001712111e-09
1820,6.882559233645225e-08,5.933240565525466e-09
1821,5.9168929311681495e-08,0.0
1822,8.72228582693424e-08,3.0076847679083585e-09
1823,1.096978223813494e-07,0.0
1824,5.894779064874456e-08,7.57900142644985e-09
1825,1.1006803646296248e-07,2.641632912414593e-09
1826,7.927185663447744e-08,0.0
1827,1.1060727445055818e-07,4.608636583469661e-09
1828,1.7427371545863934e-08,9.172301251858528e-10
1829,6.944272712416932e-08,4.286587973467704e-09
1830,7.305784777145163e-08,1.7742621594152297e-08
1831,4.989185953263586e-08,0.0
1832,9.065079353831607e-08,2.705993873419743e-09
1833,6.486831694019202e-08,5.791814139399776e-09
1834,4.947301235347368e-08,2.8003592777992026e-09
1835,8.092504089063368e-08,7.563087933704082e-09
1836,7.997692819117219e-08,7.392825018825988e-09
1837,6.74915412446353e-08,4.174734336004349e-09
1838,7.953323688525415e-08,6.312161904276081e-10
1839,1.2444826325008762e-07,1.11863602825224e-08
1840,1.044628916702095e-07,1.7198159341091923e-08
1841,3.980740004294603e-08,2.3113974734201292e-08
1842,4.024958855097793e-08,7.379091560011375e-09
1843,8.742228629898818e-08,4.7255288571079745e-09
1844,9.111011678442082e-08,9.330554107123135e-09
1845,7.19849424513086e-08,5.022205318283568e-09
1846,5.971591576781066e-08,3.5127007969038004e-09
1847,8.898818748548365e-08,2.6966118227278457e-09
1848,7.321151684891447e-08,1.6090443422100975e-09
1849,8.379414850878675e-08,6.703531951757213e-09
1850,5.7706465383944305e-08,6.788996032014438e-09
1851,5.095056465620473e-08,7.094382858952031e-09
1852,7.096494414327026e-08,0.0
1853,6.987160361404676e-08,2.388772735173461e-09
1854,5.6113176327698966e-08,0.0
1855,3.555647865027822e-08,1.1144567935161831e-08
1856,4.4523826403519706e-08,2.5885946719483854e-09
1857,5.760180599168052e-08,6.345961978126979e-09
