year,devraient_VERB apporter_VERB,devraient_VERB rapporter_VERB
1800,2.829747991484055e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,0.0,0.0
1813,2.8757416004054903e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,7.784366928831332e-09,1.2454987263765815e-08
1818,0.0,1.9073883805731384e-08
1819,2.070210003424222e-09,0.0
1820,2.3732962262101864e-09,1.4239777357261119e-08
1821,1.0847637454958203e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,9.882686891060644e-10,1.581229902569703e-08
1824,6.736890156844311e-09,0.0
1825,1.7610886082763955e-09,2.641632912414593e-09
1826,6.1655889282974385e-09,0.0
1827,0.0,0.0
1828,8.255071293206129e-09,1.8344602503717056e-09
1829,8.57317605795771e-10,1.1145129263923081e-08
1830,7.305785310052215e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,9.354723218280014e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,8.108539617524002e-09,8.108539617524002e-09
1834,8.401078055442213e-09,5.600718555598405e-09
1835,2.2689263801112247e-09,4.5378527602224494e-09
1836,4.032449929525228e-09,0.0
1837,3.478945576063097e-09,6.957890930081589e-10
1838,6.312161904276081e-10,3.1560809521380406e-09
1839,2.0974426639952526e-09,0.0
1840,1.0828470564661075e-08,1.2739377330817092e-09
1841,1.4767261191650505e-08,5.1364388298225094e-09
1842,1.0062397137744483e-08,4.695785538189057e-09
1843,9.451057714215949e-09,4.784597962270709e-08
1844,1.1525978393933656e-08,4.390849017710252e-09
1845,1.1160455670733427e-08,1.0602432709561072e-08
1846,2.1661655580373917e-08,3.5127007969038004e-09
1847,1.833696039454935e-08,2.1033571329098777e-08
1848,2.735375304041554e-08,2.011305433313737e-08
1849,1.3407063903514427e-08,6.703531951757213e-09
1850,2.0366988096043315e-09,4.752297222410107e-09
1851,3.8696632564949596e-09,5.8044946626978344e-09
1852,6.510545436100301e-10,1.8229528109259263e-08
1853,6.569124799682413e-09,5.3747388761848924e-09
1854,9.871762074453727e-09,5.195664343204953e-09
1855,5.306937111981824e-09,5.306937111981824e-09
1856,2.329735160344626e-08,7.248064815001953e-09
1857,2.4407544874094356e-09,9.274867096564776e-09
1858,4.893676130990343e-09,1.0276719919488642e-08
1859,1.3748867822016564e-08,1.5276519604867644e-08
