year,pourront_VERB apporter_VERB,pourront_VERB rapporter_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,4.7623651688866175e-09,1.1905912700171939e-08
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,9.751696339321825e-09,5.851017448321727e-09
1804,2.4718509461507665e-09,1.730295728918918e-08
1805,4.264316544322355e-08,5.685755422035754e-09
1806,6.051504897186533e-08,8.645007376628655e-09
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,3.852325747288887e-08,2.2660739951163578e-09
1809,4.518061036407062e-09,1.8072244145628247e-08
1810,0.0,1.6380887757350138e-08
1811,7.521229861140455e-09,8.524060746140094e-08
1812,0.0,1.600324850414836e-08
1813,7.764502640839055e-08,1.4378708002027452e-08
1814,2.8320094713762956e-08,1.5733386149463513e-08
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,6.952811659743929e-09
1817,4.3592454090912724e-08,0.0
1818,2.2650237241350624e-08,1.5497530370112145e-08
1819,1.9666995143552413e-08,1.7596784473994376e-08
1820,3.559944161679596e-08,1.779972080839798e-08
1821,4.141825016290568e-08,1.4792232327920374e-08
1822,9.023054303725075e-09,3.0076847679083585e-09
1823,1.087095569118901e-08,2.9648061783404955e-09
1824,3.2000230021367315e-08,0.0
1825,2.641632912414593e-09,1.4088708866211164e-08
1826,1.2331177856594877e-08,1.0569580766173203e-08
1827,1.013900075008678e-08,1.474763688946723e-08
1828,5.503380862137419e-09,0.0
1829,7.715858174606183e-09,1.3717081692732336e-08
1830,5.218418053232199e-08,3.1310507520032616e-09
1831,2.494592976631793e-08,1.4032085715598441e-08
1832,3.3824925083081325e-08,9.470978667991403e-09
1833,2.4325620628928846e-08,5.791814139399776e-09
1834,6.347480763224667e-08,9.334530925997342e-10
1835,2.4201881387853064e-08,1.8907719834260206e-08
1836,4.637317374545091e-08,1.4113575197427508e-08
1837,5.287997240088771e-08,6.262101948095733e-09
1838,2.209256599883247e-08,1.2624323808552163e-09
1839,4.1249702320556025e-08,1.2584655095793096e-08
1840,2.93005673057678e-08,8.280594876453051e-09
1841,3.0818632978935057e-08,1.2841097074556274e-09
1842,3.957876515414682e-08,1.475818312002275e-08
1843,2.008349753168659e-08,7.088293507706567e-09
1844,4.061535463506516e-08,5.488561161115513e-09
1845,3.348136701220028e-08,8.928364714222425e-09
1846,7.493761700061441e-08,1.6392604607062822e-08
1847,6.741529290366088e-08,1.6718992412734224e-08
1848,7.884317199113866e-08,6.43617736884039e-09
1849,3.6869426622843093e-08,1.0893239199560867e-08
1850,1.6972489191857676e-08,9.504594444820214e-09
1851,2.902247508984601e-08,2.7732586005413395e-08
1852,2.669323606596663e-08,8.463708844885787e-09
1853,4.120633079196523e-08,6.569124799682413e-09
1854,3.688921879074769e-08,6.234797567117312e-09
1855,1.539011762474729e-08,1.3798036491152743e-08
1856,2.5885945831305435e-08,1.9155599773057475e-08
1857,4.1980978693345605e-08,2.9289055625270066e-09
1858,2.838332058274773e-08,2.936205500958522e-09
1859,2.036869339860914e-08,4.073738679721828e-09
1860,4.027921818305913e-08,1.373155145145688e-09
1861,4.998921454557603e-08,4.715963730639317e-10
1862,3.930648162508987e-08,1.9879140111811466e-08
1863,3.5461809488879226e-08,7.491931519609807e-09
1864,3.404256787575832e-08,1.0068928801842958e-08
1865,5.977692296710302e-08,8.47231973466478e-09
1866,3.2113046444237625e-08,3.8924903300596725e-09
1867,4.755755256269367e-08,7.279217228983725e-09
1868,2.222943251695142e-08,1.2349684830326169e-08
1869,1.660396442559886e-08,9.278686263769487e-09
1870,3.096386436141074e-08,1.3761717099214366e-08
1871,5.416800519242315e-08,5.3105884134652115e-09
1872,5.07976487540418e-08,1.1489944995446422e-08
1873,3.352162636360845e-08,1.1373408881354408e-08
1874,4.241972462182275e-08,5.974609140757536e-10
1875,3.661777370211894e-08,4.005069165202713e-09
1876,6.227395488167531e-08,7.255217759905008e-09
1877,4.329371350308975e-08,1.0514186854493346e-08
1878,3.623453181944569e-08,7.2469061862534545e-09
1879,5.1929266220440695e-08,1.221865053580018e-09
1880,6.802917340564818e-08,5.134277003548959e-09
1881,5.020205406935929e-08,1.3945014920579979e-08
1882,2.1297232422057277e-08,1.3310770263785798e-08
1883,3.033282780506852e-08,5.687405213450347e-09
1884,3.300848305798354e-08,7.922036360241691e-09
1885,3.7384687345820566e-08,1.4824961702686323e-08
1886,4.904632433522238e-08,1.2261581083805595e-08
1887,5.3537181798901656e-08,1.3710741875172516e-08
1888,7.481925479169149e-08,5.706553452000662e-09
1889,3.00726554769426e-08,1.2530273707511697e-08
1890,3.6704562944578356e-08,3.2771931834929546e-09
1891,3.1233678754460925e-08,3.1871101313640793e-09
1892,3.823792482648969e-08,1.0656471260972467e-08
1893,2.586534897375259e-08,1.847525021858587e-09
1894,4.0960006941759275e-08,4.411077725308132e-09
1895,3.5509824414248214e-08,1.1435367319734269e-08
1896,2.299841384001411e-08,8.255840455717589e-09
1897,4.1952336715667116e-08,6.409385022720926e-09
1898,6.224190229886517e-08,6.224190496340043e-09
1899,5.1959236913035056e-08,4.9748205555033564e-09
1900,6.02162160134867e-08,7.786579381274805e-09
1901,5.86817598957623e-08,1.7883964531506535e-08
1902,5.892340482205327e-08,6.874397495693074e-09
1903,5.6702312178913417e-08,5.400220270956879e-09
1904,4.72967016662551e-08,1.0211787859759625e-08
1905,7.534708146295088e-08,7.741138396966107e-09
1906,5.24706820215215e-08,2.572092316910357e-09
1907,7.662836765121028e-08,3.599990305858114e-09
1908,6.532147267535038e-08,2.9468334439286537e-09
1909,4.8958753495753626e-08,7.701377313651392e-09
1910,4.1684376839157267e-08,8.550641084070776e-09
1911,6.224837534318794e-08,6.384448969498635e-09
1912,5.83455168623459e-08,5.2094213387476884e-09
1913,5.3560196278112926e-08,8.484783542428431e-09
1914,7.433385462718434e-08,8.705766774141921e-09
1915,4.830112487752558e-08,5.890381071793627e-09
1916,9.449217230894646e-08,1.4283700444650549e-08
1917,7.018511638534619e-08,4.386569774084137e-09
1918,7.236417332023848e-08,5.743188147278033e-09
1919,8.01082791213048e-08,9.207848372660976e-10
1920,9.313845339420368e-08,8.329454459499175e-09
1921,8.102839643697735e-08,4.543648568500203e-09
1922,1.0181550891275037e-07,7.377935595798135e-09
1923,9.978991499792755e-08,4.246379248229459e-09
1924,8.895220560134476e-08,1.1602462102189293e-08
1925,6.818870446068104e-08,5.499089184013428e-09
1926,8.025219955243301e-08,7.802296586589819e-09
1927,4.7941668412931904e-08,6.689535148041159e-09
1928,6.170062505361784e-08,1.2568645679778001e-08
1929,7.464072382390441e-08,1.2254447234738564e-08
1930,5.7769820926978355e-08,1.2604324695075775e-08
1931,6.158892773555635e-08,7.983749661377715e-09
1932,5.918149881267709e-08,6.575722188983946e-09
1933,6.194157720074145e-08,8.02946331646126e-09
1934,6.709684896577528e-08,0.0
1935,8.736847689760907e-08,5.98414207075848e-09
1936,9.093535879856063e-08,3.6374143697059935e-09
1937,8.310137644684801e-08,1.2591118148108649e-09
1938,6.871563584809337e-08,6.482607339819424e-09
1939,6.117620188206274e-08,3.058810094103137e-09
1940,4.057252667166722e-08,7.607348528892999e-09
1941,5.60785480274717e-08,5.9030051957620344e-09
1942,1.061974117533282e-07,0.0
1943,1.1322617154974068e-07,2.9032352077962287e-09
1944,8.675602458652065e-08,6.4263723231761105e-09
1945,1.0021118868053236e-07,4.357008087652048e-09
1946,9.744773166175946e-08,1.1136883415474585e-08
1947,9.775114051535638e-08,3.5762612871081956e-09
1948,6.958008214041911e-08,4.348755133776194e-09
1949,7.951776836989666e-08,1.2762110479513922e-08
1950,7.551106762093696e-08,6.381216888229346e-09
1951,7.036525317971609e-08,6.396841278899501e-09
1952,9.806667833345273e-08,3.1634410646574906e-09
1953,6.679773179030235e-08,3.232148326759443e-09
1954,6.743049851820615e-08,3.9090144454689835e-09
1955,5.0682281482750113e-08,0.0
1956,8.808353157974125e-08,1.744228317335228e-09
1957,1.0160293584249303e-07,4.417518795207798e-09
1958,1.04230267083949e-07,4.9633461784992505e-09
1959,8.21579249077331e-08,3.100299128533379e-09
1960,8.997083256190308e-08,4.152500121534786e-09
1961,8.893643865803824e-08,4.86371165564492e-09
1962,8.561641351434446e-08,2.5367825617905737e-09
1963,8.341208967976854e-08,3.2330267352165265e-09
1964,6.814044439806821e-08,4.258777774879263e-09
1965,1.0779925219139841e-07,1.3680108601477059e-08
1966,8.419393537906217e-08,1.0524241922382771e-08
1967,7.592716855242543e-08,3.451234853457663e-09
1968,5.88375463905777e-08,7.186265360559219e-09
1969,8.674757623339246e-08,6.8126366770115965e-09
1970,8.047769028962648e-08,6.438214850135182e-09
1971,8.529740114227025e-08,5.138397263237948e-09
1972,8.721249855625501e-08,3.0780880067027283e-09
1973,8.104409232601029e-08,3.859242703185828e-09
1974,6.694430254583494e-08,5.06301445213353e-09
1975,7.310694627449266e-08,2.8557400888473694e-09
1976,7.541855495674099e-08,2.856763492431469e-09
1977,5.5241748952994385e-08,3.526069214387917e-09
1978,6.653462492067774e-08,2.970295565063452e-09
1979,7.95868402292399e-08,5.851973128301324e-09
1980,6.48107203460313e-08,6.253665585376211e-09
1981,4.1116070548241623e-08,3.795329828193417e-09
1982,6.517877437772768e-08,2.483000915987077e-09
1983,7.452072736668924e-08,5.052252838311233e-09
1984,4.929157171318366e-08,3.479405208395292e-09
1985,5.173379946654677e-08,0.0
1986,5.095312616276715e-08,3.5966913891627428e-09
1987,6.049708645150531e-08,2.4443267410134695e-09
1988,5.636760747051994e-08,5.996553809062277e-10
1989,5.7625282323670035e-08,7.134558721588746e-09
1990,4.35892069106103e-08,1.6345953479657283e-09
1991,4.3374843272658836e-08,6.4476117778156095e-09
1992,5.4548447536717504e-08,1.65298330578878e-09
1993,5.428423222042511e-08,3.877445031719162e-09
1994,4.800183361908239e-08,1.0549853213248639e-09
1995,4.880205750623645e-08,6.506940763983948e-09
1996,5.5516160557544936e-08,5.338092190498855e-10
1997,6.041567246484192e-08,1.438468344439059e-09
1998,5.292623583841305e-08,1.9072516899143466e-09
1999,4.8901153348879234e-08,1.8280804647829996e-09
2000,4.1971297548570874e-08,2.2090156370779823e-09
2001,4.205963222148057e-08,7.0099388516098315e-09
2002,6.17752249354453e-08,3.504977197366088e-09
2003,4.750292248445476e-08,1.2500769308587678e-09
2004,4.713126600108808e-08,3.9643119897903034e-09
2005,3.873224585504431e-08,9.007499190971657e-10
2006,3.6237430833807593e-08,5.7650457740976435e-09
2007,4.913209750156966e-08,3.1955835755326234e-09
2008,3.9594187484226495e-08,1.2772318758180745e-09
2009,4.291373301157364e-08,4.76819250749827e-09
2010,3.495607003856094e-08,4.723793023408973e-10
2011,3.8622115283715175e-08,7.647943611743813e-09
2012,4.4595712012096556e-08,5.7872298064864935e-09
2013,3.0122549787847674e-08,3.904775169871755e-09
2014,2.2520630693634303e-08,2.3819897165822113e-09
2015,2.7263876489769245e-08,4.211493376260478e-09
2016,2.8584492994809807e-08,2.899876117012923e-09
2017,2.56592347369633e-08,3.2702947017071438e-09
2018,2.8654280725959325e-08,1.290733298020541e-09
2019,2.4999680547921344e-08,3.826481798085979e-09
