year,voudrait_VERB approcher_VERB,voudrait_VERB rapprocher_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,0.0,0.0
1802,1.1189200677108602e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,1.7549536934780008e-08,0.0
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,1.6842225392110777e-09,1.0947446504872005e-08
1825,0.0,0.0
1826,3.5231937367541377e-09,0.0
1827,4.608636583469661e-09,0.0
1828,0.0,0.0
1829,8.57317605795771e-10,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,2.3167257001688313e-09,5.791814139399776e-09
1834,1.8669061851994684e-09,9.334531370086552e-09
1835,7.563087933704082e-10,3.025235173481633e-09
1836,5.376600054063374e-09,2.016224964762614e-09
1837,2.7831563720326358e-09,8.349468672008697e-09
1838,1.009945904684173e-08,3.1560809521380406e-09
1839,2.0974426639952526e-09,6.9914751765765e-10
1840,0.0,0.0
1841,6.420548537278137e-10,4.494383976094696e-09
1842,0.0,6.708265054555795e-10
1843,0.0,4.134837805480629e-09
1844,1.6465684371524958e-09,4.9397050894128824e-09
1845,0.0,5.580227946389016e-10
1846,0.0,4.0981511517657054e-09
1847,1.6179670936367074e-09,1.6179670936367074e-09
1848,0.0,0.0
1849,8.379414939696517e-10,2.513824481908955e-09
1850,4.073397619208663e-09,0.0
1851,0.0,3.2247193804124663e-09
1852,6.510545436100301e-10,2.0833745395520964e-08
1853,5.971931837933653e-10,1.1943863675867306e-09
1854,3.63696517347023e-09,3.63696517347023e-09
1855,5.306937111981824e-10,2.653468555990912e-09
1856,1.0354378465748937e-09,5.177189343896771e-09
1857,9.763018171682347e-10,5.857811125054013e-09
1858,2.4468380654951716e-09,0.0
1859,5.601390462572908e-09,1.018434669930457e-08
1860,2.746310290291376e-09,3.204028820036342e-09
1861,7.073945429425521e-09,0.0
1862,0.0,7.680577063240435e-09
1863,1.9978483312144135e-09,1.9978483312144135e-09
1864,9.589455896019672e-10,6.233146443435089e-09
1865,4.706844358715045e-10,3.765475486972036e-09
1866,2.432806400776144e-09,5.352174259343201e-09
1867,9.7056229719783e-10,2.91168689159349e-09
1868,0.0,2.9639244392143382e-09
1869,3.4184632902167778e-09,1.904572499711321e-08
1870,6.880858549607183e-09,9.747882501187632e-09
1871,0.0,7.434824311758348e-09
1872,1.2094678591978436e-09,1.0280476914203973e-08
1873,0.0,1.0774807712721213e-08
1874,1.1949218281515073e-09,0.0
1875,1.716458086775674e-09,9.154443425529735e-09
1876,1.209202959984168e-09,1.209202959984168e-09
1877,7.421779191219002e-09,1.8554447978047506e-09
1878,3.0195443923020093e-09,1.2078177347163432e-09
1879,3.0546627449723474e-09,3.665595160740054e-09
1880,0.0,1.2835692508872398e-09
1881,0.0,6.972507571312292e-10
1882,6.655385131892899e-10,3.9932310791357395e-09
1883,1.8958017378167824e-09,3.159669414998234e-09
1884,6.601696966868076e-10,6.601696966868076e-09
1885,6.445635691854079e-10,7.7347630522695e-09
1886,0.0,6.453463874400711e-10
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,6.340614699951175e-10,0.0
1889,6.265136742733546e-10,3.759081934617825e-09
1890,0.0,3.9326319978272295e-09
1891,0.0,6.3742202627281586e-09
1892,6.268512375839919e-10,5.641661360300532e-09
1893,1.2316833108982905e-09,1.847525021858587e-09
1894,6.301539290376468e-10,7.561847148451761e-09
1895,6.018614495673091e-10,0.0
1896,1.179405795248556e-09,3.5382172747233653e-09
1897,0.0,5.826713556089658e-10
1898,5.6583548957434e-10,6.7900258748920805e-09
1899,0.0,4.9748205555033564e-09
1900,3.633737311048435e-09,5.19105292084987e-09
1901,1.1177477832191585e-09,6.147612641171918e-09
1902,0.0,3.928227076954727e-09
1903,4.860198465905796e-09,4.860198465905796e-09
1904,4.299700151477737e-09,2.1498500757388683e-09
1905,0.0,1.5482277682110634e-09
1906,5.144184522798412e-10,4.629765903985117e-09
1907,0.0,7.71426478252124e-09
1908,0.0,5.40252820258047e-09
1909,1.1001967115120692e-09,6.60118004702781e-09
1910,5.34415089958884e-09,5.344150677544235e-10
1911,2.128149656499545e-09,3.7242617878519013e-09
1912,1.0418842455450772e-09,5.730363294986773e-09
1913,1.590896969716482e-09,1.590896969716482e-09
1914,1.3393487430235496e-09,6.696743604095445e-09
1915,0.0,5.890381071793627e-09
1916,2.197492410260793e-09,0.0
1917,2.1932848870420685e-09,7.676496771580332e-09
1918,0.0,0.0
1919,0.0,2.762354567309444e-09
1920,1.514446346106979e-09,0.0
1921,7.572747429129834e-10,0.0
1922,7.377935484775833e-10,2.951174193910333e-09
1923,1.0615948120573648e-09,0.0
1924,3.867487219366694e-09,2.578324886925998e-09
1925,1.0998177923937646e-09,3.299453377181294e-09
1926,0.0,0.0
1927,0.0,5.574612327308159e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,2.2280812750352652e-09,6.684243825105796e-09
1930,1.0503603542488804e-09,8.402882833991043e-09
1931,0.0,6.843213995466613e-09
1932,0.0,6.575722188983946e-09
1933,0.0,9.176529758292418e-09
1934,2.3963160344919743e-09,3.5944740517379614e-09
1935,4.787313656606784e-09,1.196828414151696e-09
1936,1.2124714565686645e-09,3.6374143697059935e-09
1937,0.0,7.554670666820584e-09
1938,2.5930428915188486e-09,1.2965214457594243e-09
1939,0.0,3.058810094103137e-09
1940,0.0,7.607348528892999e-09
1941,0.0,2.9515025978810172e-09
1942,0.0,0.0
1943,2.9032352077962287e-09,0.0
1944,0.0,9.639558484764166e-09
1945,0.0,4.357008087652048e-09
1946,1.3921104269343232e-09,2.7842208538686464e-09
1947,0.0,7.152522574216391e-09
1948,5.435944139264848e-09,0.0
1949,0.0,1.9634016634739737e-09
