year,voulait_VERB aller_VERB
1800,2.421006684016902e-07
1801,2.5954889792956237e-07
1802,1.857407312400028e-07
1803,1.7553053055507917e-07
1804,2.546006498960196e-07
1805,1.6772978028711805e-07
1806,1.6425514104412287e-07
1807,2.5337899955957255e-07
1808,1.4729481279118772e-07
1809,2.9141494906070875e-07
1810,2.2465216886757844e-07
1811,2.281439890339243e-07
1812,3.3873544680318446e-07
1813,1.7542024011163448e-07
1814,1.7621391634747852e-07
1815,2.88602933551374e-07
1816,1.5527946573001827e-07
1817,3.42512151974006e-07
1818,3.027979005310044e-07
1819,3.364091298863059e-07
1820,4.34313221830962e-07
1821,3.540274349234096e-07
1822,3.899964440279291e-07
1823,4.832633635487582e-07
1824,4.17687203935202e-07
1825,5.327293024492974e-07
1826,4.536111930519837e-07
1827,4.3689874473784585e-07
1828,5.145661248207034e-07
1829,5.555418169933546e-07
1830,4.4043446223440696e-07
1831,5.36337495304906e-07
1832,6.088486088628997e-07
1833,4.96937673233333e-07
1834,4.993974016542779e-07
1835,4.825250243811752e-07
1836,5.101049396216695e-07
1837,4.710492191861704e-07
1838,5.081290055386489e-07
1839,5.488308261192287e-07
1840,5.509780862666958e-07
1841,4.455860675989243e-07
1842,4.836659286411304e-07
1843,4.5837629158995696e-07
1844,4.934216804031166e-07
1845,5.384919745665684e-07
1846,5.14025202846824e-07
1847,4.5303079332370544e-07
1848,4.1915603787856526e-07
1849,3.9550837982460507e-07
1850,4.636884227693372e-07
1851,3.9535058249384747e-07
1852,4.1146645912704116e-07
1853,4.4849207370134536e-07
1854,4.1825097696346347e-07
1855,4.410064775584033e-07
1856,4.3125984916514426e-07
1857,4.412884209159529e-07
1858,3.782811575092637e-07
1859,4.745905641811987e-07
1860,4.79688878840534e-07
1861,3.7208954495326907e-07
1862,4.5676841864406015e-07
1863,4.230443835240294e-07
1864,4.1474396539342706e-07
1865,4.424433655003668e-07
1866,4.004399443147122e-07
1867,4.721785558103875e-07
1868,4.1988928956016025e-07
1869,4.229127625876572e-07
1870,3.7787381756970717e-07
1871,3.483746127130871e-07
1872,3.876344578657154e-07
1873,3.501812670947402e-07
1874,4.7318903284576663e-07
1875,4.685930719006137e-07
1876,3.579240797080274e-07
1877,3.785107480780425e-07
1878,4.3300266838741663e-07
1879,4.032154663491383e-07
1880,3.8571255345232203e-07
1881,3.297996045148466e-07
1882,4.079751079189009e-07
1883,3.5893845051759854e-07
1884,4.106255460101238e-07
1885,3.815816285168694e-07
1886,3.381614988029469e-07
1887,3.349338442149019e-07
1888,3.233713528061344e-07
1889,3.3393178000551416e-07
1890,2.8970387688787014e-07
1891,3.0468771683445084e-07
1892,3.0527655781042995e-07
1893,3.325544923882262e-07
1894,3.705305005041737e-07
1895,3.2019028139984584e-07
1896,3.196189766185853e-07
1897,3.4785480806931446e-07
1898,3.366721159636654e-07
1899,2.691930660603248e-07
1900,2.9952377644804073e-07
1901,2.6378847906016745e-07
1902,2.1408837369563116e-07
1903,2.926919364654168e-07
1904,2.434705095311074e-07
1905,2.7558454007703403e-07
1906,2.957906133360666e-07
1907,2.746278369158972e-07
1908,2.416403503957554e-07
1909,3.1135567724049906e-07
1910,3.0354775049090676e-07
1911,3.6497766586762737e-07
1912,2.766202555903874e-07
1913,2.5878588871819375e-07
1914,2.524672311210452e-07
1915,2.120537203609274e-07
1916,1.9557683117454872e-07
1917,3.202195841822686e-07
