year,pouvait_VERB enseigner_VERB,pouvait_VERB renseigner_VERB
1800,3.772997558826319e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,2.305335300434308e-08,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,2.0331274441787173e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,7.734903562095496e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,9.270415546325239e-09,0.0
1817,1.8682481339737933e-08,0.0
1818,2.1458118837358597e-08,0.0
1819,7.24573512300708e-09,0.0
1820,2.0173018810965004e-08,0.0
1821,6.903041693817613e-09,0.0
1822,3.0076847679083585e-08,0.0
1823,1.087095569118901e-08,0.0
1824,8.421112696055388e-09,0.0
1825,8.805443485471187e-09,0.0
1826,2.2019960965735663e-08,0.0
1827,1.8434546333878643e-08,0.0
1828,1.9261833017480967e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,6.764984572527055e-09,0.0
1833,1.853380560135065e-08,0.0
1834,1.6802156110884425e-08,0.0
1835,1.9664028627630614e-08,0.0
1836,9.409050427677812e-09,0.0
1837,2.5048407792382932e-08,0.0
1838,1.3886756633496589e-08,0.0
1839,4.4046291947097416e-08,0.0
1840,1.8472096741106725e-08,0.0
1841,2.8250413564023802e-08,6.420548537278137e-10
1842,1.341653010911159e-08,0.0
1843,2.3036953678001737e-08,5.906910960362666e-09
1844,5.762989374602512e-08,0.0
1845,4.9664027557128065e-08,0.0
1846,3.102885770545072e-08,3.5127007969038004e-09
1847,2.3730184040005042e-08,5.393223645455691e-10
1848,2.494018680465615e-08,0.0
1849,4.022119171054328e-08,8.379414939696517e-10
1850,4.1412874907109654e-08,0.0
1851,2.7087642351375507e-08,0.0
1852,2.018269107395554e-08,0.0
1853,3.4040009921909586e-08,0.0
1854,2.4419623656513068e-08,0.0
1855,2.0697054736729115e-08,0.0
1856,2.5368226630462232e-08,1.5531567143511893e-09
1857,3.417056504417815e-08,2.9289055625270066e-09
1858,2.0553439838977283e-08,1.468102750479261e-09
1859,3.564521477983362e-08,3.5645213447565993e-09
1860,4.073693560258107e-08,0.0
1861,3.914249901981748e-08,7.545541969022906e-09
1862,2.3493528900075944e-08,3.162590411776023e-09
1863,3.2465035104678464e-08,5.9935452156878455e-09
1864,5.178306139441702e-08,4.315255264231155e-09
1865,5.036323358353911e-08,7.0602665935837194e-09
1866,2.8220554781910323e-08,5.838735717134114e-09
1867,2.3778776281346836e-08,0.0
1868,3.359114231216154e-08,8.397785578040384e-09
1869,4.444002499326416e-08,9.767038289254515e-10
1870,6.135432073506308e-08,6.880858549607183e-09
1871,2.7615060460561835e-08,1.0621177271019633e-09
1872,2.9027228620748247e-08,3.628403577593531e-09
1873,3.23244258026989e-08,2.9930022904522957e-09
1874,1.3144139998644278e-08,3.0470506118263074e-08
1875,2.4030413214859436e-08,4.005069165202713e-09
1876,1.209202959984168e-08,1.209202959984168e-09
1877,3.7727378554563984e-08,1.8554447978047506e-09
1878,1.5701630218245555e-08,4.831270938865373e-09
1879,1.8938909107646396e-08,8.55305515301552e-09
1880,4.4924924225142604e-08,1.9253538763308597e-09
1881,1.8128519130300447e-08,2.091752326904839e-09
1882,2.1297232422057277e-08,0.0
1883,2.5277355319985872e-08,7.58320695126713e-09
1884,3.1688145440966764e-08,3.9610181801208455e-09
1885,1.5469526104539e-08,1.2891271383708158e-09
1886,2.3877817056927597e-08,7.744156427236248e-09
1887,1.9586773092328258e-08,1.3057849246322917e-09
1888,3.043495055976564e-08,4.4384300679212174e-09
1889,2.944614330147033e-08,3.132568426877924e-09
1890,3.0150179242127706e-08,4.5880703680722945e-09
1891,2.2309770031370135e-08,5.736798147637501e-09
1892,3.13425623232888e-08,1.191017329205124e-08
1893,2.586534897375259e-08,6.774258043407144e-09
1894,2.5836310868498913e-08,3.150769645188234e-09
1895,2.8287487907618925e-08,1.0833506536300774e-08
1896,2.5946928161602045e-08,8.845543852942228e-09
1897,1.981082675683865e-08,6.992056267307589e-09
