year,doivent_VERB apporter_VERB,doivent_VERB rapporter_VERB
1800,1.1947824418712116e-07,1.3834323908668011e-07
1801,2.5478652787569445e-07,9.048493865293494e-08
1802,2.304975339484372e-07,1.432217686669901e-07
1803,2.0088494068204454e-07,1.014176405078615e-07
1804,1.97748079244775e-07,1.408955085935304e-07
1805,1.194008660831969e-07,9.381496113292087e-08
1806,1.6425514104412287e-07,1.0950342499427279e-07
1807,1.8505208743135881e-07,1.537355700520493e-07
1808,1.5635910699529632e-07,1.3369836437959748e-07
1809,1.6716825257390155e-07,1.4457795316502597e-07
1810,7.722418615685456e-08,1.0296557917399696e-07
1811,1.1532553401139012e-07,1.353821517113829e-07
1812,2.1604387256957125e-07,1.226915742336132e-07
1813,1.322841143291953e-07,1.2653262615458516e-07
1814,1.5733385794192145e-07,8.181360300341112e-08
1815,1.9150287755564932e-07,1.0519171667056071e-07
1816,1.7613788827475219e-07,8.1116134253989e-08
1817,1.9149543106777855e-07,2.6466848268569265e-08
1818,1.3947777688372298e-07,8.344824209416402e-08
1819,1.656167967212241e-07,5.175525075173937e-08
1820,1.4714436247231788e-07,1.293446416639199e-07
1821,1.9032673037600034e-07,7.198886464721e-08
1822,1.965020715033461e-07,6.616906489398389e-08
1823,1.4922856905741355e-07,1.096978223813494e-07
1824,1.3052724057160958e-07,6.905312233129735e-08
1825,1.5409524678489106e-07,9.68598712347557e-08
1826,2.3869637288953527e-07,1.3300056878051691e-07
1827,1.4839810091871186e-07,1.2258972503786936e-07
1828,1.7977710342620412e-07,1.2566052021156793e-07
1829,1.4402935732960032e-07,8.744639501401252e-08
1830,1.7220779113813478e-07,1.0019362406410437e-07
1831,1.3096612860863388e-07,6.860130952190957e-08
1832,1.461236678323985e-07,8.929779937716376e-08
1833,2.085053125711056e-07,5.09679658478035e-08
1834,1.7735608537350345e-07,7.000897994657862e-08
1835,1.7168210320051003e-07,8.168134968400409e-08
1836,1.7608364544230426e-07,9.879502727017098e-08
1837,1.8368831433690502e-07,6.331680424409569e-08
1838,1.7800296348013944e-07,9.02639172295494e-08
1839,2.2442635838615388e-07,5.383435919270596e-08
1840,2.0191913563394337e-07,8.280595409360103e-08
1841,1.7463892731939268e-07,8.539329598988843e-08
1842,1.7575653998846974e-07,7.043678351692506e-08
1843,1.5830521249426965e-07,7.029224491361674e-08
1844,1.8661108924789005e-07,7.848642269436823e-08
1845,1.729870717781523e-07,7.254296008341043e-08
1846,1.984675890298604e-07,6.030136034951283e-08
1847,2.0386384846915462e-07,7.604445073638999e-08
1848,1.2791902292974555e-07,6.194820656446609e-08
1849,2.2289243872819497e-07,4.357295679824347e-08
1850,1.4189001262820966e-07,5.702756666892128e-08
1851,1.9090339264948852e-07,8.513259075471069e-08
1852,1.6992522944292432e-07,6.77096707590863e-08
1853,1.3974320722809352e-07,5.3747385209135246e-08
1854,1.408025127602741e-07,7.118060096900081e-08
1855,1.719447624282111e-07,7.960405667972736e-08
1856,1.4289042837845045e-07,9.577799886528737e-08
1857,1.0153539165003167e-07,6.59003731584562e-08
1858,1.2478874111820915e-07,7.04689355757182e-08
1859,1.4869145559259778e-07,7.587338046732839e-08
1860,9.337455253444205e-08,6.087654469411063e-08
1861,1.6600192509486078e-07,6.885306902404409e-08
1862,1.3734678816490486e-07,3.5240294238292336e-08
1863,1.408483143450212e-07,4.545104914654985e-08
1864,1.8124072198588692e-07,6.041356925834407e-08
1865,1.0402126093822517e-07,7.248540612181387e-08
1866,1.5278024534381984e-07,3.941146431429843e-08
1867,1.1161466773046413e-07,5.677789260971622e-08
1868,1.432563436765122e-07,5.532658775564414e-08
1869,1.2013457251214277e-07,4.5905078849273195e-08
1870,1.2156183970546408e-07,5.5620272831902184e-08
1871,1.2426777118434984e-07,8.072094459521395e-08
1872,1.1550417866601492e-07,6.22875973022019e-08
1873,1.292977032107956e-07,8.739566226267925e-08
1874,1.171023384927139e-07,6.034355237716227e-08
1875,1.172913073332893e-07,5.549881265665135e-08
1876,1.2575711139106716e-07,6.892457093954363e-08
1877,9.957553714912137e-08,5.44263798474276e-08
1878,1.2138568195041444e-07,6.824170384334138e-08
1879,1.3440515544971277e-07,5.070739916845923e-08
1880,1.007601895253174e-07,3.529815373326528e-08
1881,8.576184029607248e-08,2.370652651961791e-08
1882,1.2379015856822662e-07,5.124646662579835e-08
1883,9.226234709558412e-08,4.423537092179686e-08
1884,1.287330917421059e-07,4.4891539374702916e-08
1885,1.1537687782947614e-07,4.3185760745245716e-08
1886,9.16391869054678e-08,5.808117364836107e-08
1887,1.0315700649243809e-07,4.83140425444617e-08
1888,1.32518849227381e-07,6.02358412038484e-08
1889,1.2404970561874507e-07,4.1976417008982025e-08
1890,1.2060071696851082e-07,5.89894781910516e-08
1891,1.3258377862257475e-07,5.8005401371019616e-08
