year,peut_VERB entrer_VERB,peut_VERB rentrer_VERB
1800,2.0374186533445027e-06,1.7292904885835014e-07
1801,1.609679429748212e-06,1.166779455274991e-07
1802,1.7477531173426541e-06,2.7973001692771504e-07
1803,1.928885467350483e-06,1.3067273130218382e-07
1804,1.8934377976620453e-06,2.0516363008482585e-07
1805,1.6943550917858374e-06,2.8144489760961733e-07
1806,1.6454330307169585e-06,1.4120178093435243e-07
1807,1.6654687442496652e-06,1.224190668835945e-07
1808,1.7358127024635905e-06,2.1074488643080258e-07
1809,1.7417124809071538e-06,1.423189246452239e-07
1810,1.668510435592907e-06,1.263668423234776e-07
1811,1.7348970686725806e-06,1.504246114336638e-07
1812,1.634998625377193e-06,2.427159415674396e-07
1813,1.5759063671794138e-06,1.00650957790549e-07
1814,1.290137674914149e-06,1.4474714760126517e-07
1815,1.2488145557654207e-06,1.294667271167782e-07
1816,1.731250108605309e-06,2.201723674488676e-07
1817,1.528849679743871e-06,2.7556660597838345e-07
1818,1.2612605360118323e-06,1.3470931037318223e-07
1819,1.8197146118836827e-06,1.2524770909294602e-07
1820,1.2685268302448094e-06,2.1003671690777992e-07
1821,1.4604863736167317e-06,1.203101618330038e-07
1822,1.524896219962102e-06,1.8948414037822658e-07
1823,1.3035263464189484e-06,1.4329896202980308e-07
1824,1.4029574231244624e-06,1.8779081756292726e-07
1825,1.4106319667916978e-06,1.5057307223287353e-07
1826,1.0921900184257538e-06,1.4268934478423034e-07
1827,1.6056490039773053e-06,1.843454668915001e-07
1828,1.4739888456460903e-06,1.5409466413984774e-07
1829,1.4951618823033641e-06,2.357623429816158e-07
1830,1.4695065146952402e-06,2.160425083275186e-07
1831,1.5450884802703513e-06,1.7150327380477393e-07
1832,1.359761881758459e-06,1.4747666909897816e-07
1833,1.459537202208594e-06,1.9460496503143077e-07
1834,1.4524530342896469e-06,2.0629313723929954e-07
1835,1.6464842929053702e-06,1.7848887523541634e-07
1836,1.5578698366880417e-06,2.157360796672947e-07
1837,1.4402834267457365e-06,2.3587250552736805e-07
1838,1.3747888942816644e-06,2.0451405191579397e-07
1839,1.3332743264982128e-06,2.0904511188746255e-07
1840,1.3669351801581797e-06,1.745294753163762e-07
1841,1.4542542885465082e-06,2.073837208627083e-07
1842,1.4496561107080197e-06,2.743680340699939e-07
1843,1.3952123936178396e-06,1.6066798025349271e-07
1844,1.3704938055525417e-06,2.832097720784077e-07
1845,1.393940920024761e-06,2.2711527947194554e-07
1846,1.6480421436426695e-06,2.2071469629736384e-07
1847,1.3515418686438352e-06,1.952346906364255e-07
1848,1.2904536106361775e-06,1.8664914591681736e-07
1849,1.2284222066227812e-06,2.639515628288791e-07
1850,1.226771587425901e-06,3.021103225364641e-07
1851,1.2666697557506268e-06,2.5604271058909944e-07
1852,1.3398702094491455e-06,1.8164421078381565e-07
1853,1.3657808040079544e-06,2.0364286967833323e-07
1854,1.4662165312984143e-06,1.5483080062494992e-07
1855,1.4302195268101059e-06,1.8998835571437667e-07
1856,1.3843804254065617e-06,1.775775899659493e-07
1857,1.264310867554741e-06,2.0599968308943062e-07
1858,1.1925887974939542e-06,1.986832529610183e-07
1859,1.1936053851968609e-06,1.7669842122813861e-07
1860,1.2788651702067e-06,1.9956522123720788e-07
1861,1.1455075537014636e-06,2.7965666049567517e-07
1862,1.302083660448261e-06,2.1686334150672337e-07
1863,1.3410557357929065e-06,2.2975255831170216e-07
1864,1.2437524219421903e-06,1.6637706323763268e-07
1865,1.247784439328825e-06,2.4616795712972817e-07
1866,1.3224736221673083e-06,2.238181906477621e-07
1867,1.2563929203679436e-06,1.4849602791855432e-07
1868,1.1984134289377835e-06,2.0055888683145895e-07
1869,1.2789936363333254e-06,2.0852627358181053e-07
1870,1.2941748082084814e-06,1.9839808373944834e-07
1871,1.386063672725868e-06,2.814612116708304e-07
1872,1.2384950878185919e-06,2.551977047460241e-07
1873,1.2654413694690447e-06,1.8496753284580336e-07
1874,1.2427186675267876e-06,2.3181483754797227e-07
1875,1.2038093473165645e-06,2.2657248166524369e-07
1876,1.0562388297330472e-06,2.110059114102114e-07
1877,1.1881031696248101e-06,2.3564149387311772e-07
1878,1.2337858379396494e-06,1.7815311537106027e-07
1879,1.1595499245231622e-06,2.1749197287590505e-07
1880,1.1924358886972186e-06,2.098635718539299e-07
1881,1.1797483239206485e-06,2.3776250657192577e-07
1882,1.1314155017316807e-06,1.9566832065720519e-07
1883,1.1848760550492443e-06,1.9147597640767344e-07
1884,1.2028291394017288e-06,1.617415819055168e-07
1885,1.1344318409101106e-06,2.0497121511198202e-07
1886,1.0738564242274151e-06,2.071561908678632e-07
1887,1.1157932249261648e-06,2.1023137719566876e-07
1888,1.177452190859185e-06,2.3523681136339292e-07
1889,1.1032906286345678e-06,2.449668556891993e-07
1890,1.1817559197879746e-06,2.595537011984561e-07
1891,1.2499845070124138e-06,1.7975300181660714e-07
1892,1.061259126799996e-06,2.1751738188413583e-07
1893,1.1688674703691504e-06,2.1061784138964867e-07
1894,1.080714014278783e-06,2.1677294625987997e-07
1895,1.1507590897963382e-06,2.2569804514205316e-07
1896,1.0667725973689812e-06,2.3293264916901535e-07
1897,1.1041622656193795e-06,2.540447212595609e-07
1898,1.0750874253062648e-06,2.2293917822935327e-07
1899,1.09888253518875e-06,2.166810730841462e-07
1900,1.1633150052148267e-06,2.0504660369624617e-07
1901,1.0836564570126939e-06,2.1516645176689053e-07
1902,1.3503280342774815e-06,2.774310416953085e-07
1903,1.1518669680299354e-06,1.8360748299528495e-07
1904,1.0217162298431504e-06,1.7037561406141322e-07
1905,1.1725244348781416e-06,2.0488212726377242e-07
1906,1.0046592251455877e-06,2.0010877221920964e-07
1907,1.090282808036136e-06,2.036565973639881e-07
1908,1.0667537253539194e-06,2.1069858746614045e-07
1909,1.0666407206372241e-06,2.1618865275740973e-07
1910,1.0912755215031211e-06,2.468997593041422e-07
1911,1.0853563026103075e-06,2.372886882540115e-07
1912,9.267560585612955e-07,2.490103270247346e-07
1913,1.053704067999206e-06,2.184831799922904e-07
1914,1.0004935120377922e-06,2.2835895663320116e-07
1915,9.130090461439977e-07,1.8613603458561556e-07
1916,9.416255011274188e-07,1.9008309948276292e-07
1917,1.000137899609399e-06,2.1055535626146593e-07
1918,9.625583743400057e-07,1.458769816053973e-07
1919,9.677448815637035e-07,2.1914678427492618e-07
1920,1.069956397259375e-06,2.14294161082762e-07
1921,9.882435278996127e-07,2.1960967444556445e-07
1922,9.83478798843862e-07,1.9920425131658703e-07
1923,1.0116998510056874e-06,1.9214866142647224e-07
1924,9.59136855271936e-07,2.333383974928438e-07
1925,1.0855201253434643e-06,2.1446446396566898e-07
1926,9.741725079948083e-07,1.749943692175293e-07
