year,devaient_VERB approcher_VERB,devaient_VERB rapprocher_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,3.131650672116848e-08
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.401186100480345e-08
1818,0.0,1.1921177378582115e-09
1819,0.0,1.035105001712111e-09
1820,3.5599443393152796e-09,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,0.0,3.9530747564242574e-09
1824,8.421112696055388e-10,2.7789671008804362e-08
1825,8.805443041381977e-10,0.0
1826,0.0,6.1655889282974385e-09
1827,1.8434546111834038e-09,4.608636583469661e-09
1828,5.503380862137419e-09,0.0
1829,6.858540846366168e-09,0.0
1830,1.0436835840010872e-09,1.1480519646056564e-08
1831,1.5591206103948707e-09,0.0
1832,0.0,2.705993873419743e-09
1833,1.1583628278799551e-08,1.7375443306377747e-08
1834,0.0,0.0
1835,5.294161553592858e-09,2.2689263801112247e-09
1836,3.36037508930076e-09,1.3441500135158435e-09
1837,2.7831563720326358e-09,1.1132625488130543e-08
1838,0.0,6.312161904276081e-10
1839,1.0487212875887053e-08,1.3982950353153e-09
1840,3.821813088222825e-09,3.1848443882154243e-09
1841,1.0272877659645019e-08,6.420548537278137e-10
1842,1.0733224087289273e-08,2.0124795163667386e-09
1843,3.5441467538532834e-09,0.0
1844,4.9397050894128824e-09,3.841992946007622e-09
1845,1.0602432709561072e-08,0.0
1846,3.5127007969038004e-09,7.610851504580296e-09
1847,2.1572894581822766e-09,5.3932236454556914e-09
1848,8.04522137798358e-09,8.045221711050488e-10
1849,2.513824481908955e-09,2.513824481908955e-09
1850,6.1100964288129944e-09,6.1100964288129944e-09
1851,5.159551008659946e-09,0.0
1852,1.3021090872200602e-09,1.9531636308300904e-09
1853,3.5831591027601917e-09,1.4929829816878737e-08
1854,2.5978321716024766e-09,3.63696517347023e-09
1855,1.0613874223963649e-09,2.1227748447927297e-09
1856,4.141751386299575e-09,4.141751386299575e-09
1857,3.905207268672939e-09,4.393358121745905e-09
1858,0.0,3.4255731584664773e-09
1859,7.638259802433822e-09,8.147477359443656e-09
1860,5.950338888283113e-09,4.119465657481669e-09
1861,3.3011746669586728e-09,9.431927239234028e-09
1862,1.0843167252971853e-08,1.355395884417021e-08
1863,3.496234635136375e-09,0.0
1864,5.274200631788517e-09,7.671564716815737e-09
1865,5.6482134525026595e-09,2.8241067262513297e-09
1866,3.4059290943133647e-09,9.731225825149181e-10
1867,1.455843445796745e-09,1.8925964795357686e-08
1868,3.457911734727759e-09,6.915823469455518e-09
1869,1.953407657850903e-09,6.8369265804335555e-09
1870,1.1468097582678638e-09,9.17447806614291e-09
1871,8.496941816815706e-09,7.434824311758348e-09
1872,7.861540751719076e-09,4.23313739617015e-09
1873,4.788803575905831e-09,1.7958012854535355e-09
1874,1.1949218281515073e-09,7.169530746864439e-09
1875,1.1443054281912168e-09,6.293679799540541e-09
1876,6.04601479992084e-09,1.209202959984168e-09
1877,2.4739263970730008e-09,3.0924081073635534e-09
1878,1.3285995414946683e-08,6.6429977074733415e-09
1879,1.2829582729523281e-08,4.27652757650776e-09
1880,7.059631101924424e-09,6.417846254436199e-10
1881,6.972507571312292e-10,7.669758161910067e-09
1882,7.320923423037584e-09,9.983077475794744e-09
1883,1.2638677882037541e-09,1.2638677659992936e-08
1884,6.601696966868076e-09,4.621187876807653e-09
1885,6.445635580831777e-09,1.933690763067375e-09
1886,0.0,5.162771099520569e-09
1887,7.1818169189441505e-09,7.834709769838355e-09
1888,3.1703073499755874e-09,1.9021844099853524e-09
1889,6.265136853755848e-09,1.0650732740202784e-08
1890,2.6217545912032847e-09,6.554386366985909e-09
1891,2.5496880162734215e-09,7.0116419337296065e-09
1892,1.3163876211308434e-08,3.761107425503951e-09
1893,3.079208221734575e-09,6.158416554491453e-10
1894,2.142523314319078e-08,0.0
1895,1.1435367319734269e-08,3.0093072478365457e-09
1896,3.5382172747233653e-09,3.5382172747233653e-09
1897,5.2440420894583895e-09,4.661370844871726e-09
1898,7.921697076085366e-09,6.7900258748920805e-09
1899,5.527578395003729e-09,0.0
1900,1.038210628578895e-09,3.114631885736685e-09
1901,2.794369402536745e-09,3.912117296778206e-09
1902,4.910283846193408e-10,6.38336894454028e-09
1903,1.0800440541913758e-09,1.0260418292773466e-08
1904,0.0,5.374625189347171e-09
1905,3.096455536422127e-09,3.096455536422127e-09
1906,7.201858220895474e-09,3.600929110447737e-09
1907,2.5714217422034835e-09,2.057137349353866e-09
1908,2.4556945366072114e-09,4.4202499438483756e-09
1909,3.300590023513905e-09,2.7504918342913243e-09
1910,4.809735720812114e-09,1.068830135508847e-09
1911,3.1922244847493175e-09,6.916486494645824e-09
1912,1.0418842455450772e-09,7.814131564032323e-09
1913,3.71209285532359e-09,8.484783542428431e-09
1914,9.37544086809794e-09,6.027069510139427e-09
1915,4.712304768617059e-09,1.5314990164938536e-08
1916,7.69122365795738e-09,1.9777431248257926e-08
1917,6.57985488317081e-09,9.869782324756216e-09
1918,6.89182577673364e-09,9.189101035644853e-09
1919,1.8415696745321952e-09,9.207848705727883e-09
1920,3.028892692213958e-09,3.028892692213958e-08
1921,7.572747429129834e-10,2.2718242842501013e-09
1922,1.4755870969551665e-09,2.2133805899215986e-09
1923,0.0,0.0
1924,3.867487219366694e-09,1.0313299547703991e-08
1925,3.299453377181294e-09,7.698724324711748e-09
1926,2.229227691330493e-09,3.343841648018042e-09
1927,5.574612327308159e-09,2.2298449753321847e-09
1928,1.1426041224282812e-09,4.570416489713125e-09
1929,0.0,0.0
1930,0.0,3.1510811737689437e-09
1931,7.983749661377715e-09,5.7026783295555106e-09
1932,0.0,8.767629289252454e-09
1933,0.0,3.4411986593596566e-09
1934,3.5944740517379614e-09,3.5944740517379614e-09
1935,2.393656828303392e-09,9.574627313213568e-09
1936,1.2124714565686645e-09,1.091224355320719e-08
1937,2.5182236296217297e-09,2.5182236296217297e-09
1938,0.0,1.2965214457594243e-09
1939,1.5294050470515685e-09,9.176430282309411e-09
1940,0.0,5.0715658339584024e-09
1941,5.9030051957620344e-09,8.854508237732261e-09
1942,0.0,6.068423541449874e-09
1943,0.0,0.0
1944,6.4263723231761105e-09,6.4263723231761105e-09
1945,6.535512131478072e-09,6.535512131478072e-09
1946,0.0,0.0
1947,4.7683483828109274e-09,5.960435700558264e-09
1948,2.174377566888097e-09,4.348755133776194e-09
1949,9.817008317369869e-10,2.945102384188658e-09
1950,5.317680518146517e-09,5.317680518146517e-09
1951,0.0,3.1984206394497505e-09
1952,1.0544803918932644e-09,1.0544803918932644e-09
1953,0.0,5.386913581872932e-09
1954,0.0,9.772536113672459e-10
1955,8.447047505910632e-09,9.385607846468247e-10
1956,1.744228317335228e-09,3.488456634670456e-09
1957,4.417518795207798e-09,7.068030161150318e-09
1958,2.4816730892496253e-09,3.3088973783179654e-09
1959,5.425523585955716e-09,3.100299128533379e-09
1960,3.460416619915918e-09,2.7683333403416555e-09
1961,5.55852741612739e-09,5.55852741612739e-09
1962,1.9025869768540815e-09,6.341956293454132e-09
1963,5.819448034571906e-09,5.819448034571906e-09
1964,1.2167936658258327e-09,5.475571551727398e-09
1965,3.2832261354087677e-09,1.6416130677043839e-09
1966,7.200797291773142e-09,4.985167390003653e-09
1967,7.888536934785861e-09,2.9582012395223956e-09
1968,4.042274071025531e-09,1.7965663401398047e-09
1969,4.995933444718048e-09,3.6334062425424918e-09
1970,3.6789800095249348e-09,3.219107425067591e-09
1971,2.0553589941130213e-09,2.569198631618974e-09
1972,2.565073486948677e-09,3.0780880067027283e-09
1973,1.102640756478479e-09,5.513203782392395e-10
1974,2.812785782069227e-09,1.6876715580593782e-09
1975,2.8557400888473694e-09,3.998036124386317e-09
1976,2.856763492431469e-09,1.0284348483935446e-08
1977,2.938390863960194e-09,1.1753563677885381e-09
1978,4.752473081737207e-09,1.7821774056514528e-09
1979,5.266775904289034e-09,4.681578680276743e-09
1980,3.97960553399912e-09,1.1370301367108482e-09
1981,3.1627747087981106e-09,1.8976649140967083e-09
1982,5.586751949948621e-09,2.483000915987077e-09
1983,3.78918940668882e-09,7.57837881337764e-09
1984,4.059305780401701e-09,1.739702604197646e-09
1985,3.609334831011779e-09,2.4062232206745193e-09
1986,2.997242676272549e-09,1.1988970927134801e-09
1987,3.6664902225425067e-09,4.277571630240118e-09
1988,4.197587610832443e-09,1.1993107618124554e-09
1989,5.488122178931576e-10,4.939309850016116e-09
1990,3.814055737905164e-09,0.0
1991,2.9307325455363298e-09,0.0
1992,2.2039776670368383e-09,5.509944167592096e-10
1993,2.7696036575264316e-09,1.661762283333701e-09
1994,2.637463358823311e-09,1.0549853213248639e-09
1995,4.337960657352369e-09,3.795715741716776e-09
1996,3.736664311304594e-09,2.6690460952494277e-09
1997,5.753873377756236e-09,3.835915585170824e-09
1998,3.814503379828693e-09,2.86087753487152e-09
1999,3.1991407301035224e-09,4.570201161957499e-10
2000,2.2090156370779823e-09,3.5344251969604557e-09
2001,2.190605918883648e-09,1.7524847129024579e-09
2002,4.81934359086722e-09,1.3143663935011318e-09
2003,3.333538334260311e-09,1.2500769308587678e-09
2004,3.9643119897903034e-09,2.2023955992267474e-09
2005,2.251874686720612e-09,4.053374524914943e-09
2006,1.6471559671771274e-09,3.706100981659688e-09
2007,6.391167151065247e-09,1.997239706952314e-09
2008,5.5346713878634546e-09,1.2772318758180745e-09
2009,4.76819250749827e-09,1.907277002999308e-09
2010,5.196172381261022e-09,9.447586046817946e-10
2011,8.412738061736036e-09,3.82397197240536e-10
2012,1.2255309655984092e-08,1.7021263287730903e-09
2013,1.1435412616833673e-08,2.789125042035323e-10
2014,1.2343037703033133e-08,6.496335691608124e-10
2015,8.201329393386914e-09,6.649726325136385e-10
2016,9.528164035543796e-09,2.0713399884186856e-09
2017,1.1320251402935355e-08,2.515611330355938e-10
2018,1.0067719991013746e-08,2.5814667070633845e-10
2019,1.1224345897176136e-08,1.02039510174734e-09
