year,doit_VERB éveiller_VERB,doit_VERB réveiller_VERB
1800,4.7162465932615305e-08,8.803660733747165e-08
1801,2.6193008650921e-08,6.667310969987739e-08
1802,1.5664880947952042e-08,4.699464284385613e-08
1803,4.6808139586573816e-08,4.8758479920252285e-08
1804,1.4831105232815389e-08,1.1123329102247226e-07
1805,1.9900143755080535e-08,4.264316544322355e-08
1806,1.729001475325731e-08,4.8988376022407465e-08
1807,2.2775640928784924e-08,3.701041606518629e-08
1808,1.8128591960930862e-08,9.290903335568146e-08
1809,1.3554183553310395e-08,9.03612189517844e-08
1810,2.3401266702194334e-08,3.7442028144596406e-08
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,4.000812481308458e-08,1.3336041604361526e-08
1813,5.7514832008109806e-08,2.8757416004054903e-08
1814,6.293354282149721e-09,6.922689976818219e-08
1815,3.776112933451259e-08,7.012781111370714e-08
1816,6.489290882427667e-08,4.8669683394564345e-08
1817,2.0239355080775567e-08,3.580808893843823e-08
1818,2.026600220972341e-08,2.741870730460505e-08
1819,4.243930362690662e-08,2.6912729822470283e-08
1820,1.779972080839798e-08,5.458581142647745e-08
1821,6.607196922914227e-08,4.043210211079895e-08
1822,2.8071724500478012e-08,3.5089655625597516e-08
1823,2.174191138237802e-08,1.3835761869529506e-08
1824,2.947389532437228e-08,8.084268188213173e-08
1825,1.3208164340028361e-08,2.993850500843109e-08
1826,4.844391554570393e-08,3.170874407487645e-08
1827,4.7929820112813104e-08,6.820781806027298e-08
1828,1.559291185060374e-08,3.66892045633449e-08
1829,6.687077558353849e-08,3.772197487705853e-08
1830,5.322786122974321e-08,2.817945699007396e-08
1831,4.365537620287796e-08,1.4032085715598441e-08
1832,4.329590197471589e-08,5.547287429408243e-08
1833,7.29768601104297e-08,2.7800709290204395e-08
1834,4.0138484536100805e-08,3.640467127752345e-08
1835,6.655517381659593e-08,3.554651328840919e-08
1836,6.922372364215335e-08,2.6210924986003192e-08
1837,4.731365876864402e-08,4.5226290268374214e-08
1838,3.5348108440302894e-08,2.5248647617104325e-08
1839,7.900366938429215e-08,1.3283802502428443e-08
1840,7.707323135264232e-08,4.0129037870428874e-08
1841,4.4301785351308354e-08,5.008027770259105e-08
1842,6.574099842282521e-08,2.1466448174578545e-08
1843,6.3794637128467e-08,3.603215859016018e-08
1844,7.629100196027139e-08,3.3480223038395707e-08
1845,7.477505192809986e-08,1.9530798311961917e-08
1846,9.659927258098833e-08,2.86870562860031e-08
1847,9.060615724365562e-08,2.6426796750911308e-08
1848,4.263967667839097e-08,1.850401076808339e-08
