year,devaient_VERB avoir_VERB
1800,6.759953521395801e-07
1801,8.453197892777098e-07
1802,5.28130271959526e-07
1803,6.065554885026359e-07
1804,9.096411304199137e-07
1805,8.471775458929187e-07
1806,7.06008961515181e-07
1807,1.432018393643375e-06
1808,8.565759799239459e-07
1809,1.0301179145244532e-06
1810,8.775475066613581e-07
1811,1.2460171774364426e-06
1812,1.3095992699163617e-06
1813,1.2193144129923894e-06
1814,1.0793102092065965e-06
1815,1.038431037159171e-06
1816,9.84981625151704e-07
1817,1.1053800790250534e-06
1818,1.2493393342083436e-06
1819,1.2524770909294602e-06
1820,1.2685268302448094e-06
1821,1.3056610441708472e-06
1822,1.4647424677605159e-06
1823,1.1118022484879475e-06
1824,1.2109560429962585e-06
1825,1.4863587693980662e-06
1826,1.5035229807836004e-06
1827,1.6766219914643443e-06
1828,1.445554630663537e-06
1829,1.8638085066413623e-06
1830,2.052925538009731e-06
1831,1.4936375691831927e-06
1832,1.9239616904087598e-06
1833,1.6286581967506208e-06
1834,1.6708810335330782e-06
1835,1.7440480633013067e-06
1836,1.442945062990475e-06
1837,1.683809614405618e-06
1838,2.1347732399590313e-06
1839,1.8520418052503373e-06
1840,1.9172762222297024e-06
1841,1.984591563086724e-06
1842,1.8991098613696522e-06
1843,1.875444240795332e-06
1844,2.1591999939118978e-06
1845,2.1422495137812803e-06
1846,2.0180466435704147e-06
1847,1.956661435542628e-06
1848,1.8930406895378837e-06
1849,2.3177460661827354e-06
1850,1.9497997527651023e-06
1851,2.008355295401998e-06
1852,1.8242548094349331e-06
1853,1.7515676518087275e-06
1854,1.813806420614128e-06
1855,1.8245249293613597e-06
1856,1.6768915429565823e-06
1857,1.9506510398059618e-06
1858,1.7847236222223728e-06
1859,1.8779935544444015e-06
1860,1.7869325574793038e-06
1861,1.7637704559092526e-06
1862,1.7597556052351138e-06
1863,1.827531718845421e-06
1864,1.9183705717296107e-06
1865,1.935925183715881e-06
1866,1.6810693068691762e-06
1867,1.8586267742648488e-06
1868,1.742293534334749e-06
1869,1.7268123428948456e-06
1870,1.879621208900062e-06
1871,2.0690054043370765e-06
1872,1.9756657820835244e-06
1873,1.7778432948034606e-06
1874,1.8778196135826875e-06
1875,1.7971316310649854e-06
1876,1.6402838127760333e-06
1877,1.8739992810878903e-06
1878,1.7585825844435021e-06
1879,1.6330226344507537e-06
1880,1.5819990721865906e-06
1881,1.6957138768702862e-06
1882,1.7244102537006256e-06
1883,1.7314988554062438e-06
1884,1.8029234070127131e-06
1885,1.680377181401127e-06
1886,1.6811272871564142e-06
1887,1.4964294905439601e-06
1888,1.5984689980541589e-06
1889,1.5518743339271168e-06
1890,1.5343819086410804e-06
1891,1.6222389831455075e-06
1892,1.4436384390137391e-06
1893,1.5328298559325049e-06
1894,1.6963743973974488e-06
1895,1.5022461639091489e-06
1896,1.531458451609069e-06
1897,1.4718278862346779e-06
1898,1.5254925074259518e-06
1899,1.578676346980501e-06
1900,1.4628387816628674e-06
1901,1.4826924825683818e-06
1902,1.4161258832245949e-06
1903,1.4251181710278615e-06
1904,1.4721098295922275e-06
1905,1.4026943517819745e-06
1906,1.4763809303985909e-06
1907,1.3659391697729006e-06
1908,1.4734167734786752e-06
1909,1.406601541020791e-06
1910,1.344053885077301e-06
1911,1.3396702343015932e-06
1912,1.3742453575105174e-06
1913,1.3867318102711579e-06
1914,1.3708233836950967e-06
1915,1.2464046221793978e-06
1916,1.396506377204787e-06
1917,1.2973280263395282e-06
1918,1.300257849834452e-06
1919,1.3480289453582373e-06
1920,1.3031810794927878e-06
1921,1.1631740335360519e-06
1922,1.2667915143538266e-06
1923,1.2410043837007834e-06
1924,1.1563787438717554e-06
1925,1.298884853895288e-06
1926,1.2862643643529736e-06
1927,1.215265456266934e-06
1928,1.17002662136656e-06
1929,1.180883032247948e-06
1930,1.1974108247159165e-06
1931,1.1998434956694837e-06
1932,1.2954171779711032e-06
1933,1.2285079264984233e-06
1934,1.2353009424259653e-06
1935,1.1609236025833525e-06
1936,1.1579102192627033e-06
1937,1.1571237337193452e-06
1938,1.2018754205200821e-06
1939,1.1776419341913424e-06
1940,1.138566517511208e-06
1941,1.1363284784238203e-06
1942,1.0316319958292297e-06
1943,1.213552309309307e-06
1944,1.1278283409410506e-06
1945,1.3702790511160856e-06
1946,1.1846859706565738e-06
1947,1.2063920848959242e-06
1948,1.1187172503923648e-06
1949,1.0494381967873778e-06
1950,1.0592819990051794e-06
1951,1.1418361509640818e-06
1952,1.0818969258252764e-06
1953,1.0881565231102286e-06
1954,1.0681382036636933e-06
1955,9.761032515598345e-07
1956,9.427553777641151e-07
1957,1.0133787782251602e-06
1958,9.711613984109135e-07
1959,9.672933174442733e-07
1960,1.0540429684624542e-06
1961,9.171570241051086e-07
1962,9.956871735994355e-07
1963,1.061725924955681e-06
1964,9.436234904569574e-07
1965,1.0500850748940138e-06
1966,9.964795708583551e-07
1967,9.9839292033721e-07
1968,1.0253902473777998e-06
1969,1.0436959883008967e-06
1970,9.459577086090576e-07
1971,8.68389179231599e-07
1972,8.741770329834253e-07
1973,8.699835802872258e-07
1974,9.040293775797181e-07
1975,8.310203725159226e-07
1976,8.324608415932744e-07
1977,8.3038929687973e-07
1978,8.310887551488122e-07
1979,8.303950380650349e-07
1980,8.476559401060513e-07
1981,8.925350130084553e-07
1982,8.262185815510747e-07
1983,8.209910902223783e-07
1984,7.451725991813873e-07
1985,8.445843491244887e-07
1986,7.732886047051579e-07
1987,7.485750757041387e-07
1988,7.315795755857835e-07
1989,7.771180889903917e-07
1990,7.530035759373277e-07
1991,7.104096084731282e-07
1992,7.60372302011092e-07
1993,8.258958246187831e-07
1994,7.37434731945541e-07
1995,7.678190172555333e-07
1996,7.206424470496131e-07
1997,7.88280658525764e-07
