year,devait_VERB éveiller_VERB,devait_VERB réveiller_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.7623651688866175e-09,0.0
1802,6.713520406265161e-09,8.951360541686881e-09
1803,7.801356893821776e-09,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,1.7057265822018053e-08
1806,0.0,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,3.3991110370834576e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,6.7770917766551975e-09
1810,1.1700633351097167e-08,0.0
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,2.400487453257938e-08
1813,1.4378708002027452e-08,0.0
1814,1.2586708564299443e-08,4.72001566720337e-08
1815,2.6972236000233352e-08,5.3944472000466703e-08
1816,1.1588019432906549e-08,4.6352077731626196e-09
1817,1.8682481339737933e-08,1.556873407970727e-09
1818,1.1921176934492905e-08,1.9073883805731384e-08
1819,1.7596784473994376e-08,3.1053151161586356e-09
1820,9.493184904840746e-09,1.6613073583471305e-08
1821,1.2819934447350079e-08,9.86148829262845e-10
1822,3.0076847679083585e-09,4.010246357211145e-09
1823,3.9530747564242574e-09,3.9530747564242574e-09
1824,5.894778887238772e-09,2.6105450245950124e-08
1825,9.68598712347557e-09,8.805443485471187e-09
1826,3.082794464148719e-08,1.0569580766173203e-08
1827,6.452091305675367e-09,1.7512819638909605e-08
1828,2.935136400594729e-08,2.384798314380987e-08
1829,2.5719527840806222e-08,4.286587973467704e-09
1830,3.235419043789989e-08,2.0873670791843324e-08
1831,3.4300654760954785e-08,2.6505050598757407e-08
1832,3.2471927369215337e-08,1.8941957335982806e-08
1833,1.7375443306377747e-08,2.20088942626262e-08
1834,3.827157613045529e-08,6.534171603789218e-08
1835,1.285724948729694e-08,2.193295500774184e-08
1836,1.8818100855355624e-08,1.8146025126952736e-08
1837,1.7394727436226276e-08,3.6181031504156635e-08
1838,3.1560809077291196e-08,3.7241754569095065e-08
1839,4.4046291947097416e-08,2.9364196407755117e-08
1840,2.6752692505738196e-08,4.395085184683012e-08
1841,2.5682194149112547e-08,4.1091510638580075e-08
1842,2.0795621225033756e-08,3.018719141323345e-08
1843,5.847842032835615e-08,2.3036953678001737e-08
1844,4.7750482679020934e-08,3.841993034825464e-08
1845,4.408380149811819e-08,5.859239493588575e-08
1846,6.088681203664237e-08,4.507965911670908e-08
1847,3.883121024728098e-08,2.1033571329098777e-08
1848,5.792559676365272e-08,3.218088551193432e-08
1849,3.9383248662261394e-08,6.703531951757213e-09
1850,2.9192683825840504e-08,1.6293590476834652e-08
1851,3.5471913406581734e-08,1.483370937194195e-08
1852,4.362065553209504e-08,3.190167419120371e-08
1853,3.58315901394235e-08,2.508211416341055e-08
1854,3.16935526711859e-08,3.896748168585873e-08
1855,2.9188154115900034e-08,3.02495415382964e-08
1856,3.4169449492083004e-08,4.4523826403519706e-08
1857,4.78387889302212e-08,1.7085282522089074e-08
1858,4.3553715300959084e-08,1.3702292633865909e-08
1859,3.7172863898149444e-08,2.9025388315062628e-08
1860,2.654766717569146e-08,3.7990627532735743e-08
1861,3.961409689168249e-08,2.5937801240161207e-08
1862,4.9246050792817186e-08,3.4336697041226216e-08
1863,7.541877522498908e-08,1.8480097452311384e-08
1864,5.418042547944424e-08,1.9178912680217763e-08
1865,6.777855787731824e-08,4.047886292823932e-08
1866,4.184427027098536e-08,2.7247432754506917e-08
1867,5.920430012906763e-08,3.299911810472622e-08
1868,4.4952855660085334e-08,8.89177353968762e-09
1869,3.320792885119772e-08,3.076617005604021e-08
1870,2.3509599600401998e-08,1.8922360567330543e-08
1871,1.6993883633631413e-08,4.142259157902117e-08
1872,6.107812566824578e-08,2.1770421909650395e-08
1873,7.542365665358375e-08,1.1373408881354408e-08
1874,4.839433387360259e-08,2.3300975371398636e-08
1875,4.176714796244596e-08,2.2886109007913547e-08
1876,4.353130833578689e-08,1.0278225381910033e-08
1877,5.504486111362894e-08,1.855444864418132e-08
1878,3.925407554561389e-08,1.4493812372506909e-08
1879,4.093248051617593e-08,1.5273313280772527e-08
1880,2.888030792291829e-08,1.7969970400599777e-08
1881,2.998178416646624e-08,2.022027167924989e-08
1882,3.261138559196297e-08,2.5290463057103807e-08
1883,3.4124429504345244e-08,1.7062214752172622e-08
1884,4.291102939646407e-08,1.0562715146988921e-08
1885,4.060750313783501e-08,1.2891271161663553e-08
1886,5.679048342699389e-08,1.4197620856748472e-08
1887,3.133883907935342e-08,1.0446279397058333e-08
1888,4.311618084784641e-08,8.242799331981132e-09
1889,2.4434033463194282e-08,1.3783300722991498e-08
1890,4.4569826940232815e-08,1.6385966361553983e-08
1891,4.079500826037474e-08,2.1672347472190268e-08
1892,2.1312942521944933e-08,1.56712811616444e-08
1893,4.126139074855928e-08,1.539604177480669e-08
1894,2.7726773765834878e-08,1.1342770278588432e-08
1895,3.49079627426363e-08,2.046328972937772e-08
1896,2.8305738197786923e-08,1.7101383420481397e-08
1897,3.26295968022805e-08,5.2440420894583895e-09
1898,3.225262190653666e-08,1.1316709347397591e-08
1899,2.8743407654019393e-08,9.39688327150634e-09
1900,4.6200373304827735e-08,1.557315876254961e-08
1901,3.1855812210324075e-08,6.147612641171918e-09
1902,3.780918689244572e-08,6.38336894454028e-09
1903,2.4841012802312434e-08,1.296052865029651e-08
1904,2.741058935384899e-08,2.1498500757388683e-09
1905,2.7352022868853965e-08,1.2901897328276846e-08
1906,5.864370322683499e-08,7.716276506641861e-09
1907,3.239991386294605e-08,2.3142794347563722e-08
1908,3.241516921548282e-08,1.6698722404839828e-08
1909,3.740668930163338e-08,6.0510818578052294e-09
1910,2.7255168788542505e-08,9.619471441624228e-09
1911,3.2454281040372734e-08,6.916486494645824e-09
1912,2.0837685354990754e-08,1.9795800554334164e-08
1913,4.083302229673791e-08,4.772690687104841e-09
1914,3.549274296688054e-08,4.68772043404897e-09
1915,2.0027295377644805e-08,1.0602685840410686e-08
1916,3.955486249651585e-08,5.493730803607377e-09
1917,5.702540661900457e-08,1.2063066989753679e-08
1918,2.067547733020092e-08,2.2972752589112133e-08
1919,3.314825391953491e-08,5.524709134618888e-09
1920,2.6502810612782923e-08,5.300562211374427e-09
1921,3.256281289054641e-08,9.844571380313027e-09
1922,2.8036154731125862e-08,1.549366501762961e-08
1923,3.503262746562541e-08,1.0615948120573648e-08
1924,3.351822286390416e-08,6.445812328337297e-09
1925,2.5295809891190402e-08,1.4297631523163545e-08
1926,2.229227646921572e-08,1.5604593173179637e-08
1927,2.0068604555945058e-08,2.1183527820767267e-08
1928,2.6279895593006586e-08,9.14083297942625e-09
1929,3.342121956961819e-08,1.893869061575515e-08
1930,2.941009036305786e-08,1.7856125467119455e-08
1931,3.42160717536899e-08,2.8513390759599133e-08
1932,2.520693342944469e-08,7.6716757391182e-09
1933,3.211785326584504e-08,2.064719240024715e-08
1934,3.834105655187159e-08,1.1981580172459871e-09
1935,2.6330225111337313e-08,4.787313656606784e-09
1936,2.424942913137329e-08,8.487299751891442e-09
1937,3.1477796369472344e-08,1.0072894518486919e-08
1938,4.148868626430158e-08,2.3337385357535823e-08
1939,2.5999884911698246e-08,4.588215141154706e-09
1940,3.550096039361961e-08,5.0715658339584024e-09
1941,3.246652724442356e-08,5.9030051957620344e-09
1942,3.944475324146879e-08,3.034211770724937e-09
1943,4.645176332473966e-08,8.709705845433291e-09
1944,4.4984606262232774e-08,1.6065930807940276e-08
1945,3.921307367704685e-08,1.089252066321933e-08
1946,1.9489545977080525e-08,1.1136883415474585e-08
1947,2.1457568166738383e-08,1.1920871401116528e-08
1948,3.261566305923225e-08,8.697510267552389e-09
1949,3.043272656100271e-08,7.853606653895895e-09
1950,2.5524867552917385e-08,1.2762433776458693e-08
1951,2.9851925376078725e-08,5.330700769690111e-09
1952,4.112473561690422e-08,1.4762725264461096e-08
1953,3.232148060305917e-08,9.69644453618912e-09
1954,2.6385848173049453e-08,1.3681550115052232e-08
1955,2.3464020060259827e-08,1.3139850985055546e-08
