year,peut_VERB établir_VERB,peut_VERB etablir_VERB,peut_VERB rétablir_VERB
1800,1.5406405964313308e-06,3.144164484325529e-09,9.118077315406481e-08
1801,1.6072982589321327e-06,4.7623651688866175e-09,1.0000967165524344e-07
1802,1.5732016436231788e-06,4.475680270843441e-09,9.622712582313397e-08
1803,2.008849378398736e-06,1.950339223455444e-09,1.1116933507082649e-07
1804,1.8563600860943552e-06,7.4155526164076946e-09,2.125791809248767e-07
1805,1.8819850993168075e-06,2.842877711017877e-09,1.7625842474444653e-07
1806,1.5676280327170389e-06,2.881669125542885e-09,1.2391177506287931e-07
1807,1.6170705521290074e-06,0.0,1.537355700520493e-07
1808,1.241808604390826e-06,1.5862518409903714e-08,1.5635910699529632e-07
1809,1.5406587863253662e-06,2.259030518203531e-09,1.784634093837667e-07
1810,1.2145258097007172e-06,0.0,1.310471020588011e-07
1811,1.1933685755138868e-06,5.0141535368197765e-09,7.270522672797597e-08
1812,1.7790279116525198e-06,5.3344164641089264e-09,1.440292436427626e-07
1813,1.37460449423088e-06,0.0,9.202373263406116e-08
1814,1.3341910971575999e-06,3.1466771410748606e-09,1.258670891957081e-07
1815,1.57517854404432e-06,2.697223555614414e-09,1.1058616422587875e-07
1816,1.805413376132492e-06,4.6352077731626196e-09,2.201723674488676e-07
1817,1.6331601955243968e-06,7.784366928831332e-09,2.0706416137272754e-07
1818,1.466304865971324e-06,4.768470951432846e-09,1.2994082965178677e-07
1819,1.7213795899806428e-06,1.035105001712111e-09,1.635465878280229e-07
1820,1.248353783012135e-06,5.933240565525466e-09,1.6731738128328288e-07
1821,1.2169076626378228e-06,4.930744257336528e-09,1.0354562363090736e-07
1822,1.5780319699842948e-06,9.023054303725075e-09,1.4336630727029842e-07
1823,1.4656025086878799e-06,2.9648061783404955e-09,1.0574474629265751e-07
1824,1.372641349917103e-06,2.5263338088166165e-09,1.456852487535798e-07
1825,1.1464686622275622e-06,1.7610886082763955e-09,1.1094858365368054e-07
1826,1.3802111880067969e-06,3.5231937367541377e-09,9.688783109140786e-08
1827,1.4637029153163894e-06,1.566936447261469e-08,8.111200600069424e-08
1828,1.4904989029673743e-06,1.6510142586412258e-08,9.722639049414283e-08
1829,1.4823021956544835e-06,5.143905745796928e-09,9.344761764396026e-08
1830,1.441327071916021e-06,1.0436835840010872e-09,8.140732177253085e-08
1831,1.6355174921045545e-06,7.795603274018958e-09,4.989185953263586e-08
1832,1.4666486549685942e-06,4.058990921151917e-09,1.4882965615470312e-07
1833,1.6587755453656428e-06,1.1583628500844156e-09,7.645194699534841e-08
1834,1.669947550908546e-06,6.534171426153534e-09,1.0828055962974759e-07
1835,1.4891720638843253e-06,3.781543966852041e-09,7.33619529569296e-08
1836,1.4442891824728576e-06,3.36037508930076e-09,7.594447737346854e-08
1837,1.603793862159364e-06,2.0873671680021744e-09,9.045258053674843e-08
1838,1.2927307579957414e-06,2.5248647617104325e-09,1.2750567179864447e-07
1839,1.5430185840159538e-06,4.894032734625853e-09,9.508406151326199e-08
1840,1.3981466508994345e-06,3.821813088222825e-09,1.2739377552861697e-07
1841,1.6687005199855776e-06,4.494383976094696e-09,1.1813808953320404e-07
1842,1.5288136410163133e-06,5.366612043644636e-09,1.10686372067903e-07
1843,1.5257551240210887e-06,2.3627644285539873e-09,8.387813466015359e-08
1844,1.4703855413245037e-06,1.097712254427563e-09,8.397498874046505e-08
1845,1.4235160961106885e-06,3.348136878855712e-09,1.1830083224140253e-07
1846,1.6082315141829895e-06,4.0981511517657054e-09,7.259581735752363e-08
1847,1.5074059547259822e-06,2.1572894581822766e-09,1.2566211182729603e-07
1848,1.5060654732224066e-06,5.63165514222419e-09,9.332457295840868e-08
1849,1.3876310731575359e-06,0.0,1.4245004820168106e-07
1850,1.3829185263602994e-06,4.752297222410107e-09,9.844044512874461e-08
1851,1.3969483916298486e-06,1.2898877521649865e-09,1.2511911506862816e-07
1852,1.492217052145861e-06,2.6042181744401205e-09,1.0481978307552708e-07
1853,1.3783218264507013e-06,2.388772735173461e-09,5.4941772020811186e-08
1854,1.316061798206647e-06,9.871762074453727e-09,8.209149626736689e-08
1855,1.2386391290419851e-06,1.0613874223963649e-09,7.90733594158155e-08
1856,1.3403742968876031e-06,5.177189343896771e-09,9.318940641378504e-08
1857,1.3150785207471927e-06,1.4644527812635033e-09,1.1813251887815568e-07
1858,1.2425043678376824e-06,5.872411001917044e-09,9.200110895335456e-08
1859,1.165089315691148e-06,5.092173349652285e-10,1.0489877411146153e-07
1860,1.2175308938822127e-06,2.288591982591015e-09,9.749401641556688e-08
1861,1.3515951877707266e-06,1.8863854922557266e-09,8.960331143725853e-08
1862,1.1850678447444807e-06,1.3553959066214816e-09,1.1340145533722534e-07
1863,1.2421621704561403e-06,1.4983863039219614e-09,7.591823703023692e-08
1864,1.2552598036563722e-06,0.0,1.1890925577517919e-07
1865,1.230369093718764e-06,1.882737743486018e-09,1.0543331541157386e-07
1866,1.231973214999016e-06,9.731225825149181e-10,8.563478814949121e-08
1867,1.1821448424598202e-06,1.94112459439566e-09,8.540948215340904e-08
1868,1.4686245322081959e-06,1.4819622196071691e-09,7.212216246443859e-08
1869,1.3297822079039179e-06,3.906815315701806e-09,8.106641757876787e-08
1870,1.3108035545883467e-06,2.2936195165357276e-09,8.371711146537564e-08
1871,1.4211135521691176e-06,2.1242354542039266e-09,7.116188527334089e-08
1872,1.3394856068771333e-06,6.047339295989218e-10,1.040142336705685e-07
1873,1.297167159464152e-06,1.1972008939764578e-09,9.757187058312411e-08
1874,1.4159824104353902e-06,0.0,7.408515045881359e-08
1875,1.3605791764348396e-06,1.1443054281912168e-09,8.868367018521894e-08
1876,1.2738953500956995e-06,1.209202959984168e-09,1.5840558376112313e-07
1877,1.3377756431509624e-06,1.2369631985365004e-09,1.0699731944896484e-07
1878,1.376912223349791e-06,3.0195443923020093e-09,9.300196524009152e-08
1879,1.2072026720488793e-06,1.221865053580018e-09,7.575563643058558e-08
1880,1.2803603794964147e-06,0.0,9.11334154807264e-08
1881,1.3247764627521974e-06,0.0,9.691785862742108e-08
1882,1.3503776017387281e-06,1.3310770263785798e-09,1.0116185222841523e-07
1883,1.3359082231545472e-06,2.5277355764075082e-09,9.289428248848708e-08
1884,1.2259350796739454e-06,1.3203393933736152e-09,9.836528391815591e-08
1885,1.338113975180022e-06,1.933690763067375e-09,1.005519152386114e-07
1886,1.219059299728542e-06,1.2906927748801422e-09,9.292988067954866e-08
1887,1.4141651263344102e-06,1.9586774424595887e-09,8.618180658004349e-08
1888,1.4367832363859634e-06,1.268122939990235e-09,1.0081577528353591e-07
1889,1.3570286228059558e-06,1.2530273485467092e-09,1.052542941692991e-07
1890,1.5612548622812028e-06,3.2771931834929546e-09,6.554386544621593e-08
1891,1.4902926750437473e-06,6.374220040683554e-10,1.2684698447174014e-07
1892,1.4430115697905421e-06,3.761107425503951e-09,1.1220637219366836e-07
1893,1.6880219391168794e-06,3.079208221734575e-09,7.574852389780062e-08
1894,1.4600666418118635e-06,6.301539290376468e-10,6.553600684355843e-08
1895,1.32469699565263e-06,1.2037228991346183e-09,9.027921521465032e-08
1896,1.3816738828609232e-06,2.358811590497112e-09,8.78657289149487e-08
1897,1.4065686855246895e-06,1.1653427112179315e-09,8.623536018603772e-08
1898,1.4711722542415373e-06,3.3950129374460403e-09,8.940200757479033e-08
1899,1.4692303693664144e-06,1.1055156790007459e-09,9.341607665191987e-08
1900,1.4021034075994976e-06,2.07642125715779e-09,9.966822034357392e-08
1901,1.4133920558379032e-06,0.0,7.824234415920728e-08
1902,1.7839061001723167e-06,9.820567692386817e-10,9.525950872557587e-08
1903,1.5720040664746193e-06,2.1600881083827517e-09,1.1124453891397934e-07
1904,1.742991003084171e-06,0.0,1.0749250378694342e-07
1905,1.4641072993981652e-06,4.1286072338664326e-09,9.805442147126087e-08
1906,1.6698022591299377e-06,1.5432553013283723e-09,8.847997179373124e-08
1907,1.6889097196326475e-06,3.0857059130084963e-09,1.0902827796144265e-07
1908,1.5225306242427905e-06,4.911389073214423e-10,7.56353912834129e-08
1909,1.5155209212025511e-06,3.850688656825696e-09,1.0891947255231571e-07
1910,1.5979010186129017e-06,2.67207544979442e-09,6.62674679574593e-08
1911,1.572702558405581e-06,2.128149656499545e-09,9.683081003686311e-08
1912,1.5279232457032776e-06,3.125652625612929e-09,8.595544898071239e-08
