year,pourrait_VERB assurer_VERB,pourrait_VERB rassurer_VERB
1800,7.231578535993322e-08,1.8864987794131594e-08
1801,8.572257570449437e-08,0.0
1802,6.042168365638645e-08,0.0
1803,2.145373123596528e-08,1.950339223455444e-09
1804,7.662737999680758e-08,2.7190360185613827e-08
1805,8.24434565060983e-08,5.685755422035754e-09
1806,4.034336598124355e-08,5.76333825108577e-09
1807,1.195721210933698e-07,1.4234775136401367e-08
1808,2.7192887941396293e-08,0.0
1809,4.743964154840796e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,6.668020802180763e-08,0.0
1813,3.4508900625951355e-08,1.1502966579257645e-08
1814,6.293354459785405e-08,0.0
1815,1.6722786710943183e-07,5.394447111228828e-09
1816,1.8772591658944293e-07,4.6352077731626196e-09
1817,7.161617787687646e-08,7.784366928831332e-09
1818,8.940882878505363e-08,9.536941902865692e-09
1819,6.107119787657211e-08,3.1053151161586356e-09
1820,1.0323838495196469e-07,1.1866481131050932e-08
1821,1.1735171057125626e-07,4.930744257336528e-09
1822,1.1930482912703155e-07,2.90742860897808e-08
1823,1.2353358158634364e-07,3.9530747564242574e-09
1824,7.831634718513669e-08,2.5263338088166165e-09
1825,9.774041842547376e-08,9.68598712347557e-09
1826,6.165588928297439e-08,2.642395191543301e-09
1827,1.1890282536342056e-07,9.217273166939322e-09
1828,5.961995697134626e-08,3.668920500743411e-09
1829,9.173298565201549e-08,8.57317605795771e-10
1830,6.679574937606958e-08,0.0
1831,1.3564348932959547e-07,4.677361609140007e-09
1832,1.2176973029909277e-07,1.3529969367098715e-09
1833,1.3668682186107617e-07,2.3167257001688313e-09
1834,8.58776871837108e-08,1.120143711119681e-08
1835,8.773182003096736e-08,3.025235173481633e-09
1836,9.677879830860547e-08,8.064899859050456e-09
1837,1.1202204319715747e-07,6.262101948095733e-09
1838,1.0541310047074148e-07,1.4517972601879592e-08
1839,7.830452375401364e-08,2.0974426639952526e-09
1840,8.599079848181646e-08,3.1848443882154243e-09
1841,1.0401288363937056e-07,3.2102742686390684e-09
1842,1.301403358411335e-07,2.683306021822318e-09
1843,8.151537400635789e-08,7.678984559333912e-09
1844,8.287727837341663e-08,2.195424508855126e-09
1845,1.0881444723054301e-07,5.022205318283568e-09
1846,9.133022160767723e-08,4.0981511517657054e-09
1847,1.1487566098367097e-07,1.240441438454809e-08
1848,6.757986170669028e-08,3.218088684420195e-09
1849,1.0893239732467919e-07,8.379414939696517e-10
1850,8.418355434969271e-08,6.1100964288129944e-09
1851,9.867641637129054e-08,1.9348316282474798e-09
1852,8.138182039374442e-08,0.0
1853,6.5094056367343e-08,1.1943863675867306e-08
1854,8.676759932768618e-08,3.63696517347023e-09
1855,8.915654348129465e-08,0.0
1856,6.471486813097727e-08,0.0
1857,8.737901424638039e-08,4.881508974818871e-09
1858,8.319248934185453e-08,2.4468380654951716e-09
1859,5.703234151610559e-08,2.5460866748261424e-09
1860,8.055843636611826e-08,3.661747127736703e-09
1861,6.649509032286005e-08,4.2443675241088386e-09
1862,4.9246050792817186e-08,9.939570055905733e-09
1863,7.192254258825415e-08,5.494082966350788e-09
1864,5.4659899717535154e-08,1.9178911792039344e-09
1865,6.024760779155258e-08,0.0
1866,7.103794530394225e-08,8.75810357570117e-09
1867,5.82337378318698e-08,1.455843445796745e-09
1868,7.16281718382561e-08,0.0
1869,9.864708516715837e-08,1.4650557433881772e-09
1870,1.0894692792362548e-07,4.013834153937523e-09
1871,6.160282595146782e-08,4.248470908407853e-09
1872,9.071008832961525e-08,6.652073114565837e-09
1873,5.686704085405836e-08,5.986004469882289e-10
1874,5.914862910572083e-08,3.5847653734322193e-09
1875,6.522540729747561e-08,0.0
1876,8.101660142756373e-08,3.02300739996042e-09
1877,9.7101612084316e-08,0.0
1878,3.985798358030479e-08,0.0
1879,5.1318330918093125e-08,1.221865053580018e-09
1880,7.123809098175116e-08,7.701415505323439e-09
1881,5.856906426515707e-08,7.669758161910067e-09
1882,5.657077295495583e-08,0.0
1883,8.02556030521373e-08,0.0
1884,8.38415488146893e-08,0.0
1885,7.541393642895855e-08,4.511945039809007e-09
1886,6.582533274013258e-08,0.0
1887,7.834709236931303e-08,0.0
1888,7.672143453874014e-08,6.340614699951175e-10
1889,7.831420845150205e-08,6.265136742733546e-10
1890,6.554386544621593e-08,8.520702365899524e-09
1891,6.69293100941104e-08,5.736798147637501e-09
1892,7.961011050383604e-08,1.8805537127519756e-09
1893,6.959010789842068e-08,4.310891643655168e-09
1894,5.671385494565584e-08,1.1972924873759894e-08
1895,8.125129369318529e-08,6.018614495673091e-10
1896,8.609661961145321e-08,1.179405795248556e-09
1897,6.933789364893528e-08,4.078699600285063e-09
1898,7.638779209173663e-08,5.6583548957434e-10
1899,1.0668226479992882e-07,4.4220627160029835e-09
1900,1.0485927504078063e-07,2.07642125715779e-09
1901,7.153585812602614e-08,1.0618603774048552e-08
1902,1.0016979246074698e-07,1.9641135384773634e-09
1903,7.93832413137352e-08,0.0
1904,6.825774079288749e-08,2.1498500757388683e-09
1905,1.052794829092818e-07,1.5482277682110634e-09
1906,1.1162880753090576e-07,4.115347618238729e-09
1907,1.0131401495527825e-07,2.057137349353866e-09
1908,1.109973908341999e-07,0.0
1909,8.911593596394596e-08,3.300590023513905e-09
1910,1.031421064112692e-07,1.6032452032632705e-09
1911,8.938228290844563e-08,1.5961122423746588e-09
1912,1.0627219637626695e-07,2.6047106693738442e-09
1913,1.0446889575632667e-07,0.0
1914,1.1987171433247568e-07,3.3483718020477227e-09
1915,1.0131455496775743e-07,1.1780762143587253e-08
1916,1.2086208300843282e-07,1.0987462051303964e-09
1917,1.1185753123754694e-07,0.0
1918,1.1945832056881045e-07,0.0
1919,1.6297892102556943e-07,0.0
1920,1.41600736469627e-07,7.572231730534895e-10
1921,1.1359121288023744e-07,1.5145494858259667e-09
1922,1.6821692838675517e-07,5.164555005876537e-09
1923,1.0934426342146253e-07,1.0615948120573648e-09
1924,1.1344629768927916e-07,1.289162443462999e-09
1925,1.055825080698014e-07,4.399271169575059e-09
1926,1.1257599652481076e-07,1.1146138456652466e-09
1927,1.1260716803462856e-07,3.3447675740205796e-09
1928,1.1540301869672476e-07,1.1426041224282812e-09
1929,1.0917598558535246e-07,8.912325100141061e-09
1930,1.575540551357335e-07,3.1510811737689437e-09
1931,1.2203732069338002e-07,1.0264820993199919e-08
1932,1.227468118258912e-07,6.575722188983946e-09
1933,1.1241248643045765e-07,6.882397318719313e-09
1934,1.317973783443449e-07,0.0
1935,1.3883209248888306e-07,2.393656828303392e-09
1936,1.260970350358548e-07,3.6374143697059935e-09
1937,1.2968851592631836e-07,0.0
1938,1.6076866415914992e-07,5.186085783037697e-09
1939,1.330582364289512e-07,4.588215141154706e-09
1940,9.889553354014424e-08,7.607348528892999e-09
1941,7.67390702094417e-08,5.9030051957620344e-09
1942,1.153000468434584e-07,9.102635090130207e-09
1943,1.2483911859817454e-07,5.806470415592457e-09
1944,5.462416652335378e-08,1.2852744646352221e-08
1945,1.0456819410364915e-07,0.0
1946,1.2111360092603718e-07,4.1763312808029696e-09
1947,1.3232167361820757e-07,5.960435700558264e-09
1948,1.1306763525453789e-07,3.2615663503321457e-09
1949,1.295845066806578e-07,9.817008317369869e-10
1950,1.201795782890258e-07,1.0635361480382244e-09
1951,1.140769967378219e-07,8.529121409139861e-09
1952,1.2337420685071265e-07,2.1089607837865287e-09
1953,1.4760144040337764e-07,2.1547654771580937e-09
1954,1.4072452358959708e-07,1.172704333640695e-08
1955,9.761032515598345e-08,2.815682353940474e-09
1956,1.6657379831030994e-07,6.976913269340912e-09
1957,1.0778745718198479e-07,4.417518795207798e-09
1958,1.4890038357862068e-07,8.272243445794913e-10
1959,1.7904227433973574e-07,2.325224457422337e-09
1960,1.335720867245982e-07,6.920833239831836e-09
1961,1.3757355077359534e-07,2.779263708063695e-09
1962,1.1542360311977973e-07,1.2683912808952869e-09
1963,1.5389207419502782e-07,6.466053470433053e-09
1964,1.399312736793945e-07,9.734349326606662e-09
1965,1.0561043950474414e-07,6.0192477668863376e-09
1966,1.3958468514374545e-07,3.8773522170743036e-09
1967,1.484031031395716e-07,9.860671168482327e-10
1968,1.3519161257136147e-07,6.287982134978165e-09
1969,1.45790423289327e-07,3.1792304344691047e-09
1970,1.6279486203529814e-07,4.1388523719376735e-09
1971,1.330844980884649e-07,4.1107179882260425e-09
1972,1.426180773478336e-07,2.565073486948677e-09
1973,1.212904834346773e-07,6.064523994098181e-09
1974,1.3557627198679256e-07,4.500457340128605e-09
1975,1.4107355639225716e-07,5.140332159925265e-09
1976,1.4398088410416676e-07,3.9994687561772935e-09
1977,1.310522321773533e-07,5.289103821581875e-09
1978,1.2772271418270975e-07,2.970295565063452e-09
1979,1.2757301703913981e-07,4.096381456264453e-09
1980,1.4951946525343374e-07,6.253665585376211e-09
1981,1.3220397931945627e-07,5.060439622894819e-09
1982,1.489800496301541e-07,5.586751949948621e-09
1983,1.288324540382746e-07,3.78918940668882e-09
1984,1.4497521760858945e-07,7.538710988796993e-09
1985,1.2392050052767445e-07,5.414002135495366e-09
1986,9.890901253584161e-08,5.395036861699509e-09
1987,1.0327280364208491e-07,7.944062296871834e-09
1988,1.0853762688611823e-07,4.797243047249822e-09
1989,1.0537194583548626e-07,4.390497743145261e-09
1990,1.1169734648319718e-07,2.724325431913144e-09
1991,1.2543534921860555e-07,9.96449056600568e-09
1992,1.261777242689277e-07,9.91789939064347e-09
1993,1.2463216592095705e-07,7.754890063438324e-09
1994,1.2659823767080525e-07,1.2132331583813993e-08
