year,eût_VERB emporté_VERB,eût_VERB remporté_VERB
1800,1.2262241000371432e-07,5.65949598296811e-08
1801,1.381085894536227e-07,2.3811825400343878e-08
1802,6.489736392722989e-08,6.265952379180817e-08
1803,9.166594594489652e-08,4.6808139586573816e-08
1804,1.4336735887354735e-07,1.458392091535643e-07
1805,1.506725197941705e-07,5.685755510853596e-08
1806,1.440834580535011e-07,1.0374009207225754e-07
1807,1.1387820109121094e-07,1.1103124819555887e-07
1808,1.246340701754889e-07,1.7222161829977267e-07
1809,1.0617443280125372e-07,1.197286110254936e-07
1810,1.3572734758326988e-07,9.126494404654295e-08
1811,1.42903374467096e-07,3.5099073869560016e-08
1812,1.7603574065105931e-07,4.000812481308458e-08
1813,7.476928232108548e-08,5.176335093892703e-08
1814,7.552024783308298e-08,4.090680150170556e-08
1815,8.90083740046066e-08,6.74305908887618e-08
1816,3.9399267848239106e-08,5.5622493277951435e-08
1817,9.029865566390072e-08,8.718490818182545e-08
1818,1.7285707087921764e-07,1.3470931037318223e-07
1819,1.625114833814223e-07,8.9019032145643e-08
1820,1.5307760747873544e-07,7.713212824000948e-08
1821,1.7060374091215635e-07,1.1537941446704281e-07
1822,1.1328945959121484e-07,8.421517350143404e-08
1823,2.0358335461878596e-07,3.9530746676064155e-08
1824,2.1810681971601298e-07,8.58953512761218e-08
1825,1.6554233184251643e-07,1.1359021812040737e-07
1826,1.8408687196824758e-07,1.2859656806085695e-07
1827,8.848581956044654e-08,7.18947319455765e-08
1828,1.2290882978049922e-07,6.970948618345574e-08
1829,1.8175133220665884e-07,1.1059397309054475e-07
1830,2.0873672212928795e-07,8.34946831673733e-08
1831,1.6058942264862708e-07,2.3386808933878456e-08
1832,1.3394669906574563e-07,5.547287429408243e-08
1833,1.656458863408261e-07,3.01174338801502e-08
1834,1.157481861469023e-07,2.333632664885954e-08
1835,1.3084141414765327e-07,3.554651328840919e-08
1836,1.263501019366231e-07,4.301280043250699e-08
1837,1.551609614125482e-07,6.609996461293122e-08
1838,1.312929640562288e-07,5.9334322344284374e-08
1839,1.6080393550055305e-07,4.544459031308179e-08
1840,1.3057861281140504e-07,8.535382534091696e-08
1841,1.1171754721317484e-07,2.760835826620678e-08
1842,1.086738947719823e-07,2.750388716776797e-08
1843,1.3408687493665639e-07,2.2446261738195972e-08
1844,1.8715994087870058e-07,3.1833653935109396e-08
1845,1.6294265492433624e-07,4.743193926515232e-08
1846,1.8968584925005416e-07,4.8006910446929396e-08
1847,1.2728007448004064e-07,2.8584086209093584e-08
1848,8.849743693417622e-08,2.011305433313737e-08
1849,2.0194390515371197e-07,3.4355601030711114e-08
1850,9.911934029105396e-08,5.2275268558332755e-08
1851,1.0899551483589676e-07,2.3217978650791338e-08
1852,7.747549091163819e-08,3.906327350478023e-08
1853,9.734248607173868e-08,6.628844317901894e-08
1854,1.1118721943148557e-07,4.572184764128906e-08
1855,1.1675261646360013e-07,3.555647865027822e-08
1856,1.3150061306532734e-07,1.346069211649592e-08
1857,1.684120576328496e-07,5.7113656026785975e-08
1858,1.7568297039360914e-07,3.131952652779546e-08
1859,1.3290572553614766e-07,2.2405561850291633e-08
1860,1.3411148813702312e-07,5.2637613379147297e-08
1861,1.367629494097855e-07,2.8295781717702084e-08
1862,1.3644319096783875e-07,4.653525920161883e-08
1863,1.5533271380263614e-07,3.1965573299430616e-08
1864,1.3041659485679702e-07,3.212467802882202e-08
1865,1.0072646716707823e-07,3.95374932793402e-08
1866,9.925850008585257e-08,3.5518972651971126e-08
1867,1.0239432413072791e-07,2.814630661873707e-08
1868,1.289307078877755e-07,3.7049055379156925e-08
1869,1.2648314395846683e-07,3.564969119906891e-08
1870,1.3360333639411692e-07,3.039045992636602e-08
1871,1.0090118252037428e-07,4.0360472297606975e-08
1872,1.4271721227032685e-07,5.926392532273894e-08
1873,1.0056487553811166e-07,2.2746817762708815e-08
1874,1.2307694419178006e-07,3.584765551067903e-08
1875,1.2644575519971113e-07,1.94531928343622e-08
1876,8.585340793842988e-08,2.0556450763820067e-08
1877,1.107082070461729e-07,4.143826615177204e-08
1878,7.911206267863236e-08,3.01954443671093e-08
1879,1.0813505468831863e-07,3.726688291294522e-08
1880,1.0396910710142038e-07,2.2462462112571302e-08
1881,9.203709794292081e-08,5.159655458442103e-08
1882,8.186123778841647e-08,4.5256619785050134e-08
1883,1.2701870844011864e-07,3.5388296737437486e-08
1884,1.1288901902162252e-07,1.9805090900604227e-08
1885,7.670306700902074e-08,2.9649923405372647e-08
1886,7.356948827919041e-08,3.743009102663564e-08
1887,9.075205298358924e-08,3.1991731930247624e-08
1888,7.355112785489837e-08,3.9311810695608074e-08
1889,9.335053618997335e-08,2.8193115397812107e-08
1890,6.816561892719619e-08,2.7528423984790606e-08
1891,6.182993672609882e-08,2.358461337337303e-08
1892,6.958048714977849e-08,2.005923960268774e-08
1893,5.9120800699474785e-08,2.7097032173628577e-08
1894,5.8604314290278126e-08,1.5123694296903523e-08
1895,5.055636265183239e-08,3.310238128051424e-08
1896,6.899524152004233e-08,2.358811634906033e-08
1897,5.884980680548324e-08,1.0488084178916779e-08
1898,6.733442603490403e-08,1.5277558773618694e-08
1899,6.522542150833033e-08,2.2110313580014918e-08
1900,6.592637191715767e-08,2.803168719367477e-08
1901,4.8622027293276915e-08,4.0238919751800495e-08
1902,4.17374117489544e-08,1.5221880644844532e-08
1903,3.834156458992766e-08,1.5120615870500842e-08
1904,5.5896101969210576e-08,3.2247751136083025e-08
1905,5.7800502162308476e-08,2.838417501038748e-08
1906,5.9158121956670584e-08,1.7490227932626112e-08
1907,6.58283951793237e-08,1.5942815068115124e-08
1908,6.188350454294778e-08,1.8663278922304016e-08
1909,5.941062397596397e-08,1.925344328412848e-08
1910,5.237267686197811e-08,3.5271394693836555e-08
1911,5.639596523110413e-08,1.702519725199636e-08
1912,4.0112542620818203e-08,3.0735584743979416e-08
1913,5.939348568517744e-08,2.5454351515463713e-08
1914,4.3528835647066444e-08,1.6072185360371805e-08
1915,5.183535378705528e-08,2.238344798399794e-08
1916,5.273981784625903e-08,6.592477230782379e-09
1917,5.812205117194935e-08,1.315970976634162e-08
1918,4.3648228142956214e-08,2.2972752589112133e-08
1919,4.235610262526279e-08,1.3811772170413406e-08
1920,6.284952291935042e-08,2.4231141537711665e-08
1921,6.512562578109282e-08,1.5902768879527684e-08
1922,6.56636274243283e-08,1.696925089333945e-08
1923,4.989495749896378e-08,9.554353752605493e-09
1924,7.734974616369072e-08,1.933743654092268e-08
1925,6.708888378170741e-08,1.8696901804560184e-08
1926,4.56991671171636e-08,1.4489979882625903e-08
1927,7.358488574027433e-08,1.7838759802657478e-08
1928,4.6846768242403414e-08,2.0566874425753667e-08
1929,4.4561623724348465e-08,1.4482528065684619e-08
1930,5.461873797685257e-08,2.2057568216382606e-08
1931,2.5091784650044247e-08,1.9389105432310316e-08
1932,5.2605777511871565e-08,3.616647248350091e-08
1933,2.982372038218273e-08,1.8353059516584835e-08
1934,5.2718952758823434e-08,8.38710612072191e-09
1935,3.949533677882755e-08,2.992070946561398e-08
1936,4.607391446143083e-08,2.3036957230715416e-08
1937,5.5400921183945684e-08,1.2591118370153254e-08
1938,3.630260181353151e-08,3.241303758727554e-08
1939,5.6587985852729616e-08,1.2235240376412548e-08
1940,5.325144059042941e-08,2.028626333583361e-08
1941,5.60785480274717e-08,2.6563522936839945e-08
1942,6.978687139280737e-08,3.944475324146879e-08
1943,5.8064703267746154e-08,2.6129116648121453e-08
1944,6.105053529381621e-08,1.6065930807940276e-08
1945,4.357008265287732e-08,2.3963544037997053e-08
1946,4.315542412314244e-08,1.9489545977080525e-08
1947,9.179070303844128e-08,5.960435700558264e-09
1948,4.240036233227329e-08,9.784699273041042e-09
1949,5.006674186347482e-08,1.0798709482173763e-08
1950,3.403315673722318e-08,7.444753258312176e-09
1951,5.224086763178093e-08,9.595261474260042e-09
1952,4.74516177462192e-08,9.490323193972472e-09
1953,5.4946518446286063e-08,1.0773827163745864e-08
1954,4.88626810124515e-08,4.886268278880834e-09
1955,2.440258128899586e-08,1.1262729415761896e-08
1956,2.3547082506070183e-08,1.3081712602058815e-08
1957,4.94762097957846e-08,1.6786572132332367e-08
1958,4.053399393910695e-08,5.790570245522986e-09
1959,3.797866554577922e-08,7.750747599288843e-09
1960,3.8756667208872386e-08,1.3841666479663672e-08
1961,5.280601200752244e-08,1.320150300188061e-08
1962,6.659054463398206e-08,8.8787386332001e-09
1963,4.78487933719407e-08,1.7458344103715717e-08
1964,4.623815996751546e-08,1.2776333768727e-08
1965,3.55682807651192e-08,7.1136563306595235e-09
1966,3.5450078428311826e-08,7.200797291773142e-09
1967,5.078245735035125e-08,1.873527466500491e-08
1968,5.29987076447469e-08,1.4821671889819754e-08
1969,4.087582183842642e-08,8.629339909305145e-09
1970,3.816941784862138e-08,6.438214850135182e-09
1971,5.1897814046242274e-08,9.762954888969944e-09
1972,2.8215808356435446e-08,1.0260293947794707e-08
1973,3.3079221140042137e-08,9.37244681864513e-09
1974,2.8690415376786405e-08,5.625571564138454e-09
1975,2.5701661243715535e-08,1.1994108817248161e-08
1976,1.9425991482080462e-08,3.9994687561772935e-09
1977,2.52701610747863e-08,7.639816779203557e-09
1978,3.089107636355948e-08,7.72276909088987e-09
1979,3.101546042216796e-08,7.022368020415115e-09
1980,3.0699812469947574e-08,4.548120546843393e-09
1981,2.7199863694704618e-08,6.958104314946922e-09
1982,3.227901146374279e-08,3.1037510339615437e-09
1983,1.894594880980094e-08,7.57837881337764e-09
1984,2.0296528902008504e-08,6.378909400694965e-09
1985,1.9851341903631692e-08,6.617113967877231e-09
1986,2.0980699844130868e-08,8.392279760016663e-09
1987,1.649920555735207e-08,4.277571630240118e-09
1988,2.278690480750356e-08,6.596209356501959e-09
1989,2.908704743731505e-08,3.2928733073589456e-09
1990,2.2884334427430986e-08,5.993515905799995e-09
1991,1.875668864670388e-08,5.2753188484189195e-09
1992,2.2039776226279173e-08,7.713921945651236e-09
1993,1.938722604677423e-08,5.539207315052863e-09
1994,1.8989736005892155e-08,3.164955852952289e-09
1995,1.7351842629409475e-08,5.4224509327127635e-09
1996,1.1209993822092201e-08,5.3380921904988554e-09
1997,1.006927874414032e-08,2.876936688878118e-09
1998,2.193339376788117e-08,4.7681290027412615e-09
1999,1.416762351880152e-08,3.656160929565999e-09
2000,1.767212509662386e-08,6.627047355323157e-09
2001,1.7086726700199506e-08,3.066848330846028e-09
2002,2.059174164514843e-08,3.504977197366088e-09
2003,1.2917460878725251e-08,2.5001538617175356e-09
2004,1.805964444656638e-08,4.404791198453495e-09
2005,1.3961623857028371e-08,6.305249655724765e-09
2006,1.4000825387938676e-08,6.58862386870851e-09
