year,voudrait_VERB entrer_VERB,voudrait_VERB rentrer_VERB
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,8.951360541686881e-09,2.0140561218795483e-08
1803,7.801356893821776e-09,0.0
1804,3.9549615138412264e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,3.6257183921861724e-08,0.0
1809,2.25903047379461e-08,1.581321384946932e-08
1810,1.4040760554223652e-08,0.0
1811,1.2535384286138651e-08,3.259199843341776e-08
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,0.0,2.3176038865813098e-09
1817,1.71256075987003e-08,9.341240669868967e-09
1818,1.5497530370112145e-08,1.0729059418679299e-08
1819,2.5877625375869684e-08,5.175524897538253e-09
1820,2.7292905713238724e-08,8.306536791735653e-09
1821,2.5639868894700157e-08,9.861488514673056e-09
1822,1.604098542884458e-08,5.012807946513931e-09
1823,1.1859224713361982e-08,5.929612356680991e-09
1824,5.052667617633233e-09,1.1789557774477544e-08
1825,2.7296874094417944e-08,2.641632912414593e-09
1826,8.80798456392995e-09,7.927186018719112e-09
1827,3.96342727526644e-08,1.474763688946723e-08
1828,3.0268594741755805e-08,3.668920500743411e-09
1829,1.8860987438529264e-08,8.57317605795771e-10
1830,1.7742621594152297e-08,2.0873671680021744e-09
1831,1.2472964883158966e-08,1.870944643656003e-08
1832,6.764984572527055e-09,5.411987746839486e-09
1833,2.20088942626262e-08,2.3167256557599103e-08
1834,2.333632664885954e-08,3.733812370398937e-09
1835,4.9160071569076536e-08,8.31939672707449e-09
1836,1.5457725766054864e-08,6.72075017860152e-09
1837,2.1569462660409044e-08,1.1828414692161004e-08
1838,2.7773513266993177e-08,1.2624323808552163e-09
1839,2.6567605004856887e-08,2.0974426639952526e-09
1840,3.3759349093998026e-08,3.821813254756279e-09
1841,2.5040138851295524e-08,1.733548060656176e-08
1842,3.890793820460203e-08,1.408735705865638e-08
1843,3.485077471054865e-08,6.4976020675011625e-09
1844,2.9089374464774664e-08,2.7442806360689076e-09
1845,4.073566373108406e-08,7.254296274794569e-09
1846,2.86870562860031e-08,1.9319854160926297e-08
1847,4.314578916364553e-08,5.9325460100012606e-09
1848,5.63165514222419e-08,8.04522137798358e-09
1849,2.4300303991253713e-08,3.016589289472904e-08
1850,3.326607966869233e-08,2.0366988096043315e-08
1851,2.4507867735223954e-08,7.739326512989919e-09
1852,3.1250618093281446e-08,1.1718981562935937e-08
1853,2.6873692604567623e-08,1.2541056859660671e-08
1854,3.740878540270387e-08,6.754363734984281e-09
1855,2.2289135870323662e-08,1.0083180512765466e-08
1856,1.7602443946884705e-08,1.9673318973900678e-08
1857,2.636014961865385e-08,4.393358177257056e-09
1858,3.2787628612140907e-08,1.1744822003834088e-08
1859,4.226503946824778e-08,4.582956236731661e-09
1860,4.668727626722102e-08,1.9681891672007623e-08
1861,3.159695793897299e-08,1.226150558863992e-08
1862,2.6204320491274302e-08,5.873382225018986e-09
1863,1.7980635647063536e-08,1.6981710260211003e-08
1864,2.2535221688713136e-08,5.753673759656408e-09
1865,3.388927893865912e-08,2.3534221238463715e-09
1866,3.0166798836717135e-08,1.0217787504984699e-08
1867,2.4749338578544666e-08,1.067618526917613e-08
1868,4.100095551962113e-08,1.1361710683388537e-08
1869,2.6859355628516823e-08,2.44175962782478e-08
1870,3.268407766654491e-08,1.3761717099214366e-08
1871,2.2304472935275044e-08,4.248470908407853e-09
1872,1.5118347462816928e-08,5.442605477412599e-09
1873,2.8134220286801792e-08,7.1832053083475955e-09
1874,3.1665429389704514e-08,1.2546679251101978e-08
1875,4.520006413599731e-08,4.005069165202713e-09
1876,3.4462285469771814e-08,1.209202959984168e-09
1877,4.143826615177204e-08,7.421779191219002e-09
1878,2.294853729267743e-08,7.2469061862534545e-09
1879,3.1157558311178946e-08,3.665595160740054e-09
1880,3.658172431642015e-08,1.7328185109022343e-08
1881,2.1614773970668466e-08,1.1156011725521608e-08
1882,1.3310770263785798e-08,5.324308105514319e-09
1883,2.5909288936531993e-08,9.479008689083912e-09
1884,2.8387297845711146e-08,9.902545450302114e-09
1885,1.740321664556177e-08,1.8692343672910283e-08
1886,1.677900662855336e-08,1.3552274191752645e-08
1887,2.3504128421336645e-08,4.570247291724172e-09
1888,2.028996703984376e-08,9.510921827882157e-09
1889,2.8819629349641218e-08,1.50363277384713e-08
1890,2.818386235503567e-08,1.1797895993481688e-08
1891,1.9122660788184476e-08,6.3742202627281586e-09
1892,3.63573704476039e-08,1.0656471038927862e-08
1893,2.7097032173628577e-08,1.2932674486876294e-08
1894,2.079507943619774e-08,8.822155450616265e-09
1895,3.4306101071024386e-08,1.745398137131815e-08
1896,2.0639602027472392e-08,7.66613794667137e-09
1897,2.330685333618021e-08,6.4093846896540185e-09
1898,3.225262190653666e-08,1.3014216371232123e-08
1899,2.65323762960179e-08,9.39688327150634e-09
1900,2.180242297811219e-08,9.863001082521805e-09
1901,2.0119459875900247e-08,6.147612641171918e-09
1902,1.7677022512430085e-08,8.347482705062248e-09
1903,3.0781254878320397e-08,1.0800440541913758e-08
1904,1.4511488011237361e-08,1.0749250378694342e-08
1905,2.167518786677647e-08,9.805441791854719e-09
1906,2.572092228092515e-08,4.115347618238729e-09
1907,1.697138252154673e-08,9.771402353919711e-09
1908,2.9468335327464956e-08,4.4202501658929805e-09
