year,auraient_VERB enseigné_VERB,auraient_VERB renseigné_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,3.707776485839531e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,2.070210003424222e-09,0.0
1820,1.779972080839798e-08,0.0
1821,5.9168927535324656e-09,0.0
1822,9.023054303725075e-09,0.0
1823,4.941343334508019e-09,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,1.7615968683770689e-09,0.0
1827,9.217273055917019e-10,0.0
1828,0.0,0.0
1829,3.429270423183084e-09,0.0
1830,6.262101504006523e-09,0.0
1831,0.0,0.0
1832,6.764984572527055e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,2.2689263801112247e-08,0.0
1836,1.2769425516978572e-08,0.0
1837,1.1828414692161004e-08,0.0
1838,2.7142295522253335e-08,0.0
1839,1.1885507689157748e-08,0.0
1840,1.6561189752906103e-08,0.0
1841,5.1364388298225094e-09,0.0
1842,4.024959032733477e-09,0.0
1843,1.3585895075607368e-08,0.0
1844,1.3172547497219966e-08,0.0
1845,2.1204865419122143e-08,0.0
1846,1.1123552745573306e-08,0.0
1847,1.294373674909366e-08,0.0
1848,4.02261068899179e-09,0.0
1849,1.1731181359664333e-08,0.0
1850,1.9009188889640427e-08,0.0
1851,2.192809134271556e-08,0.0
1852,2.2135854038651814e-08,5.208436348880241e-09
1853,1.791579506971175e-08,0.0
1854,1.0910895298366086e-08,0.0
1855,2.1227748447927297e-08,0.0
1856,1.5531567143511893e-08,0.0
1857,5.857811125054013e-09,9.763018171682347e-10
1858,1.468102794888182e-08,0.0
1859,6.110608019582742e-09,0.0
1860,2.4716793944890014e-08,4.119465657481669e-09
1861,1.1789909493131745e-08,0.0
1862,2.710791813242963e-09,0.0
1863,1.6981710260211003e-08,0.0
