year,doit_VERB acheter_VERB,doit_VERB racheter_VERB
1800,1.2576657937302116e-08,6.288328968651058e-09
1801,4.524246932646747e-08,3.095537337571841e-08
1802,4.2518962573012686e-08,4.699464284385613e-08
1803,3.510610468993036e-08,2.9255089017965474e-08
1804,7.909923027682453e-08,3.9549615138412264e-08
1805,4.264316544322355e-08,3.980028751016107e-08
1806,2.881669125542885e-09,0.0
1807,2.8469550272802735e-08,1.1387820464392462e-08
1808,4.5321478125970316e-08,4.5321478125970316e-08
1809,7.680704072754452e-08,6.777091243748146e-08
1810,4.914266327205041e-08,3.042164919975221e-08
1811,4.512738271955641e-08,5.0141535368197765e-09
1812,7.20146218213813e-08,2.6672082320544632e-09
1813,4.888760685162197e-08,1.4378708002027452e-08
1814,3.4613449884091096e-08,0.0
1815,8.091670622434322e-08,5.394447111228828e-09
1816,3.0128852301913867e-08,2.0858434979231788e-08
1817,4.3592454090912724e-08,9.341240669868967e-09
1818,2.98029441125891e-08,2.384235475716423e-09
1819,4.7614829412623294e-08,1.1386155129855524e-08
1820,7.594547923872597e-08,4.034603762193001e-08
1821,7.59334568556369e-08,1.7750679148775816e-08
1822,6.416394171537831e-08,2.105379337535851e-08
1823,6.127265805844218e-08,1.4824030003524058e-08
1824,6.315834610859383e-08,3.621078548121659e-08
1825,4.490776106536032e-08,2.4655239627691117e-08
1826,7.751026487312629e-08,2.2019960965735663e-08
1827,2.5808365222701468e-08,2.1199728195142598e-08
1828,5.77854990524429e-08,3.118582370120748e-08
1829,6.687077558353849e-08,1.628903412154159e-08
1830,4.5922078584226256e-08,4.0703660886265425e-08
1831,7.951515357262906e-08,3.274153215215847e-08
1832,4.6001897402447867e-08,5.411987746839486e-09
1833,4.51761508202253e-08,1.6217079235048004e-08
1834,4.387229424196448e-08,3.9205030333278046e-08
1835,4.386591001548368e-08,2.949604294144592e-08
1836,4.5701099793404865e-08,3.091545153210973e-08
1837,8.906100390504434e-08,2.922314124020886e-08
1838,5.112851297894849e-08,2.2723781967215473e-08
1839,4.4046291947097416e-08,2.866504900111977e-08
1840,7.516232614079854e-08,2.5478755105723394e-08
1841,2.8250413564023802e-08,1.219904177673925e-08
1842,8.251166150330391e-08,1.542900918138912e-08
1843,3.0125246297529884e-08,2.658109998776581e-08
1844,5.1043620885593555e-08,3.567564732520623e-08
1845,6.696273402440056e-08,3.961961780873935e-08
1846,7.318126904465316e-08,9.367202125076801e-09
1847,9.492073616002017e-08,3.074137566727586e-08
1848,5.712107409294731e-08,2.976732105253177e-08
1849,5.446619866233959e-08,2.0948537127196687e-08
1850,3.869727649430388e-08,5.159636984330973e-08
1851,7.803821233665076e-08,2.3217978650791338e-08
1852,4.817803755940986e-08,2.3437962681782665e-08
1853,3.881755716861335e-08,2.388772735173461e-08
1854,5.7152309551611324e-08,1.1950028522278444e-08
1855,6.156047049898916e-08,1.4859423913549108e-08
1856,2.3815070804289462e-08,2.2779632402603056e-08
1857,5.3208449202202246e-08,2.147863931156735e-08
1858,4.1106879677954566e-08,2.7893953813418193e-08
1859,3.768208145515928e-08,3.971895168319861e-08
1860,6.728460277827253e-08,1.876645328025006e-08
1861,6.460870594082735e-08,3.4426534512022045e-08
1862,4.156547461775517e-08,2.981871105589562e-08
1863,3.8958042125614156e-08,3.346395871517416e-08
1864,3.931677028390368e-08,1.582260189536555e-08
1865,5.9306238142653456e-08,2.4004906507002488e-08
1866,4.6223323835192787e-08,2.6274308950746672e-08
1867,3.785192959071537e-08,3.0572714138088486e-08
1868,7.360412013213136e-08,1.5807597009143137e-08
1869,4.8346841197144386e-08,1.4650557211837167e-08
1870,4.529898589566983e-08,1.77755516972411e-08
1871,7.328612383616928e-08,3.611200227737754e-08
1872,6.954439868422924e-08,2.963196266136947e-08
1873,6.524744833313889e-08,2.095101514498765e-08
1874,5.556386639682387e-08,5.974609251779839e-09
1875,4.176714796244596e-08,2.345826111138649e-08
1876,4.897271921322499e-08,2.1161051577678336e-08
1877,7.174386240649255e-08,3.5253449937044934e-08
1878,4.227361927178208e-08,4.7708802242141246e-08
1879,4.887460391955756e-08,1.0385853066452455e-08
1880,9.755126484378707e-08,3.2089232604448625e-08
1881,3.6257038260600893e-08,2.2312024228199334e-08
1882,5.989846840748214e-08,1.7304001787010748e-08
1883,4.1707636455612374e-08,3.6652167523243406e-08
1884,6.601696611596708e-08,2.1125430293977843e-08
1885,4.7053141827291256e-08,1.8692343672910283e-08
1886,5.485444276587259e-08,1.4842966855610484e-08
1887,9.271072798355817e-08,2.285123557044244e-08
1888,6.02358412038484e-08,1.6485598663962264e-08
1889,6.828999232766364e-08,2.192797943223468e-08
1890,9.438316794785351e-08,3.211649257650606e-08
1891,7.967774706685304e-08,1.3385862196457765e-08
1892,7.522214673372218e-08,8.149066310636499e-09
1893,6.712674149866871e-08,2.586534897375259e-08
1894,9.578339899007915e-08,2.3945849747519787e-08
1895,5.5973114143625935e-08,2.768562623600701e-08
1896,7.076435082353782e-08,1.47425724961181e-08
1897,7.39992600529149e-08,1.5732126712464378e-08
1898,6.620275172508627e-08,1.3014216371232123e-08
1899,7.075300345604774e-08,1.7688250864011934e-08
1900,8.46141645638454e-08,1.4015843596837385e-08
1901,6.315274703183604e-08,1.117747761014698e-08
1902,6.677986164049798e-08,1.3748794991386148e-08
1903,5.778235845355084e-08,2.5381035939631147e-08
1904,7.201997931360893e-08,1.4511488011237361e-08
1905,7.895961573467503e-08,1.9610883583709438e-08
1906,8.693671560422445e-08,1.7490227932626112e-08
1907,9.462831940254546e-08,1.7485668024619372e-08
1908,1.0215688917014631e-07,2.3083527977973972e-08
1909,1.0066799660535253e-07,1.320236009405562e-08
1910,1.0100444569616229e-07,1.7635697346918278e-08
1911,9.204246964600316e-08,1.276889793899727e-08
1912,1.1043972847346595e-07,2.7609932118366487e-08
1913,5.1438998838193584e-08,2.227255713194154e-08
1914,7.567320636781005e-08,1.7411533548283842e-08
1915,8.364340686739524e-08,1.6493066468115103e-08
1916,1.1207211514374649e-07,2.0876177231343718e-08
1917,1.0966424213165737e-07,1.864292187292449e-08
1918,9.303964532136888e-08,5.743188147278033e-09
1919,1.0404868788782551e-07,2.5781975665495338e-08
1920,1.1206903138827329e-07,3.104614876292544e-08
1921,8.330022183145047e-08,1.1359120755116692e-08
1922,1.2321152098593302e-07,2.3609393551282665e-08
1923,8.705077192416866e-08,2.653987074552333e-08
1924,1.405187077807568e-07,1.804827398643738e-08
1925,9.238469544925465e-08,1.8696901804560184e-08
1926,6.799144358637932e-08,1.89484357093761e-08
1927,1.0591763555112266e-07,7.804457524684949e-09
1928,7.426926629250374e-08,5.713020723163709e-09
1929,1.0026365515614089e-07,1.4482528065684619e-08
1930,8.507918636269096e-08,6.302162347537887e-09
1931,1.0721035437200044e-07,1.0264820993199919e-08
1932,9.644391951724174e-08,5.4797681947604815e-09
1933,9.75006315684368e-08,1.3764794637438627e-08
1934,1.2341027399997984e-07,1.5576054224197833e-08
1935,9.215578700150218e-08,9.574627313213568e-09
1936,1.0306007425242569e-07,1.091224355320719e-08
1937,1.1332006266684402e-07,2.0145789036973838e-08
1938,1.5039648815218243e-07,1.4261735792331365e-08
1939,1.2999943521663226e-07,1.3764645423464117e-08
1940,8.621661606866837e-08,2.5357829169792012e-09
1941,9.149658097840074e-08,1.7709016475464523e-08
1942,1.0012898599143227e-07,1.517105907566929e-08
1943,1.219358836124229e-07,8.709705845433291e-09
1944,1.1888788975511488e-07,1.6065930807940276e-08
