year,pouvaient_VERB accompagner_VERB
1800,0.0
1801,1.4287095950749062e-08
1802,0.0
1803,5.851017448321727e-09
1804,3.707776485839531e-08
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,1.1330369531492579e-08
1809,2.9367397402779716e-08
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,1.8880564667256294e-08
1816,2.3176038865813098e-09
1817,0.0
1818,1.668964877410417e-08
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,0.0
1823,2.9648061783404955e-09
1824,5.052667617633233e-09
1825,2.641632912414593e-09
1826,8.807984341885344e-10
1827,1.474763688946723e-08
1828,2.384798314380987e-08
1829,4.286587973467704e-09
1830,4.174734336004349e-09
1831,3.1182412207897414e-09
1832,3.5177919244233635e-08
1833,1.6217079235048004e-08
1834,2.42697808516823e-08
1835,0.0
1836,1.344150035720304e-08
1837,1.3219993100221927e-08
1838,2.1461350030449466e-08
1839,5.5931801412612e-09
1840,1.592422194107712e-08
1841,1.733548060656176e-08
1842,5.366612043644636e-09
1843,9.451057714215949e-09
1844,1.0977122322231025e-08
1845,1.562463758375543e-08
1846,9.367202125076801e-09
1847,2.0494249852731627e-08
1848,4.02261068899179e-09
1849,1.6758829879393033e-09
1850,8.82569484161877e-09
1851,7.739326512989919e-09
1852,1.4323200403509873e-08
1853,8.957897534855874e-09
1854,1.558699391779328e-09
1855,5.306937111981824e-10
1856,0.0
1857,0.0
1858,8.31924928945682e-09
1859,1.476730293603623e-08
1860,3.204028820036342e-09
1861,5.187560159214399e-09
1862,6.325180823552046e-09
1863,1.7980635647063536e-08
1864,1.342523781033833e-08
1865,1.0825742080555756e-08
1866,1.0217787504984699e-08
1867,7.279217228983725e-09
1868,6.915823469455518e-09
1869,5.860222973552709e-09
1870,2.6376625328339287e-08
1871,7.434824311758348e-09
1872,3.628403577593531e-09
1873,8.979006871356887e-09
1874,3.5847653734322193e-09
1875,3.432916173551348e-09
1876,4.836811839936672e-09
1877,3.710889595609501e-09
1878,4.831270938865373e-09
1879,1.0385853066452455e-08
1880,5.776061406947974e-09
1881,1.673401861523871e-08
1882,1.3310770263785798e-08
1883,6.319338941018771e-10
1884,1.1883054540362536e-08
1885,9.023890079618013e-09
1886,1.4197620856748472e-08
1887,1.4363633837888301e-08
1888,3.804368819970705e-09
1889,1.0650732740202784e-08
1890,1.3108772956016423e-09
1891,1.211101796627645e-08
1892,4.387958441043338e-09
1893,1.1085149687062312e-08
1894,1.0082462864602348e-08
1895,7.22233739480771e-09
1896,7.076434549446731e-09
1897,9.905413378419325e-09
1898,1.0185038590293516e-08
1899,7.185851913504848e-09
1900,8.30568502863116e-09
1901,5.58873880507349e-09
1902,3.437198747846537e-09
1903,4.320176216765503e-09
1904,6.449550227216605e-09
1905,3.096455536422127e-09
1906,1.5432553013283723e-09
1907,2.0571373937627868e-08
1908,9.822778146428846e-09
1909,1.0451868703853506e-08
1910,3.740905363258662e-09
1911,2.128149656499545e-09
1912,6.251305251225858e-09
1913,1.590896969716482e-09
1914,4.018046340092951e-09
1915,2.3561523843085297e-09
1916,2.197492410260793e-09
1917,4.386569774084137e-09
1918,1.033773866510046e-08
1919,2.762354567309444e-09
1920,4.543339038320937e-09
1921,2.2718242842501013e-09
1922,7.377935484775833e-10
1923,5.307974060286824e-09
1924,0.0
1925,8.798542339150117e-09
1926,6.687683296036084e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,1.2254447234738564e-08
1930,8.402882833991043e-09
1931,5.7026783295555106e-09
1932,7.6716757391182e-09
1933,9.176529758292418e-09
1934,3.5944740517379614e-09
1935,9.574627313213568e-09
1936,1.2124714565686645e-09
1937,6.295559185076627e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,1.5214697057785997e-08
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,1.089252066321933e-08
1946,6.960552134671616e-09
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,8.835307596655184e-09
1950,5.317680518146517e-09
1951,0.0
1952,2.1089607837865287e-09
1953,6.464296653518886e-09
1954,1.9545072227344917e-09
1955,0.0
1956,7.849027205963921e-09
1957,1.5903067307476704e-08
1958,4.9633461784992505e-09
1959,6.200598257066758e-09
1960,4.844583401109048e-09
1961,9.03260666262895e-09
1962,6.341956293454132e-09
1963,3.879631726988464e-09
1964,4.867174663303331e-09
1965,6.5664522708175355e-09
1966,1.6617224263271169e-09
1967,7.888536934785861e-09
1968,9.431973424511852e-09
1969,6.358460868938209e-09
1970,4.598724956395017e-09
1971,4.1107179882260425e-09
1972,3.5911027485013847e-09
1973,5.513203671370093e-09
1974,7.875800456247362e-09
1975,5.711480177694739e-09
1976,7.998937512354587e-09
1977,4.7014254711541525e-09
1978,4.158414057542359e-09
1979,4.096381456264453e-09
1980,8.527726080842513e-09
1981,1.2018544381930951e-08
1982,4.966001831974154e-09
1983,6.315316269933646e-09
1984,8.69851302098823e-09
