year,voulaient_VERB établir_VERB,voulaient_VERB rétablir_VERB
1800,2.829747991484055e-08,9.432493897065797e-09
1801,8.572257570449437e-08,2.3811825844433088e-09
1802,3.1329761895904085e-08,6.713520406265161e-09
1803,4.6808139586573816e-08,2.3404069793286908e-08
1804,1.038177401824214e-07,5.19088700912107e-08
1805,1.2224374756897305e-07,3.980028751016107e-08
1806,2.5935023018064385e-08,2.305335300434308e-08
1807,5.97860605466849e-08,2.562259560079383e-08
1808,5.891792298484688e-08,1.3596443970698147e-08
1809,5.421673421324158e-08,1.3554183553310395e-08
1810,6.31834211617388e-08,1.1700633351097167e-08
1811,3.008491944456182e-08,2.757784400841956e-08
1812,2.400487453257938e-08,2.6672082320544632e-09
1813,7.189353823378042e-08,8.052076339026826e-08
1814,5.349351184236184e-08,2.5173417128598885e-08
1815,1.3755840200246894e-07,2.966945977789237e-08
1816,9.038654980031424e-08,1.8540831092650478e-08
1817,1.2299300067297736e-07,4.514932783195036e-08
1818,8.225612191381515e-08,6.318224166079744e-08
1819,1.0247539705687814e-07,8.384350280721264e-08
1820,1.2222476186707354e-07,3.559944161679596e-08
1821,8.480879643002481e-08,6.7058117281249e-08
1822,6.115625694746996e-08,9.223566621585633e-08
1823,8.499110748516614e-08,5.830785099192326e-08
1824,5.5579342017608724e-08,6.14741253457396e-08
1825,9.774041842547376e-08,2.3774695989686734e-08
1826,5.6371099788066203e-08,3.082794464148719e-08
1827,9.8624823863247e-08,4.7929820112813104e-08
1828,1.3299836609803606e-07,2.7516904310687096e-08
1829,8.315980437600956e-08,6.344150449422159e-08
1830,1.1480519646056564e-07,1.878630406793036e-08
1831,7.171954763407484e-08,1.4032085715598441e-08
1832,1.244757186213974e-07,4.8707889277466165e-08
1833,7.645194699534841e-08,1.7375443306377747e-08
1834,9.987947890977011e-08,3.267085801894609e-08
1835,6.655517381659593e-08,6.201732105637348e-08
1836,1.0887615076171642e-07,4.166864897570122e-08
1837,9.671468603755784e-08,3.826840000442644e-08
1838,1.0667553596022117e-07,3.471689069556305e-08
1839,8.180025901083354e-08,3.5656523067473245e-08
1840,1.0064108124652194e-07,4.33138822586443e-08
1841,1.2006425720301195e-07,1.926164472365599e-08
1842,1.1605298766426131e-07,5.2324466537356784e-08
1843,1.2109167357721162e-07,5.198081609592009e-08
1844,1.0373381087447342e-07,3.4577936958157807e-08
