year,doit_VERB entrer_VERB,doit_VERB rentrer_VERB
1800,9.96700123323535e-07,1.1004575384276905e-07
1801,1.1620171562753967e-06,1.0953439755212457e-07
1802,7.765305554130464e-07,1.544109693440987e-07
1803,9.732192438605125e-07,1.2482171030114841e-07
1804,1.1197485036973376e-06,1.3100809326260787e-07
1805,9.864785397439846e-07,1.904728037516179e-07
1806,8.529740398444119e-07,2.2765186713513685e-07
1807,1.0932308214250952e-06,1.224190668835945e-07
1808,1.0310636753274594e-06,7.478044494746428e-08
1809,1.0097866152136703e-06,7.90660692473466e-08
1810,9.337105666418211e-07,8.424456154898508e-08
1811,8.373636433134379e-07,1.0780430415024966e-07
1812,9.655293524701847e-07,1.1735716043403954e-07
1813,9.978823527490022e-07,1.552900528167811e-07
1814,8.244294349424308e-07,1.6677388714469998e-07
1815,5.36747506885149e-07,1.5104451733805035e-07
1816,1.1147674285894027e-06,3.916750586085982e-07
1817,7.457423407686292e-07,1.9149543106777855e-07
1818,8.988567969936412e-07,1.6332012364728143e-07
1819,8.767339636506222e-07,7.970308502081025e-08
1820,7.048689667499275e-07,1.4239776646718383e-07
1821,8.096282044789405e-07,1.5383922402634198e-07
1822,8.942849376580853e-07,1.4737655362750957e-07
1823,6.749875183231779e-07,2.0457162008824525e-07
1824,7.27584165360895e-07,2.3579116259497823e-07
1825,8.514863338859868e-07,2.236582474779425e-07
1826,7.363474878729903e-07,1.6118610801640898e-07
1827,9.152752227237215e-07,1.7512819283638237e-07
1828,7.750594477329287e-07,1.5317742452225502e-07
1829,6.584199354620068e-07,1.9203913836918218e-07
1830,9.382715688843746e-07,2.4839670231813216e-07
1831,8.949352263698529e-07,1.7929886553247343e-07
1832,9.470978739045677e-07,2.6112840600944764e-07
1833,7.517774633925001e-07,2.814821584706806e-07
1834,8.84913504251017e-07,1.8015644798197172e-07
1835,7.04123465311568e-07,1.557996114343041e-07
1836,6.707308557452052e-07,1.6062593033439043e-07
1837,7.931995469334652e-07,1.468115016223237e-07
