year,devront_VERB envoyer_VERB,devront_VERB renvoyer_VERB
1800,1.5720821977538435e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,4.923248297927785e-08,0.0
1803,9.751696339321825e-09,0.0
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,0.0
1807,3.4163463169534225e-08,1.1387820464392462e-08
1808,1.8128591960930862e-08,0.0
1809,1.581321384946932e-08,4.518061036407062e-09
1810,5.616304221689461e-08,0.0
1811,5.264861258069686e-08,5.0141535368197765e-09
1812,9.068507722531649e-08,5.3344164641089264e-09
1813,4.601186631703058e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,2.7811246638975717e-08,6.952811659743929e-09
1817,3.113746815941454e-09,6.227493631882908e-09
1818,8.344824387052086e-09,0.0
1819,1.449147024601416e-08,3.1053151161586356e-09
1820,5.933240565525466e-09,0.0
1821,8.875339574387908e-09,2.9584463767662328e-09
1822,9.023054303725075e-09,0.0
1823,2.9648060007048116e-08,7.906149512848515e-09
1824,1.0947446504872005e-08,8.421112696055388e-10
1825,2.201360693732113e-08,6.163809906922779e-09
1826,4.1397527184017235e-08,0.0
1827,2.3964910056406552e-08,1.8434546111834038e-09
1828,4.586150481600271e-08,9.172301251858528e-10
1829,2.743416338546467e-08,3.429270423183084e-09
1830,1.5655253093882493e-08,5.218417697960831e-09
1831,5.14509785887185e-08,1.5591206103948707e-09
1832,3.3824925083081325e-08,1.2176972319366541e-08
1833,5.444305273272221e-08,2.3167257001688313e-09
1834,6.16079063320285e-08,6.534171426153534e-09
1835,2.117664621437143e-08,6.806779140333674e-09
1836,1.8818100855355624e-08,0.0
1837,3.339787468803479e-08,4.87052354003481e-09
1838,3.5348108440302894e-08,1.8936485712828244e-09
1839,2.586845759822154e-08,4.194885327990505e-09
1840,2.0383003729307347e-08,0.0
1841,2.0545755319290038e-08,1.2841097074556274e-09
1842,2.750388716776797e-08,5.366612043644636e-09
1843,4.016699506337318e-08,2.953455480181333e-09
1844,3.567564732520623e-08,0.0
1845,1.9530798311961917e-08,6.138250796539069e-09
1846,3.0443406018321184e-08,1.7563503984519002e-09
1847,4.853901458545806e-08,5.3932236454556914e-09
1848,3.539897619475596e-08,4.02261068899179e-09
1849,4.8600607982507427e-08,9.217356655710773e-09
1850,2.7834882843080777e-08,1.0183494048021657e-08
1851,3.289213879043018e-08,1.0319102017319892e-08
1852,2.7344290387532055e-08,0.0
1853,3.642878354526147e-08,0.0
1854,1.9743524148907454e-08,0.0
1855,1.1675261646360013e-08,0.0
1856,1.7602443946884705e-08,2.5885946719483854e-09
1857,2.4895696171256532e-08,1.4644527812635033e-09
1858,1.6149130033227266e-08,5.3830437884982985e-09
1859,1.2221216039165483e-08,5.092173349652285e-10
1860,4.439868561689764e-08,3.661747127736703e-09
1861,4.715963797252698e-08,1.8863854922557266e-09
1862,2.84633134839396e-08,4.517986262886353e-10
1863,2.996772607843923e-08,0.0
1864,3.0206784629172034e-08,1.9178911792039344e-09
1865,2.58876440284439e-08,4.706844358715045e-10
1866,4.4277076227672296e-08,4.865612912574591e-10
1867,2.2808213984149006e-08,1.94112459439566e-09
1868,2.9639243948054173e-08,4.93987406535723e-10
1869,4.248661511496721e-08,9.767038289254515e-10
1870,2.6376625328339287e-08,1.7202146374017957e-09
1871,4.460894587055009e-08,3.18635318130589e-09
1872,4.2936108002322726e-08,7.256807155187062e-09
1873,2.454261860407314e-08,2.3944017879529156e-09
1874,3.2262889249068394e-08,5.974609140757536e-10
1875,2.7463329388410784e-08,1.1443054281912168e-09
1876,3.143927784776679e-08,6.04601479992084e-10
1877,3.958282235316801e-08,0.0
1878,4.3481438893877566e-08,0.0
1879,4.215434401544371e-08,0.0
1880,6.35366745882493e-08,3.2089231272180996e-09
1881,4.9504802035471585e-08,0.0
1882,4.9249848643739824e-08,0.0
1883,3.2860562271253e-08,0.0
1884,4.291102939646407e-08,1.9805090900604227e-09
1885,5.994441210077639e-08,1.933690763067375e-09
1886,5.808117364836107e-08,6.453463874400711e-10
1887,5.419007464979586e-08,1.9586774424595887e-09
1888,5.389522428345117e-08,1.268122939990235e-09
1889,4.009687515349469e-08,3.132568426877924e-09
1890,7.078737240817645e-08,2.6217545912032847e-09
1891,5.035633776628856e-08,7.649063604731055e-09
1892,5.7043461509920235e-08,3.1342561879199593e-09
1893,4.8035648347877213e-08,6.158416554491453e-10
1894,8.381046967542716e-08,7.561847148451761e-09
1895,5.838056083007359e-08,2.4074457982692365e-09
1896,5.248355705589347e-08,4.1279202278587945e-09
1897,5.2440423559119154e-08,2.330685422435863e-09
1898,4.7530182456512193e-08,3.3950129374460403e-09
1899,4.698441813388854e-08,3.8693048765026106e-09
1900,5.294874227956825e-08,3.633737311048435e-09
1901,4.470991044058792e-08,5.58873880507349e-09
1902,4.517461249520238e-08,3.928227076954727e-09
