year,voudraient_VERB amener_VERB,voudraient_VERB ramener_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,7.143547975374531e-09
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,1.152667650217154e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,2.8757416004054903e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,3.113746815941454e-09,1.0898113522728181e-08
1818,0.0,1.7881765401739358e-08
1819,0.0,7.24573512300708e-09
1820,1.4239777357261119e-08,3.322614716694261e-08
1821,9.86148829262845e-10,1.2819934447350079e-08
1822,0.0,9.023054303725075e-09
1823,8.894418535021487e-09,1.4824030003524058e-08
1824,0.0,8.421112696055388e-10
1825,0.0,5.283265824829186e-09
1826,0.0,0.0
1827,9.217273166939322e-09,1.8434546111834038e-09
1828,1.2841221419535032e-08,9.172301140836225e-09
1829,0.0,1.5431716349212365e-08
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,2.494592976631793e-08,1.2472964883158966e-08
1832,0.0,1.7588959622116818e-08
1833,1.1583628500844156e-09,1.2741991461950875e-08
1834,9.334530925997342e-10,6.534171426153534e-09
1835,1.8907719834260206e-08,2.117664621437143e-08
1836,4.032449929525228e-09,7.392825018825988e-09
1837,0.0,1.3915782304252389e-08
1838,0.0,0.0
1839,1.3982950353153e-09,6.9914749545318955e-09
1840,9.554533164646273e-09,1.0191501864653674e-08
1841,6.420548537278137e-09,0.0
1842,2.2808102073668124e-08,1.6770663080478698e-08
1843,4.134837805480629e-09,1.2404512972352677e-08
1844,0.0,4.390849017710252e-09
1845,1.7298706467272496e-08,6.138250796539069e-09
1846,8.196302303531411e-09,1.7563503984519002e-09
1847,1.0247124926365814e-08,1.4022381478184798e-08
1848,3.218088684420195e-09,1.126331028444838e-08
1849,1.6758829879393033e-09,5.865590679832167e-09
1850,0.0,2.0366988096043315e-09
1851,0.0,1.9993260380601896e-08
1852,0.0,2.6042181744401205e-09
1853,2.9859659189668264e-09,8.957897534855874e-09
1854,2.5978321716024766e-09,7.27393034694046e-09
1855,6.8990182455763716e-09,4.2455496895854594e-09
1856,7.765783571755946e-09,5.694908100650764e-09
1857,0.0,1.513267733344037e-08
1858,7.829881631948865e-09,1.8106600663259087e-08
1859,1.018434669930457e-08,2.9025388315062628e-08
1860,2.288591982591015e-09,3.204028820036342e-09
1861,9.903524222920623e-09,1.744906619194353e-08
1862,1.1746764450037972e-08,3.34330998441601e-08
1863,9.989241656072068e-10,1.4983863039219614e-08
1864,4.315255264231155e-09,1.2466292886870178e-08
1865,3.294791106611683e-09,1.694463946932956e-08
1866,4.379051787850585e-09,1.751620715140234e-08
1867,2.426405742994575e-09,1.8925964795357686e-08
1868,3.457911734727759e-09,8.397785578040384e-09
1869,6.8369265804335555e-09,1.0255390314739543e-08
1870,1.9495765002375265e-08,8.027668307875047e-09
1871,0.0,5.3105884134652115e-09
1872,0.0,7.861540751719076e-09
1873,8.979006871356887e-09,8.380406590902112e-09
1874,6.572069999322139e-09,1.3741600746186577e-08
1875,2.8607636259891933e-09,1.4303817685856757e-08
1876,4.232210137899983e-09,8.464420275799966e-09
1877,5.566334504436554e-09,6.184815992682502e-10
1878,0.0,3.0195443923020093e-09
1879,2.443730107160036e-09,1.588424503040642e-08
1880,4.492492600149944e-09,7.701415505323439e-09
1881,1.324776466304911e-08,4.183504653809678e-09
1882,2.6621540527571597e-09,5.324308105514319e-09
1883,1.8958017378167824e-09,2.0853818227806187e-08
