year,eurent_VERB emporté_VERB,eurent_VERB remporté_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,6.713520406265161e-08
1803,7.801356893821776e-09,2.145373123596528e-08
1804,1.2359254952798437e-08,4.943701892301533e-09
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,0.0,1.3596443970698147e-08
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,1.1700633351097167e-08,0.0
1811,1.7549536934780008e-08,4.763445815569867e-08
1812,0.0,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,7.784366928831332e-09,9.341240669868967e-09
1818,4.768470951432846e-09,3.2187177367859476e-08
1819,1.035105001712111e-09,3.622867339458935e-08
1820,2.3732962262101864e-09,2.1359666035891678e-08
1821,2.070912508145284e-08,1.7750679148775816e-08
1822,1.604098542884458e-08,3.0076847679083585e-09
1823,1.1859224713361982e-08,1.3835761869529506e-08
1824,1.2631669044083083e-08,3.536867154707579e-08
1825,7.924898959288385e-09,7.044354433105582e-09
1826,1.7615968683770689e-09,1.6735169694470642e-08
1827,3.871254605769536e-08,1.474763688946723e-08
1828,1.6510142586412258e-08,1.8344602503717056e-09
1829,0.0,6.001223074036943e-09
1830,0.0,1.7742621594152297e-08
1831,1.870944643656003e-08,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.7375443306377747e-08,1.6217079235048004e-08
1834,1.4001796166951408e-08,3.733812370398937e-09
1835,2.0420337421001022e-08,9.832014313815307e-09
1836,2.755507466645213e-08,5.376600054063374e-09
1837,1.530736071231331e-08,6.262101948095733e-09
1838,1.2624323808552163e-08,3.029837714052519e-08
1839,4.894032734625853e-09,4.194885327990505e-09
1840,6.3696887764308485e-09,1.6561189752906103e-08
1841,4.494383976094696e-09,7.704658244733764e-09
1842,1.2745703159566801e-08,3.3541325272778977e-09
1843,6.497602011990011e-09,3.5441467538532834e-09
1844,1.0428266250528395e-08,1.0977122322231025e-08
1845,7.812318791877715e-09,3.348136878855712e-09
1846,1.1709002656346001e-08,1.3465353276842507e-08
1847,3.235934187273415e-09,2.1572894581822766e-09
1848,1.206783295515379e-08,4.02261068899179e-09
1849,1.508294644736452e-08,9.217356655710773e-09
1850,3.394498016007219e-09,6.788996032014438e-09
1851,9.029214709244116e-09,1.6768540334055615e-08
1852,2.6042181744401205e-09,5.208436348880241e-09
1853,4.180352064508952e-09,5.3747388761848924e-09
1854,3.117398783558656e-09,8.832629738719788e-09
1855,6.8990182455763716e-09,6.8990182455763716e-09
1856,6.73034605824796e-09,2.0708756931497874e-09
1857,3.026535466688074e-08,1.4644527812635033e-09
1858,1.0766087576996597e-08,2.4468380654951716e-09
1859,3.5645213447565993e-09,1.2730433596175317e-08
1860,1.0069804545764782e-08,1.373155145145688e-09
1861,3.772770984511453e-09,5.187560159214399e-09
1862,6.776979422085105e-09,4.9697850279528666e-09
1863,6.99246927027275e-09,1.0988165932701577e-08
1864,2.3973640850272204e-09,0.0
1865,8.943004559114343e-09,3.765475486972036e-09
1866,2.919367858567057e-09,5.352174259343201e-09
1867,5.82337378318698e-09,9.7056229719783e-10
1868,9.87974813071446e-10,1.975949626142892e-09
1869,7.813630631403612e-09,9.767038289254515e-10
1870,1.1468097582678638e-09,5.160643912205387e-09
1871,2.1242353653860846e-08,1.0621177271019633e-09
1872,2.4189357183956872e-09,3.628403577593531e-09
1873,5.9860045809045914e-09,0.0
1874,2.3898436563030145e-09,1.1949218281515073e-09
1875,2.2886108563824337e-09,2.8607636259891933e-09
1876,1.269663130187837e-08,0.0
1877,3.0924081073635534e-09,1.2369632429454214e-08
1878,4.22736201599605e-09,3.0195443923020093e-09
1879,3.665595160740054e-09,0.0
1880,1.9253538763308597e-09,2.5671385017744797e-09
1881,4.8807553554297556e-09,6.972507571312292e-10
1882,3.3276925659464496e-09,2.6621540527571597e-09
1883,4.423537092179686e-09,6.319338941018771e-10
1884,3.9610181801208455e-09,9.242375753615306e-09
1885,1.933690763067375e-09,0.0
1886,1.2906927748801422e-09,3.2267319927115068e-09
1887,5.223139698529167e-09,1.9586774424595887e-09
1888,4.4384300679212174e-09,1.9021844099853524e-09
1889,1.2530273485467092e-09,7.51816386923565e-09
1890,3.9326319978272295e-09,1.3108772956016423e-09
1891,3.1871101313640793e-09,3.1871101313640793e-09
1892,2.5074049503359674e-09,6.268512375839919e-10
1893,1.2316833108982905e-09,6.158416554491453e-10
1894,6.9316934414587195e-09,1.2603078580752936e-09
1895,6.018614495673091e-09,0.0
1896,5.897029087265082e-09,0.0
1897,5.2440420894583895e-09,5.826713556089658e-10
1898,5.092519295146758e-09,0.0
1899,4.4220627160029835e-09,5.527578395003729e-10
1900,6.22926377147337e-09,5.191053142894475e-10
1901,1.0618603774048552e-08,2.794369402536745e-09
1902,1.4730852093691738e-09,3.437198747846537e-09
1903,4.320176216765503e-09,0.0
1904,1.5586412160928376e-08,3.2247751136083025e-09
1905,5.160759042333041e-10,5.160759042333041e-10
1906,5.144184522798412e-10,0.0
1907,1.5428529565042481e-09,0.0
1908,2.9468334439286537e-09,9.822778146428846e-10
1909,0.0,5.500983557560346e-10
1910,5.344150677544235e-10,4.809735720812114e-09
1911,8.51259862599818e-09,7.980561100850991e-09
1912,2.6047106693738442e-09,0.0
1913,1.590896969716482e-09,4.242391771214216e-09
1914,4.68772043404897e-09,0.0
1915,1.1780762143587253e-08,0.0
1916,2.197492410260793e-09,1.0987462051303964e-09
1917,1.0966424435210342e-09,3.289927441585405e-09
1918,0.0,0.0
1919,7.366278698128781e-09,1.8415696745321952e-09
1920,0.0,7.572231730534895e-10
1921,1.5145494858259667e-09,0.0
1922,2.951174193910333e-09,7.377935484775833e-10
1923,3.1847844361720945e-09,0.0
1924,2.578324886925998e-09,0.0
1925,1.0998177923937646e-09,0.0
1926,1.1146138456652466e-09,0.0
1927,1.1149224876660924e-09,0.0
1928,2.2852082448565625e-09,4.570416489713125e-09
1929,0.0,2.2280812750352652e-09
1930,4.201441416995522e-09,0.0
1931,0.0,2.2810713318222042e-09
1932,0.0,0.0
1933,2.2941324395731044e-09,1.1470662197865522e-09
1934,1.1981580172459871e-09,1.1981580172459871e-09
1935,0.0,2.393656828303392e-09
1936,2.424942913137329e-09,1.2124714565686645e-09
1937,3.777335333410292e-09,2.5182236296217297e-09
1938,0.0,1.2965214457594243e-09
1939,0.0,0.0
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,0.0,8.854508237732261e-09
1942,0.0,3.034211770724937e-09
1943,0.0,8.709705845433291e-09
1944,0.0,0.0
1945,0.0,1.089252066321933e-08
1946,4.1763312808029696e-09,2.7842208538686464e-09
1947,4.7683483828109274e-09,1.1920870957027319e-09
1948,0.0,4.348755133776194e-09
1949,6.8719057111366055e-09,6.8719057111366055e-09
1950,3.190608444114673e-09,2.1270722960764488e-09
1951,2.1322803522849654e-09,0.0
1952,1.0544803918932644e-09,0.0
1953,0.0,0.0
1954,7.818028890937967e-09,1.9545072227344917e-09
1955,1.8771215692936494e-09,0.0
1956,8.72114114258693e-09,8.72114158667614e-10
1957,2.6505113659425206e-09,2.6505113659425206e-09
1958,1.6544486891589827e-09,8.272243445794913e-10
1959,5.425523585955716e-09,7.750747821333448e-10
1960,1.3841666701708277e-09,0.0
1961,1.3896318540318475e-09,1.3896318540318475e-09
1962,2.5367825617905737e-09,1.2683912808952869e-09
1963,2.5864212993553792e-09,6.466053470433053e-09
1964,2.4335873316516654e-09,1.2167936658258327e-09
1965,5.47204326295514e-09,2.188817349590977e-09
1966,3.8773522170743036e-09,3.3234448526542337e-09
1967,1.4791006197611978e-09,3.944268467392931e-09
1968,1.3474247273492779e-09,1.3474247273492779e-09
1969,5.904285060864822e-09,3.1792304344691047e-09
1970,3.219107425067591e-09,4.5987250119061684e-10
1971,3.5968783507200897e-09,0.0
1972,2.565073486948677e-09,1.5390440033513642e-09
1973,1.102640756478479e-09,2.205281512956958e-09
1974,1.1251143350321513e-09,2.812785782069227e-09
1975,3.4268881066168433e-09,1.1422960355389478e-09
1976,5.713526873840635e-10,0.0
1977,4.7014254711541525e-09,0.0
1978,2.3762365408686037e-09,5.940591130126904e-09
1979,2.925986564150662e-09,1.7555920051037788e-09
1980,2.8425752862659692e-09,2.2740602734216964e-09
1981,3.1627747087981106e-09,6.325549528618524e-10
1982,6.207502289967692e-10,2.483000915987077e-09
1983,5.052252838311233e-09,6.315316047889041e-10
1984,5.799008495621649e-10,1.1598016991243298e-09
1985,3.609334831011779e-09,4.812446441349039e-09
1986,2.3977941854269602e-09,1.1988970927134801e-09
1987,2.4443267410134695e-09,6.110816852533674e-10
1988,0.0,2.99827696004229e-09
1989,1.0976244357863152e-09,0.0
1990,0.0,1.6345953479657283e-09
1991,2.9307325455363298e-09,1.1722930404189924e-09
1992,5.509944167592096e-10,5.509944167592096e-10
1993,1.661762283333701e-09,5.539207426075166e-10
1994,1.0549853213248639e-09,1.0549853213248639e-09
1995,4.337960657352369e-09,3.795715741716776e-09
1996,1.067618438099771e-09,1.067618438099771e-09
1997,1.917957792585412e-09,1.438468344439059e-09
1998,9.536258449571733e-10,2.3840645013706308e-09
1999,2.7421207526856506e-09,1.3710603763428253e-09
2000,2.6508188977203417e-09,8.836062992401139e-10
2001,4.3812117822561447e-10,0.0
2002,3.504977197366088e-09,2.1906108038649563e-09
2003,2.083461403401543e-09,0.0
2004,3.523833003171717e-09,0.0
2005,1.3511248786457486e-09,2.702249757291497e-09
2006,4.117890028965121e-09,1.2353669198716943e-09
2007,1.997239706952314e-09,1.5977917877663117e-09
2008,2.554463751636149e-09,8.514879357157668e-10
2009,2.384096253749135e-09,1.907277002999308e-09
2010,2.8342759250676863e-09,1.8895172093635892e-09
2011,7.64794394481072e-10,1.529588788962144e-09
2012,4.425528388196653e-09,2.382976926895708e-09
2013,4.741512515948898e-09,1.3945624655065103e-09
2014,4.330890313042346e-09,1.0827225782605865e-09
2015,5.763096222466402e-09,8.866301581811342e-10
2016,6.006886099640951e-09,4.142679976837371e-09
2017,3.773417134311785e-09,3.018733707449428e-09
2018,4.904786798931582e-09,1.290733298020541e-09
2019,2.2958890344426663e-09,7.65296326310505e-10
