year,tant_ADV apporté_VERB,tant_ADV rapporté_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,0.0,0.0
1802,4.475680270843441e-09,1.3427040812530322e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.2775640928784924e-08
1808,6.798221985349073e-09,1.1330369531492579e-08
1809,0.0,0.0
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.0056614147279106e-08,0.0
1812,0.0,2.6672082320544632e-09
1813,5.751483289628823e-09,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,2.0858434979231788e-08,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,4.140420006848444e-09,0.0
1820,9.493184904840746e-09,0.0
1821,9.86148829262845e-10,0.0
1822,8.02049271442229e-09,0.0
1823,7.807322788266902e-08,1.9765373782121287e-09
1824,1.8526447931321854e-08,1.3473780313688621e-08
1825,6.163809906922779e-09,8.805443041381977e-10
1826,8.807984341885344e-10,3.5231937367541377e-09
1827,5.530363722527909e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,2.705993873419743e-09
1833,0.0,2.3167257001688313e-09
1834,1.8669062740173104e-08,2.8003592777992026e-09
1835,3.479020449503878e-08,3.781543966852041e-09
1836,2.5538851033957144e-08,1.3441500135158435e-09
1837,6.957890930081589e-10,1.3915781860163179e-09
1838,2.7142295522253335e-08,3.1560809521380406e-09
1839,1.6080392128969834e-08,1.3982950353153e-09
1840,0.0,0.0
1841,5.778493683550323e-09,1.2841097074556274e-09
1842,8.720745015011744e-09,6.708265054555795e-10
1843,1.1813822142769936e-09,1.1813822142769936e-09
1844,4.390849017710252e-09,0.0
1845,1.1160455892778032e-09,0.0
1846,1.1709002656346001e-08,6.439951683034906e-09
1847,2.1572894581822766e-09,1.0786447290911383e-09
1848,4.82713291560799e-09,0.0
1849,4.1897072478036534e-09,3.3517659758786067e-09
1850,1.2220192857625989e-08,0.0
1851,1.0319102017319892e-08,0.0
1852,4.557382027314816e-09,1.3021090872200602e-09
1853,2.9859659189668264e-09,2.9859659189668264e-09
1854,5.7152309551611324e-09,0.0
1855,4.2455496895854594e-09,1.0613874223963649e-09
1856,5.177189232874468e-10,0.0
1857,3.4170564155999728e-09,3.905207268672939e-09
1858,5.3830437884982985e-09,6.8511463169329545e-09
1859,4.582956236731661e-09,1.5276520048956854e-09
1860,1.0527522853465143e-08,9.154367819341758e-10
1861,1.4147891747029462e-09,4.715963730639317e-10
1862,9.035972525772706e-10,6.776979422085105e-09
1863,1.4983863039219614e-09,4.994620828036034e-10
1864,4.794728170054441e-09,2.8768367688059016e-09
1865,1.882737743486018e-09,4.706844358715045e-10
1866,1.4596839292835284e-09,2.919367858567057e-09
1867,4.85281148598915e-10,2.426405742994575e-09
1868,0.0,0.0
1869,2.441759683335931e-09,0.0
1870,1.6055336615750093e-08,0.0
1871,0.0,1.0621177271019633e-09
1872,0.0,4.23313739617015e-09
1873,0.0,0.0
1874,2.9873046258899194e-09,5.974609140757536e-10
1875,5.721527140956084e-10,4.005069165202713e-09
1876,7.255217759905008e-09,9.673623679873344e-09
1877,1.9791411176584006e-08,1.2369631985365004e-09
1878,9.058632954861423e-09,2.4156354694326865e-09
1879,6.10932526790009e-10,1.221865053580018e-09
1880,1.9253538763308597e-09,6.417846254436199e-10
1881,4.183504653809678e-09,6.972507571312292e-10
1882,4.6587693702804245e-09,6.655385131892899e-10
1883,0.0,3.159669414998234e-09
1884,4.621187876807653e-09,4.621187876807653e-09
1885,7.7347630522695e-09,0.0
1886,3.2267319927115068e-09,3.2267319927115068e-09
1887,3.264462256069578e-09,0.0
1888,0.0,8.876860135842435e-09
1889,3.132568426877924e-09,6.265136742733546e-10
1890,0.0,0.0
1891,1.9122659011827636e-09,0.0
1892,2.5074049503359674e-09,1.8805537127519756e-09
1893,1.847525021858587e-09,6.158416554491453e-10
1894,6.301539290376468e-09,1.8904617871129403e-09
1895,3.611168697403855e-09,2.4074457982692365e-09
1896,1.179405795248556e-09,1.179405795248556e-09
1897,1.7480140668268973e-09,2.330685422435863e-09
1898,2.8291773368493978e-09,3.960848538042683e-09
1899,1.6582735185011188e-09,5.527578395003729e-10
1900,3.114631885736685e-09,1.5573159428683425e-09
1901,4.470991132876634e-09,1.1177477832191585e-09
1902,8.838511256215043e-09,9.820567692386817e-10
1903,5.400220270956879e-10,2.1600881083827517e-09
1904,1.6123875568041512e-09,0.0
1905,6.708986699521802e-09,1.5482277682110634e-09
1906,4.629765903985117e-09,4.629765903985117e-09
1907,4.6285588695127444e-09,4.114274698707732e-09
1908,4.911389073214423e-10,7.858222517143076e-09
1909,6.60118004702781e-09,1.6502950117569526e-09
1910,8.01622590529405e-09,5.344150677544235e-10
1911,3.7242617878519013e-09,1.0640748282497725e-09
