year,veut_VERB assurer_VERB,veut_VERB rassurer_VERB
1800,6.917161954334006e-08,3.144164484325529e-09
1801,1.3334621939975477e-07,1.1905912700171939e-08
1802,1.3874608839614666e-07,2.0140561218795483e-08
1803,9.946730017418304e-08,1.755305234496518e-08
1804,1.0134588990240445e-07,1.2359254952798437e-08
1805,9.381496113292087e-08,5.970043304159844e-08
1806,6.051504897186533e-08,1.4408345627714425e-08
1807,1.7366426163789583e-07,1.9928686256776018e-08
1808,1.0877155176558517e-07,6.798221985349073e-09
1809,1.3102376783535874e-07,2.259030518203531e-09
1810,1.2168659679900884e-07,3.510190182964834e-08
1811,9.27618373225414e-08,0.0
1812,2.0804223765935603e-07,2.1337665856435706e-08
1813,2.0992914073758584e-07,1.4378708002027452e-08
1814,1.2272040805783035e-07,9.440030979135372e-09
1815,1.294667271167782e-07,3.236668177919455e-08
1816,1.62232268507978e-07,1.1588019432906549e-08
1817,3.42512151974006e-08,1.556873407970727e-09
1818,7.867976847819591e-08,1.9073883805731384e-08
1819,1.4698491668241331e-07,9.315945348475907e-09
1820,1.696906792858499e-07,4.746592452420373e-09
1821,1.1340711836282935e-07,6.903041693817613e-09
1822,1.1028177482330648e-07,1.2030739071633434e-08
1823,4.644862983127496e-08,3.9530747564242574e-09
1824,6.568468080558887e-08,1.51580028528997e-08
1825,6.868245350233337e-08,0.0
1826,1.3916614705067332e-07,2.025836387531399e-08
1827,2.479446550296416e-07,1.2904182611350734e-08
1828,1.1832268853595451e-07,6.420610709767516e-09
1829,6.687077558353849e-08,1.2859763920403111e-08
1830,9.601888706356476e-08,0.0
1831,1.637076678662197e-07,1.2472964883158966e-08
1832,9.606278439378002e-08,2.4353944638733083e-08
1833,9.266902623039641e-08,5.791814139399776e-09
1834,1.6708810335330782e-07,5.600718555598405e-09
1835,9.529490796467144e-08,1.663879345414898e-08
1836,1.0685992890557827e-07,1.0753200108126748e-08
1837,1.0784730619661786e-07,1.1132625488130543e-08
1838,1.1488134532555705e-07,3.787297142565649e-09
1839,1.2724484577120165e-07,1.1885507689157748e-08
1840,1.5414646270528465e-07,1.592422194107712e-08
1841,1.1235960073463502e-07,2.5682194149112547e-09
1842,1.25444557852461e-07,8.720745015011744e-09
1843,1.3231480977538013e-07,1.063243981747064e-08
1844,1.1471092875581235e-07,1.5367971784030487e-08
1845,1.495501038561997e-07,9.48638767539478e-09
1846,1.0889372248357176e-07,1.2294452567118697e-08
1847,1.1379702158365035e-07,1.77976389181822e-08
1848,1.1906928421012708e-07,4.82713291560799e-09
1849,1.1731180649121598e-07,8.379414495607307e-09
1850,1.0590834165213892e-07,8.82569484161877e-09
1851,6.707416133622246e-08,1.4188765717904062e-08
1852,1.1849192560475785e-07,2.408901877970493e-08
1853,1.068975805651462e-07,1.4332636411040767e-08
1854,9.45610949543152e-08,3.63696517347023e-09
1855,8.809515605889828e-08,5.306937111981824e-09
1856,8.852993715890989e-08,2.4332790005132665e-08
1857,1.0104723457970977e-07,5.857811125054013e-09
1858,1.1500138441533636e-07,1.0766087576996597e-08
1859,1.583665891757846e-07,2.3933214521321133e-08
1860,9.9324893199082e-08,2.1055045706930287e-08
1861,1.1978548286606383e-07,1.8863854478468056e-08
1862,1.2379283020891307e-07,1.1746764450037972e-08
1863,1.108805847138683e-07,1.048870412745373e-08
1864,1.294576605914699e-07,1.342523781033833e-08
1865,7.248540612181387e-08,2.3534221238463715e-09
1866,1.0266442984629975e-07,6.3252967308358166e-09
1867,1.2471726051899168e-07,3.396968040192405e-09
1868,1.0571330477660013e-07,5.9278488784286765e-09
1869,1.1378599396039135e-07,2.0510780629479086e-08
1870,1.9954489971496514e-07,1.9495765002375265e-08
1871,1.7206306779371516e-07,7.434824311758348e-09
1872,1.5420715726577328e-07,2.0560953828407946e-08
1873,1.2510749058947113e-07,2.573981916498269e-08
1874,1.200896377895333e-07,1.3741600746186577e-08
1875,1.3674450372036517e-07,1.2015206607429718e-08
1876,1.4812735571467783e-07,4.836811839936672e-09
1877,1.138006169298933e-07,1.5462040536817767e-08
1878,1.684905726051511e-07,9.662541877730746e-09
1879,1.1607718164441394e-07,2.2604503158163425e-08
1880,1.01401973040538e-07,1.4761046607247863e-08
1881,1.3875289539555524e-07,2.7890030285249168e-09
1882,1.7902985405271465e-07,9.983077475794744e-09
1883,1.7125408646734286e-07,9.479008689083912e-09
1884,1.53159362525912e-07,6.601696966868076e-09
1885,1.3922573316449416e-07,1.0313017106966527e-08
1886,1.5552848253719276e-07,1.2906927970846027e-08
1887,1.5669418473862606e-07,5.223139698529167e-09
