year,pouvaient_VERB avoir_VERB,pouvaient_VERB ravoir_VERB
1800,1.0501508995730546e-06,0.0
1801,1.1596358717724797e-06,0.0
1802,8.190494895643496e-07,0.0
1803,1.1389980727471993e-06,0.0
1804,1.5449068087036721e-06,0.0
1805,1.2309660633036401e-06,0.0
1806,1.005702529255359e-06,0.0
1807,2.0782772480743006e-06,0.0
1808,1.2191478617751272e-06,0.0
1809,1.601652684257715e-06,0.0
1810,1.7129727893916424e-06,0.0
1811,1.6045291886257473e-06,0.0
1812,1.72835098055657e-06,0.0
1813,1.918119778565597e-06,0.0
1814,1.6520054941793205e-06,0.0
1815,1.8341120266995858e-06,0.0
1816,1.7497909539088141e-06,0.0
1817,1.7421413076590397e-06,0.0
1818,1.7798317912820494e-06,0.0
1819,2.311389380338369e-06,0.0
1820,1.9140634321956895e-06,0.0
1821,2.0245636278559687e-06,0.0
1822,2.1434766495076474e-06,0.0
1823,2.2453464225691278e-06,0.0
1824,2.0126458366576117e-06,2.5263338088166165e-09
1825,2.1467669739649864e-06,0.0
1826,2.0531410882540513e-06,0.0
1827,2.5992710561695276e-06,0.0
1828,2.4792730073386338e-06,1.8344602503717056e-09
1829,2.671401716725086e-06,8.573175946935407e-09
1830,2.3378511286864523e-06,0.0
1831,2.2529293346451595e-06,0.0
1832,2.3650386538065504e-06,0.0
1833,1.9020318404727732e-06,0.0
1834,2.0563970792863984e-06,2.8003592777992026e-09
1835,2.253800175822107e-06,0.0
1836,2.2044059733161703e-06,0.0
1837,1.974649421754293e-06,0.0
1838,2.252810645586578e-06,0.0
1839,2.100239044011687e-06,6.9914751765765e-10
1840,2.362517534493236e-06,5.095750932326837e-09
1841,2.410916067674407e-06,5.1364388298225094e-09
1842,2.1399364413809963e-06,6.708265054555795e-10
1843,2.2824303869128926e-06,0.0
1844,2.3293453068617964e-06,0.0
1845,2.5490480766166e-06,1.1160455892778032e-09
1846,2.465915940774721e-06,0.0
1847,2.329333256056998e-06,0.0
1848,2.1907139853283297e-06,8.045221711050488e-10
1849,2.5062829536182107e-06,0.0
1850,2.091689566441346e-06,6.788996032014438e-10
1851,2.4153148387995316e-06,0.0
1852,2.1185314835747704e-06,0.0
1853,2.133174120899639e-06,1.7915795513800958e-09
1854,2.0626787318178685e-06,0.0
1855,1.9640974642243236e-06,0.0
1856,2.038777211055276e-06,1.5531567143511893e-09
1857,2.2450060441769892e-06,0.0
1858,2.0768761714862194e-06,4.893676019968041e-10
1859,2.3510565370088443e-06,1.5276520048956854e-09
1860,2.1096241198392818e-06,8.238931314963338e-09
1861,2.0467282411118504e-06,0.0
1862,2.144688096450409e-06,0.0
1863,2.1586752154689748e-06,0.0
1864,2.1020086933276616e-06,7.1920918109924514e-09
1865,1.9877004433510592e-06,8.47231973466478e-09
1866,1.9413796508160885e-06,0.0
1867,1.891625970529276e-06,0.0
1868,1.928032816067571e-06,1.4819622196071691e-09
1869,1.909455932036508e-06,0.0
1870,2.079166051771608e-06,0.0
1871,2.1465398276632186e-06,0.0
1872,2.0446054804779124e-06,0.0
1873,2.0454176592465956e-06,0.0
1874,2.0857360141235404e-06,0.0
1875,2.0614661480067298e-06,1.1443054281912168e-09
1876,1.99276655621361e-06,0.0
1877,1.8226652400699095e-06,4.329371083855449e-09
1878,1.7422770497432793e-06,0.0
1879,1.9134406556986505e-06,6.10932526790009e-10
1880,1.8207430230177124e-06,1.2835692508872398e-09
1881,1.8379530501988484e-06,0.0
1882,1.7776533240976278e-06,0.0
1883,1.8212334680356435e-06,0.0
1884,1.7190818653034512e-06,0.0
1885,1.607541548764857e-06,6.445635691854079e-10
1886,1.6017497728171293e-06,6.453463874400711e-10
1887,1.6511650073880446e-06,0.0
1888,1.5306244449675432e-06,0.0
1889,1.6314415915985592e-06,0.0
1890,1.6163116924872156e-06,0.0
1891,1.535549586151319e-06,0.0
1892,1.4718467582497397e-06,0.0
1893,1.5482258959309547e-06,0.0
1894,1.6188654399229563e-06,0.0
1895,1.6713692048142548e-06,0.0
1896,1.5650714431103552e-06,0.0
1897,1.4176393960951827e-06,0.0
1898,1.638093749534164e-06,2.8291773368493978e-09
1899,1.6101836308735074e-06,0.0
1900,1.4337688298837747e-06,0.0
1901,1.4033323623152683e-06,0.0
1902,1.3262676930025918e-06,0.0
1903,1.5687639915995533e-06,0.0
1904,1.4850089655737975e-06,0.0
1905,1.4992004935265868e-06,0.0
1906,1.4995298442954663e-06,0.0
1907,1.382910568281659e-06,0.0
1908,1.3221459767009947e-06,0.0
1909,1.4198038797985646e-06,1.6502950117569526e-09
1910,1.4423862921830732e-06,5.344150677544235e-10
1911,1.5024736512714298e-06,5.320374141248863e-10
1912,1.3893526329411543e-06,2.6047106693738442e-09
1913,1.301884026361222e-06,0.0
1914,1.3621177004097262e-06,0.0
1915,1.5951151226545335e-06,0.0
1916,1.4349625416798517e-06,0.0
1917,1.2644287608054583e-06,0.0
1918,1.239380026163417e-06,0.0
1919,1.2181983493064763e-06,0.0
1920,1.1835397799586644e-06,0.0
1921,1.2835806728617172e-06,7.572747429129834e-10
1922,1.1856342325700098e-06,0.0
1923,1.2516202332335524e-06,0.0
1924,1.1847403129650047e-06,0.0
1925,1.2010010550511652e-06,0.0
1926,1.087863097382069e-06,0.0
1927,1.3089189678794355e-06,0.0
1928,1.1357484481777647e-06,0.0
1929,1.1753128319469397e-06,1.1140406375176326e-09
1930,1.1175834515597671e-06,0.0
1931,1.1781733064708533e-06,0.0
1932,1.1858218158522504e-06,0.0
1933,1.2067137049598387e-06,0.0
1934,1.198157974613423e-06,0.0
1935,1.1022789294656832e-06,0.0
1936,1.0718247267504921e-06,0.0
1937,1.115573013521498e-06,0.0
1938,1.1837240663226112e-06,0.0
1939,1.195994741465256e-06,0.0
1940,1.072636223398149e-06,0.0
1941,1.1156679420309956e-06,2.9515025978810172e-09
1942,1.1530004258020199e-06,0.0
1943,1.0945196891043452e-06,0.0
1944,1.0699909580580425e-06,0.0
1945,1.3158164620108437e-06,0.0
1946,1.279349476135394e-06,0.0
1947,1.3065274515611236e-06,0.0
1948,1.0273934094584547e-06,0.0
1949,1.008206709229853e-06,0.0
1950,1.0762985311885132e-06,0.0
1951,1.075735440281278e-06,0.0
1952,1.054480435414007e-06,0.0
1953,1.1000078075085185e-06,0.0
1954,1.1062510338888387e-06,0.0
1955,1.1234573094043299e-06,0.0
1956,1.0456649306433974e-06,0.0
1957,1.1432538258304703e-06,0.0
1958,1.147360194408975e-06,8.272243445794913e-10
1959,1.1277337534920662e-06,0.0
1960,1.1004125326508074e-06,0.0
1961,1.0137364370166324e-06,0.0
1962,1.076864236893016e-06,6.341956404476434e-10
1963,1.1354389926054864e-06,0.0
1964,1.0287990335200448e-06,6.083968329129164e-10
1965,1.1496763363538776e-06,0.0
1966,1.1476962527012802e-06,0.0
1967,1.0649524710970582e-06,0.0
1968,1.164624109151191e-06,0.0
1969,1.1722277122316882e-06,0.0
1970,1.0324138202122413e-06,0.0
1971,1.006612023957132e-06,0.0
1972,1.0850260423467262e-06,0.0
1973,1.024904577207053e-06,0.0
1974,1.0699836821004283e-06,0.0
1975,9.463922765462485e-07,0.0
1976,1.0581451306279632e-06,0.0
1977,1.0466548019394395e-06,0.0
1978,1.041385644384718e-06,0.0
1979,1.0153173661819892e-06,0.0
1980,9.727292535899323e-07,0.0
1981,1.0241064956062473e-06,0.0
1982,1.0509301091587986e-06,0.0
1983,9.611910627427278e-07,0.0
1984,9.74813360699045e-07,0.0
1985,1.0226448239336605e-06,0.0
1986,9.866922709989012e-07,0.0
