year,tout_DET emplacement_NOUN,tout_DET remplacement_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,0.0,5.851017448321727e-09
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,1.1371510844071508e-08,2.842877711017877e-09
1806,1.152667650217154e-08,5.76333825108577e-09
1807,0.0,2.8469551160981155e-09
1808,1.1330369531492579e-08,4.5321479902327155e-09
1809,0.0,1.5813214071513926e-08
1810,4.680253518074551e-09,7.020380277111826e-09
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,0.0,1.6561680027393777e-08
1820,0.0,5.933240565525466e-09
1821,6.903041582795311e-09,2.9584463767662328e-09
1822,1.0025615893027862e-09,1.604098542884458e-08
1823,9.882686891060644e-10,9.882686669016039e-09
1824,8.421112696055388e-10,5.894778887238772e-09
1825,4.4027217427355936e-09,8.805443041381977e-10
1826,5.284790716153509e-09,4.403992170942672e-09
1827,5.530363889061363e-09,0.0
1828,7.337841112509125e-09,9.172301251858528e-10
1829,1.714635211591542e-09,5.143905745796928e-09
1830,7.305784865963005e-09,5.218417697960831e-09
1831,1.5591206103948707e-09,9.35472388441383e-09
1832,8.117981509236927e-09,1.2176972430388844e-08
1833,5.791814361444381e-09,1.9692169006546578e-08
1834,7.467624740797874e-09,2.8937046536725575e-08
1835,0.0,6.806779140333674e-09
1836,0.0,1.3441500135158435e-09
1837,4.174734336004349e-09,9.045257876039159e-09
1838,4.418513332993257e-09,1.3255539776935166e-08
1839,1.6080393239192858e-08,4.194885327990505e-09
1840,1.910906599622564e-09,1.2739377552861697e-08
1841,3.852329122366882e-09,8.346713098461578e-09
1842,4.024959032733477e-09,3.219967226186782e-08
1843,9.451057714215949e-09,7.678984559333912e-09
1844,4.9397050894128824e-09,2.7442806360689076e-09
1845,1.0044410192477926e-08,1.674068439427856e-09
1846,3.5127007969038004e-09,5.854501106128396e-09
1847,1.0786447290911383e-09,1.0786447290911383e-08
1848,8.849743549088629e-09,7.24069959545659e-09
1849,1.6758829879393033e-09,0.0
1850,4.073397619208663e-09,6.788996032014438e-09
