year,voudrait_VERB appeler_VERB,voudrait_VERB rappeler_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,1.4287095950749062e-08,4.7623651688866175e-09
1802,2.2378401354217203e-09,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,9.887403784603066e-09
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,1.129515236897305e-08,0.0
1810,7.020380277111826e-09,0.0
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,1.600324850414836e-08,1.600324850414836e-08
1813,8.627225156487839e-09,4.3136125782439194e-08
1814,2.2026739543434815e-08,0.0
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,4.4034472068688046e-08,4.6352077731626196e-09
1817,1.401186100480345e-08,6.227493631882908e-09
1818,5.126106117359086e-08,1.5497530370112145e-08
1819,1.2421260464634543e-08,2.070210003424222e-09
1820,2.4919611263385377e-08,9.493184904840746e-09
1821,2.2681422962023134e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,3.063632902922109e-08,1.9765373782121287e-09
1824,2.7789671008804362e-08,2.5263338088166165e-09
1825,1.3208164340028361e-08,4.4027217427355936e-09
1826,2.2019960965735663e-08,0.0
1827,2.1199728195142598e-08,5.530363722527909e-09
1828,1.559291185060374e-08,5.503380862137419e-09
1829,3.772197487705853e-08,0.0
1830,2.0873670791843324e-08,1.0436835840010872e-09
1831,2.6505050598757407e-08,2.3386808933878456e-08
1832,4.6001897402447867e-08,1.2176972319366541e-08
1833,1.6217079235048004e-08,1.1583628500844156e-09
1834,2.240287422239362e-08,3.733812370398937e-09
1835,2.7227116561334697e-08,5.294161553592858e-09
1836,1.4785650037651976e-08,8.064899859050456e-09
1837,3.2006298056330706e-08,1.6698937344017395e-08
1838,2.7142295522253335e-08,4.418513555037862e-09
1839,2.6567605004856887e-08,0.0
1840,1.0828470564661075e-08,5.095750932326837e-09
1841,3.5955071808757566e-08,6.420548537278137e-10
1842,4.024958855097793e-08,3.3541325272778977e-09
1843,4.6073907356003474e-08,2.3627644285539873e-09
1844,3.512679214168202e-08,8.232841963717874e-09
1845,3.682950477923441e-08,8.37034175305007e-09
1846,3.0443406018321184e-08,4.0981511517657054e-09
1847,2.1033571329098777e-08,5.9325460100012606e-09
1848,4.907585093860689e-08,1.045878850192139e-08
1849,1.8434713311421547e-08,5.02764896381791e-09
1850,1.3577992064028876e-08,0.0
1851,1.6123596680017727e-08,3.2247193804124663e-09
1852,8.463708844885787e-09,1.0416872697760482e-08
1853,2.448492075757258e-08,2.9859659189668264e-09
1854,3.844791862661623e-08,3.117398783558656e-09
1855,2.2289135870323662e-08,0.0
1856,2.692138423299184e-08,1.346069211649592e-08
1857,1.8549734193129552e-08,6.8341128311999455e-09
1858,2.1532175153993194e-08,1.1255455234504552e-08
1859,1.0693564256314403e-08,1.2221216039165483e-08
1860,9.612086238064421e-09,1.4646988510946812e-08
1861,1.650587222457034e-08,7.073945429425521e-09
1862,7.680577063240435e-09,8.132375661773494e-09
