year,ait_VERB ajouté_VERB,ait_VERB rajouté_VERB
1800,1.540640539587912e-07,0.0
1801,1.5477687043130572e-07,0.0
1802,1.4769744893783354e-07,0.0
1803,1.4627543976075685e-07,0.0
1804,2.9415025437629083e-07,0.0
1805,1.6204403152642044e-07,0.0
1806,8.35684019762084e-08,0.0
1807,1.8789903322158352e-07,0.0
1808,1.4049658147996524e-07,0.0
1809,1.987946802728402e-07,0.0
1810,2.1997190913225495e-07,0.0
1811,1.42903374467096e-07,0.0
1812,2.053750307595692e-07,0.0
1813,2.8182267897136626e-07,0.0
1814,1.9824065589091333e-07,0.0
1815,1.0249449644561537e-07,0.0
1816,1.4832664874120383e-07,0.0
1817,2.16405396713526e-07,0.0
1818,1.3947777688372298e-07,0.0
1819,1.78038064291286e-07,0.0
1820,1.5663755448258598e-07,0.0
1821,1.9525747063653398e-07,0.0
1822,2.2657891918242967e-07,0.0
1823,1.2254531611688435e-07,0.0
1824,1.5579058754155994e-07,0.0
1825,1.012625929774913e-07,0.0
1826,1.928948591967128e-07,0.0
1827,1.585370910106576e-07,0.0
1828,1.8344601926401083e-07,0.0
1829,2.0575622272644978e-07,0.0
1830,2.0143093593105732e-07,0.0
1831,1.637076678662197e-07,0.0
1832,1.9483155710986466e-07,0.0
1833,1.6680425574122637e-07,0.0
1834,8.401077877806529e-08,0.0
1835,1.4521128832711838e-07,0.0
1836,1.3374292961998435e-07,0.0
1837,1.2106730196137505e-07,0.0
1838,1.0920039983375318e-07,0.0
1839,1.132618976384947e-07,0.0
1840,1.2930468074046075e-07,0.0
1841,1.483146689906789e-07,0.0
1842,1.086738947719823e-07,1.341653010911159e-09
1843,1.5830521249426965e-07,0.0
1844,1.3611631288767967e-07,0.0
1845,1.0379223880363497e-07,0.0
1846,9.835562053694957e-08,0.0
1847,1.7096519400183752e-07,0.0
1848,1.4159590477902384e-07,0.0
1849,7.122502410084053e-08,0.0
1850,1.3170652835015062e-07,0.0
1851,1.631707959859341e-07,0.0
1852,1.386746220077839e-07,0.0
1853,1.3496565998138976e-07,0.0
1854,1.1846115199887208e-07,0.0
1855,1.1834470114990836e-07,0.0
1856,1.009551908737194e-07,0.0
1857,1.0885765533430458e-07,0.0
1858,1.2429937612523645e-07,0.0
1859,1.3748868354923616e-07,0.0
