year,pouvait_VERB accompagner_VERB,pouvait_VERB raccompagner_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,1.1588019432906549e-08,0.0
1817,3.113746815941454e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,0.0
1823,9.882686891060644e-10,0.0
1824,2.5263338088166165e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,3.5231937367541377e-09,0.0
1827,9.217273055917019e-10,0.0
1828,5.503380862137419e-09,0.0
1829,8.57317605795771e-10,0.0
1830,4.174734336004349e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,2.4325620628928846e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,4.5378527602224494e-09,0.0
1836,0.0,0.0
1837,1.2524203896191466e-08,6.957890930081589e-10
1838,6.312161904276081e-10,0.0
1839,3.4957374772659477e-09,0.0
1840,1.2739377552861697e-08,0.0
1841,8.346713542550788e-09,0.0
1842,7.379091560011375e-09,0.0
1843,1.4767278067040479e-08,0.0
1844,4.9397050894128824e-09,0.0
1845,2.287893430263921e-08,0.0
1846,2.9272506640865004e-09,0.0
1847,5.9325460100012606e-09,0.0
1848,6.43617736884039e-09,0.0
1849,4.1897072478036534e-09,0.0
1850,8.82569484161877e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,1.6276363368206148e-08,0.0
1853,7.166318205520383e-09,0.0
1854,2.0782657816909023e-09,0.0
1855,1.1144567935161831e-08,5.306937111981824e-10
1856,5.177189343896771e-09,0.0
1857,1.610898081594314e-08,0.0
