year,voulaient_VERB emporter_VERB,voulaient_VERB remporter_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,6.263301344233696e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,9.036122072814123e-09
1810,4.680253518074551e-09,0.0
1811,5.264861258069686e-08,0.0
1812,0.0,0.0
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,1.3905623319487859e-08
1817,1.401186100480345e-08,0.0
1818,2.384235475716423e-09,3.5763532135746345e-09
1819,0.0,1.035105001712111e-09
1820,8.306536791735653e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,3.408709403629473e-08,6.015369535816717e-09
1823,2.2730180404550993e-08,0.0
1824,5.894778887238772e-09,0.0
1825,5.283265824829186e-09,8.805443041381977e-10
1826,1.0569580766173203e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,0.0,0.0
1829,1.628903412154159e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,1.7588959622116818e-08,1.3529969367098715e-09
1833,3.01174338801502e-08,0.0
1834,1.7735608537350345e-08,1.8669061851994684e-09
1835,2.949604294144592e-08,1.5126175867408165e-09
1836,4.704525213838906e-09,0.0
1837,1.8090515752078318e-08,6.957890930081589e-10
1838,2.5248647617104325e-09,0.0
1839,1.5381244722334486e-08,6.9914751765765e-10
1840,2.1019973317493168e-08,1.9109065441114126e-09
1841,5.778493683550323e-09,1.2841097074556274e-09
1842,2.4820581145945653e-08,2.683306021822318e-09
1843,4.7255288571079745e-09,0.0
1844,1.975882035765153e-08,0.0
1845,8.37034175305007e-09,5.580227835366713e-09
1846,6.439951683034906e-09,1.7563503984519002e-09
1847,3.775256551818984e-09,1.0786447290911383e-09
1848,8.04522137798358e-09,0.0
1849,2.513824526317876e-08,4.1897072478036534e-09
1850,6.1100964288129944e-09,0.0
1851,9.674158363282004e-09,1.2898877521649865e-09
1852,7.161600201754936e-09,0.0
1853,6.569124799682413e-09,0.0
1854,9.871762074453727e-09,0.0
1855,9.552486801567284e-09,2.1227748447927297e-09
1856,1.6049286344355096e-08,0.0
1857,1.9526035899275485e-08,6.345961978126979e-09
1858,2.397901255335455e-08,0.0
1859,5.092173349652285e-09,0.0
1860,7.781213007262977e-09,1.373155145145688e-09
1861,1.9335450573976232e-08,0.0
1862,1.445755604123633e-08,1.8071945051545413e-09
1863,4.495158911765884e-09,1.9978483312144135e-09
1864,1.2466292886870178e-08,0.0
1865,2.447559133145205e-08,4.706844247692743e-09
1866,7.784980660119345e-09,7.298419202328432e-09
1867,9.220341823379385e-09,0.0
1868,7.903798504571569e-09,0.0
1869,5.371870948067681e-09,0.0
1870,1.0894693147633916e-08,2.2936195165357276e-09
1871,2.8677177965619194e-08,0.0
1872,1.7537283625301825e-08,1.2094678591978436e-09
1873,1.3767810003173508e-08,5.986004469882289e-10
1874,1.0156835372754358e-08,0.0
1875,1.2587359599081083e-08,5.721527140956084e-10
1876,6.04601479992084e-09,0.0
1877,2.8450154232473324e-08,0.0
1878,1.509772218355465e-08,0.0
1879,1.221865053580018e-09,0.0
1880,8.984985200299889e-09,0.0
1881,1.3945014920579979e-08,0.0
1882,1.7969540522244642e-08,6.655385131892899e-10
1883,1.64302811356265e-08,0.0
1884,1.0562715146988921e-08,6.601696966868076e-10
1885,9.66845359329227e-09,6.445635691854079e-10
1886,2.3232470169887165e-08,6.453463874400711e-10
1887,6.528924512139156e-09,0.0
1888,2.53624587998047e-09,1.9021844099853524e-09
1889,8.14467782106476e-09,0.0
1890,7.865263995654459e-09,0.0
1891,1.8485238229004608e-08,5.736798147637501e-09
1892,8.775916882086676e-09,0.0
1893,2.463366621796581e-09,0.0
