year,fallut_VERB appeler_VERB,fallut_VERB rappeler_VERB
1800,3.772997558826319e-08,1.2576657937302116e-08
1801,6.191074675143682e-08,0.0
1802,1.7902721083373763e-08,2.4616241489638924e-08
1803,6.826187615160961e-08,2.145373123596528e-08
1804,3.213406074564773e-08,1.4831105232815389e-08
1805,1.421438877713399e-08,1.421438877713399e-08
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,9.036122072814123e-09,2.4849335034105025e-08
1810,9.360507036149102e-09,1.8721014072298203e-08
1811,2.5070767684098882e-09,2.5070768572277302e-08
1812,5.601137331723294e-08,0.0
1813,2.0130190847567064e-08,2.300593315851529e-08
1814,2.5173417128598885e-08,2.2026739543434815e-08
1815,0.0,1.8880564667256294e-08
1816,9.270415546325239e-09,3.0128852301913867e-08
1817,7.784366928831332e-09,1.556873407970727e-09
1818,4.053200441944682e-08,2.384235386898581e-08
1819,2.2772310259711048e-08,1.2421260464634543e-08
1820,1.779972080839798e-08,9.493184904840746e-09
1821,5.9168929311681495e-08,8.875339574387908e-09
1822,1.4035862250239006e-08,3.0076847679083585e-09
1823,3.261286707356703e-08,1.7788837070042973e-08
1824,1.1789557774477544e-08,2.5263338088166165e-08
1825,1.0566531649658373e-08,1.7610886970942374e-08
1826,2.2019960965735663e-08,7.0463874735082754e-09
1827,8.295545583791863e-09,1.8434546333878643e-08
1828,3.0268594741755805e-08,1.2841221419535032e-08
1829,3.257806824308318e-08,4.286587973467704e-09
1830,3.861629238599562e-08,1.7742621594152297e-08
1831,1.5591206548037917e-08,2.8064171431196883e-08
1832,4.19429042608499e-08,2.705993873419743e-09
1833,3.01174338801502e-08,1.1583628278799551e-08
1834,2.8003592333902816e-08,1.7735608537350345e-08
1835,1.739510224751939e-08,2.647080776796429e-08
1836,1.008112526790228e-08,2.083432448785061e-08
1837,9.045257876039159e-09,2.1569462660409044e-08
1838,2.0830134062066463e-08,5.680945491803868e-09
1839,9.088918062616358e-09,1.0487212875887053e-08
1840,3.184844388215424e-08,2.8026629905752998e-08
1841,1.9903700021473014e-08,7.0626033910059505e-09
1842,1.7441490030023488e-08,2.4820581145945653e-08
1843,2.8943864194275193e-08,5.906910960362666e-09
1844,2.8540519281250454e-08,2.195424464446205e-08
1845,2.1204865419122143e-08,1.562463758375543e-08
1846,3.102885770545072e-08,8.781752214304106e-09
1847,3.829188699455699e-08,3.829188699455699e-08
1848,3.057184372323718e-08,4.505324113779352e-08
1849,2.1786478399121734e-08,1.508294644736452e-08
1850,2.5119284430275002e-08,1.1541293254424545e-08
1851,1.6768540334055615e-08,1.805842941848823e-08
1852,2.7344290387532055e-08,1.9531636752390114e-08
1853,2.6873692604567623e-08,4.299791100947914e-08
1854,1.7665259477439577e-08,1.0391328686409906e-08
1855,2.388121700391821e-08,1.326734277995456e-08
1856,2.329735160344626e-08,2.7439103433835044e-08
1857,2.5871997877402464e-08,1.4644527368545823e-08
1858,4.4532452392331834e-08,1.468102794888182e-08
1859,3.0043821652725455e-08,1.8331824946926645e-08
1860,3.249800428761773e-08,1.9224172476128842e-08
1861,1.0846716413936974e-08,3.914249901981748e-08
1862,4.066187742068905e-08,1.355395884417021e-08
1863,2.1976331865403154e-08,9.989241434027463e-09
1864,2.349416661218129e-08,1.1986819536957682e-08
1865,2.2122168985561075e-08,1.3649848362717876e-08
1866,1.8489329178805747e-08,1.3137154475373336e-08
1867,3.785192959071537e-08,1.1161466417775046e-08
1868,2.321740844024589e-08,2.4699371437009177e-09
1869,2.9789466893248573e-08,1.4162205630441349e-08
1870,2.2936195165357276e-08,6.307453670473251e-09
1871,6.37270636261178e-09,8.496941816815706e-09
1872,2.0560953828407946e-08,3.0236697590169115e-09
1873,1.3767810003173508e-08,1.1972009161809183e-08
1874,1.7326366119618797e-08,1.0156835372754358e-08
1875,1.2015206607429718e-08,1.5448122780981066e-08
1876,2.2370254981751714e-08,7.859819461941697e-09
1877,2.9068635498674666e-08,4.329371083855449e-09
1878,2.536417298415472e-08,5.435179861734696e-09
1879,2.5659165459046562e-08,4.27652757650776e-09
1880,2.2462462112571302e-08,5.134277003548959e-09
1881,1.2550513517339823e-08,1.673401861523871e-08
1882,2.2628309892525067e-08,1.0648616211028639e-08
1883,1.2638677659992936e-08,1.8958017378167824e-09
1884,2.772712726084592e-08,7.922036360241691e-09
1885,2.3848851782304337e-08,9.023890079618013e-09
1886,1.5488312854472497e-08,9.680196200179125e-09
1887,2.285123557044244e-08,2.0239665943222462e-08
1888,2.028996703984376e-08,8.242799331981132e-09
1889,1.628935564212952e-08,5.6386229019267375e-09
1890,1.8352281472289178e-08,9.831579994568074e-09
1891,1.3385862196457765e-08,1.3385862196457765e-08
1892,2.820830502514582e-08,5.014809900671935e-09
1893,1.539604177480669e-08,1.1085149687062312e-08
1894,2.7726773765834878e-08,1.8904617871129403e-09
1895,2.347259631108045e-08,1.444467478961542e-08
1896,1.1204354777305525e-08,1.2383760683576384e-08
1897,2.2141511735185304e-08,5.826713556089658e-10
1898,1.3580051749784161e-08,6.7900258748920805e-09
1899,1.8241008703512307e-08,9.949641111006713e-09
1900,1.4015843596837385e-08,8.824790675987515e-09
1901,2.0119459875900247e-08,0.0
1902,7.365425602756659e-09,9.820567470342212e-09
