year,devaient_VERB appeler_VERB,devaient_VERB rappeler_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,1.4831105232815389e-08,0.0
1805,1.7057265822018053e-08,8.528632911009026e-09
1806,0.0,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,0.0,2.1337665856435706e-08
1813,5.751483289628823e-09,5.176335093892703e-08
1814,7.237357380063258e-08,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,4.670620334934483e-09
1818,1.0729059418679299e-08,9.536941902865692e-09
1819,3.1053151161586356e-09,3.1053151161586356e-09
1820,5.577246042776096e-08,1.1866481131050932e-08
1821,6.903041693817613e-09,9.861488514673056e-09
1822,1.1028177482330648e-08,2.606660132187244e-08
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,2.0210670470532932e-08,3.3684450784221553e-09
1825,4.0505039322624725e-08,2.1133063299316746e-08
1826,8.807984341885344e-10,1.4973572604048968e-08
1827,1.474763688946723e-08,1.2904182611350734e-08
1828,3.5771975603893225e-08,1.3758452155343548e-08
1829,1.0287811491593857e-08,3.257806824308318e-08
1830,1.3567886369969528e-08,1.0436835395921662e-08
1831,2.0268567268999504e-08,1.091384405071949e-08
1832,6.900284432731496e-08,1.7588959622116818e-08
1833,1.6217079235048004e-08,2.7800709290204395e-08
1834,2.333632664885954e-08,2.8003592777992026e-09
1835,1.4369867074037757e-08,2.0420337421001022e-08
1836,3.629205025390547e-08,2.688300027031687e-09
1837,2.7831564608504777e-08,1.6698937344017395e-08
1838,4.607878167917079e-08,2.2723781967215473e-08
1839,2.3771015378315496e-08,1.0487212875887053e-08
1840,2.7389662093924017e-08,1.52872523528913e-08
1841,3.467096121312352e-08,4.751206006403663e-08
1842,4.494537719779146e-08,2.0795621225033756e-08
1843,3.9576303123567413e-08,3.1306630177141415e-08
1844,3.4577936958157807e-08,2.360081374774836e-08
1845,3.348136701220028e-08,2.9017185099178278e-08
1846,5.034871009002018e-08,3.3956109035671034e-08
1847,2.534815024546333e-08,2.8044762956369595e-08
1848,5.229394162142853e-08,2.333114323960217e-08
1849,4.1897074254393374e-08,1.8434713311421547e-08
1850,3.869727649430388e-08,3.530277936647508e-08
1851,4.127640806927957e-08,2.1283147688677673e-08
1852,3.059956199535918e-08,7.812654523320361e-09
1853,4.777545470346922e-08,2.9262466227919504e-08
1854,4.1565314745639625e-08,1.2469595134234623e-08
1855,2.0697054736729115e-08,2.2819829581521844e-08
1856,2.5368226630462232e-08,2.2261913201759853e-08
1857,2.0990489346672803e-08,1.3180074809326925e-08
1858,2.838332058274773e-08,2.8872689128434104e-08
1859,1.4258085379026397e-08,2.953460587207246e-08
1860,7.048863182035348e-08,2.4716793944890014e-08
1861,3.206855225812433e-08,2.2165028923382124e-08
1862,6.776979688538631e-08,1.671654992208005e-08
1863,4.145535115185339e-08,4.295374012031061e-08
1864,4.9865171547480713e-08,2.2535221688713136e-08
1865,3.812543880599151e-08,3.859612363044107e-08
1866,4.525020003143254e-08,1.751620715140234e-08
1867,1.649955905236311e-08,3.299911810472622e-08
1868,2.0747471296544973e-08,2.0747471296544973e-08
1869,2.6371003158942585e-08,4.0044856319809696e-08
1870,3.612450782952692e-08,4.013834242755365e-08
1871,2.2304472935275044e-08,1.3807530230280918e-08
1872,5.442605299776915e-08,2.4794090336399677e-08
1873,2.8134220286801792e-08,2.454261860407314e-08
1874,3.4652732239237594e-08,3.2262889249068394e-08
1875,2.9179789251543298e-08,2.460256709468922e-08
1876,2.478866001354163e-08,1.874264654588842e-08
1877,2.4739264858908427e-08,1.9172929910382663e-08
1878,2.4760263173106978e-08,1.69094480639842e-08
1879,3.360128886242819e-08,2.6881030734671185e-08
1880,3.016387850607316e-08,1.0268554007097919e-08
1881,4.5321300490286376e-08,2.091752193678076e-08
1882,2.728707926280549e-08,2.2628309892525067e-08
1883,8.21514056781325e-09,2.338155447034751e-08
1884,3.630933420595284e-08,1.386356363042296e-08
1885,2.707166935067562e-08,1.9981470700258797e-08
1886,2.452316216761119e-08,3.484870347847391e-08
1887,2.546280519766242e-08,3.3297514079322355e-08
1888,3.4873380627686856e-08,3.1703073943845084e-08
1889,2.8819629349641218e-08,2.8193115397812107e-08
1890,2.6872983838188702e-08,1.9007721618891082e-08
1891,1.9760081571007504e-08,2.8683990294098294e-08
1892,2.5074049503359674e-08,8.149066310636499e-09
1893,2.894455697344256e-08,2.0322774574310642e-08
1894,1.3233232287745977e-08,8.822155450616265e-09
1895,2.2268872967856623e-08,1.8657704714541978e-08
1896,1.0614652268259306e-08,2.358811634906033e-08
1897,1.9228155068162778e-08,1.2236098356765979e-08
1898,2.093591255913907e-08,2.2633418694795182e-08
1899,1.1607914629507832e-08,1.6029977345510815e-08
1900,1.6092265298084385e-08,1.142031713641245e-08
1901,1.2854099118442264e-08,2.5708198236884527e-08
1902,1.2275709337927765e-08,7.856454153909453e-09
1903,1.8900770726304472e-08,2.7001101798873606e-08
1904,1.3974025492302644e-08,1.9886112312406112e-08
1905,2.9416327151920996e-08,2.2707340008309984e-08
1906,1.800464666246171e-08,9.259531807970234e-09
1907,1.902852098112362e-08,1.0799970695529737e-08
1908,1.9154416719402434e-08,2.4065807124884486e-08
1909,1.7053048750881317e-08,2.9705311987981986e-08
1910,1.8170112525695004e-08,9.085056262847502e-09
1911,1.0108711201439746e-08,1.755723388896513e-08
1912,1.82329742415277e-08,1.719108944087111e-08
1913,2.1211958411981868e-08,3.075734156254839e-08
1914,1.808120764223986e-08,1.2723813114234872e-08
1915,1.295883844676382e-08,3.534228465440492e-09
1916,1.648119329900055e-08,1.0987461607214755e-08
1917,1.4256351654751143e-08,3.289927441585405e-09
1918,1.722956355365568e-08,2.756730310693456e-08
1919,4.051453217357448e-08,1.2890987832747669e-08
1920,1.2115570768855832e-08,1.0601124422748853e-08
1921,1.9689142760626055e-08,2.7261890522822796e-08
1922,1.2542490601674672e-08,2.2133805899215986e-08
1923,4.246379248229459e-09,2.653987074552333e-08
1924,2.9650736976805092e-08,1.4180787211159895e-08
1925,1.0998178368026856e-08,8.798542339150117e-09
1926,1.3375366592072169e-08,1.7833821530643945e-08
1927,2.1183527820767267e-08,1.5608915049369898e-08
1928,2.0566874425753667e-08,1.4853853258500749e-08
1929,1.2254447234738564e-08,1.6710609784809094e-08
1930,9.453243521306831e-09,1.8906487042613662e-08
1931,1.4826963656844327e-08,7.983749661377715e-09
1932,1.4247397928102146e-08,8.767629289252454e-09
1933,1.261772819560747e-08,8.02946331646126e-09
1934,1.3179738189705859e-08,1.1981580172459871e-08
1935,2.8723881939640705e-08,2.5133395809007197e-08
1936,4.849885826274658e-09,7.274828739411987e-09
1937,7.554670666820584e-09,1.6368453259474336e-08
1938,3.1116513810047763e-08,1.2965214679638848e-08
1939,2.2941076593951948e-08,7.647025235257843e-09
1940,2.7893612752905028e-08,5.0715658339584024e-09
1941,1.1806010391524069e-08,1.1806010391524069e-08
1942,3.034211770724937e-09,3.034211815133858e-08
1943,1.1612940831184915e-08,1.7419411690866582e-08
1944,1.6065930807940276e-08,1.2852744646352221e-08
1945,1.3071024262956144e-08,1.742803235060819e-08
1946,1.6705325123211878e-08,1.8097434661967782e-08
1947,2.26496545963073e-08,2.9802176726434482e-08
1948,1.0871888278529696e-08,1.3046265401328583e-08
1949,1.570721330779179e-08,1.3743811422273211e-08
1950,8.508289184305795e-09,1.4889506516624351e-08
1951,1.3859822622919182e-08,1.5992101864981123e-08
1952,9.490323193972472e-09,9.490323193972472e-09
1953,2.1547654771580937e-09,7.54167928107563e-09
1954,2.5408594339637602e-08,1.5636057781875934e-08
1955,8.447047505910632e-09,1.0324168187025862e-08
1956,1.2209598665435806e-08,1.831439710997529e-08
